STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
01|001|0010|Jones Community Center|Jones Community Center
01|001|0020|Church of the Living Water|Church of the Living Water
01|001|0030|Billingsley Government Center|Billingsley Government Center
01|001|0050|White City Fire Station|White City Fire Station
01|001|0060|Marbury Community Center|Marbury Community Center
01|001|0070|Pine Level Fire Station|Pine Level Fire Station
01|001|0080|Independence Voting Center|Independence Voting Center
01|001|0090|Booth Volunteer Fire Department|Booth Volunteer Fire Department
01|001|0100|Trinity Methodist Church|Trinity Methodist Church
01|001|0110|Mulberry/Statesville|Mulberry/Statesville
01|001|0130|Chamber of Commerce|Chamber of Commerce
01|001|0140|Autaugaville|Autaugaville
01|001|0150|Prattmont Baptist Church|Prattmont Baptist Church
01|001|0160|Safe Harbor Ministries|Safe Harbor Ministries
01|001|0170|Camelia Baptist Church|Camelia Baptist Church
01|001|0180|Old Kingston Vote Site|Old Kingston Vote Site
01|001|0220|Upper Kingston Community Center|Upper Kingston Community Center
01|003|0010|Little River Ferguson Store|Little River Ferguson Store
01|003|0020|Tensaw Volunteer Fire Dept|Tensaw Volunteer Fire Dept
01|003|0030|Vaughn Community Center|Vaughn Community Center
01|003|0040|Crossroads Durant Chapel Church|Crossroads Durant Chapel Church
01|003|0050|Bay Minette Douglasville Community Center|Bay Minette Douglasville Community Center
01|003|0060|Bromley Crossroads Vol. Fire Dept. Substation|Bromley Crossroads Vol. Fire Dept. Substation
01|003|007A|Rockwell Elementary School|Rockwell Elementary School
01|003|0080|Loxley Ellisville Community Center|Loxley Ellisville Community Center
01|003|0090|Loxley Town Hall|Loxley Town Hall
01|003|0110|Lottie Fire Department|Lottie Fire Department
01|003|0120|Stockton Fire House|Stockton Fire House
01|003|0130|Rabun Fire House|Rabun Fire House
01|003|0140|Perdido Elementary School|Perdido Elementary School
01|003|0150|Bay Minette City Hall & Civic Center|Bay Minette City Hall & Civic Center
01|003|0160|Pine Grove Volunteer Fire Dept. #1|Pine Grove Volunteer Fire Dept. #1
01|003|0170|White House Fork Vol. Fire Dept.|White House Fork Vol. Fire Dept.
01|003|0180|Stapleton Community Hall|Stapleton Community Hall
01|003|0190|Gateswood Fire Station|Gateswood Fire Station
01|003|0210|Clear Springs Fellowship Hall|Clear Springs Fellowship Hall
01|003|0220|Rosinton United Methodist Church|Rosinton United Methodist Church
01|003|0230|Belforest Community Center|Belforest Community Center
01|003|0240|Silverhill Town Hall|Silverhill Town Hall
01|003|0250|Robertsdale City Hall|Robertsdale City Hall
01|003|0260|Elsanor Community Center|Elsanor Community Center
01|003|0270|Seminole Fire House|Seminole Fire House
01|003|0280|Lillian Community Club|Lillian Community Club
01|003|0290|Perdido Beach Fire House|Perdido Beach Fire House
01|003|0300|Marlow Volunteer Fire Department|Marlow Volunteer Fire Department
01|003|0310|Summerdale Community Center|Summerdale Community Center
01|003|0320|Elberta Civic Center|Elberta Civic Center
01|003|0330|Miflin Community Center|Miflin Community Center
01|003|0340|Josephine Fire House|Josephine Fire House
01|003|0360|Magnolia Springs Wesleyan Church|Magnolia Springs Wesleyan Church
01|003|0370|Bon Secour Morgan's Chapel|Bon Secour Morgan's Chapel
01|003|0380|Foley Civic Center|Foley Civic Center
01|003|0390|Gulf Shores Adult Activity Center|Gulf Shores Adult Activity Center
01|003|0400|Fort Morgan VFD Station #2|Fort Morgan VFD Station #2
01|003|0410|Orange Beach Community Center|Orange Beach Community Center
01|003|042A|Fairhope Civic Center|Fairhope Civic Center
01|003|042B|Point Clear St. Francis Church|Point Clear St. Francis Church
01|003|0440|Barnwell Community Center|Barnwell Community Center
01|003|0450|Spanish Fort Eastpointe Baptist Church|Spanish Fort Eastpointe Baptist Church
01|003|0460|Spanish Fort Fire Department|Spanish Fort Fire Department
01|003|0480|Daphne High School|Daphne High School
01|003|0490|Daphne Civic Center|Daphne Civic Center
01|005|0010|Baker Hill Town Hall|Baker Hill Town Hall
01|005|0020|Sutton's Restaurant/Elamville Volunteer Fire Department|Sutton's Restaurant/Elamville Volunteer Fire Department
