STATEFP|PLACEFP|NAME|NAMELSAD
02|00760|Akiachak|Akiachak CDP
02|01305|Alatna|Alatna CDP
02|01390|Alcan Border|Alcan Border CDP
02|01560|Aleneva|Aleneva CDP
02|03110|Anchor Point|Anchor Point CDP
02|03990|Arctic Village|Arctic Village CDP
02|04430|Atmautluak|Atmautluak CDP
02|04670|Attu Station|Attu Station CDP
02|05000|Badger|Badger CDP
02|05585|Bear Creek|Bear Creek CDP
02|05750|Beaver|Beaver CDP
02|06245|Beluga|Beluga CDP
02|06850|Big Delta|Big Delta CDP
02|07070|Big Lake|Big Lake CDP
02|07620|Birch Creek|Birch Creek CDP
02|09657|Buffalo Soapstone|Buffalo Soapstone CDP
02|09710|Butte|Butte CDP
02|10150|Cantwell|Cantwell CDP
02|11690|Central|Central CDP
02|11800|Chalkyitsik|Chalkyitsik CDP
02|12350|Chase|Chase CDP
02|12920|Chena Ridge|Chena Ridge CDP
02|12970|Chenega|Chenega CDP
02|13340|Chickaloon|Chickaloon CDP
02|13450|Chicken|Chicken CDP
02|13670|Chignik Lagoon|Chignik Lagoon CDP
02|13780|Chignik Lake|Chignik Lake CDP
02|13860|Chiniak|Chiniak CDP
02|13890|Chisana|Chisana CDP
02|14000|Chistochina|Chistochina CDP
02|14110|Chitina|Chitina CDP
02|14880|Circle|Circle CDP
02|15320|Clam Gulch|Clam Gulch CDP
02|16420|Cohoe|Cohoe CDP
02|16630|Coldfoot|Coldfoot CDP
02|16750|College|College CDP
02|17190|Cooper Landing|Cooper Landing CDP
02|17300|Copper Center|Copper Center CDP
02|17670|Covenant Life|Covenant Life CDP
02|17850|Crooked Creek|Crooked Creek CDP
02|17960|Crown Point|Crown Point CDP
02|18675|Deltana|Deltana CDP
02|18925|Diamond Ridge|Diamond Ridge CDP
02|19720|Dot Lake|Dot Lake CDP
02|19750|Dot Lake Village|Dot Lake Village CDP
02|20020|Dry Creek|Dry Creek CDP
02|20600|Eagle Village|Eagle Village CDP
02|20970|Edna Bay|Edna Bay CDP
02|21370|Eielson AFB|Eielson AFB CDP
02|22140|Elfin Cove|Elfin Cove CDP
02|23460|Ester|Ester CDP
02|23720|Eureka Roadhouse|Eureka Roadhouse CDP
02|23790|Evansville|Evansville CDP
02|23900|Excursion Inlet|Excursion Inlet CDP
02|24980|Farmers Loop|Farmers Loop CDP
02|25000|Farm Loop|Farm Loop CDP
02|25220|Ferry|Ferry CDP
02|25550|Fishhook|Fishhook CDP
02|25880|Flat|Flat CDP
