STATEFP|PLACEFP|NAME|NAMELSAD
04|00730|Aguila|Aguila CDP
04|00870|Ajo|Ajo CDP
04|00940|Ak Chin|Ak Chin CDP
04|01090|Ak-Chin Village|Ak-Chin Village CDP
04|01170|Alamo Lake|Alamo Lake CDP
04|01560|Ali Chuk|Ali Chuk CDP
04|01570|Ali Chukson|Ali Chukson CDP
04|01620|Ali Molina|Ali Molina CDP
04|01920|Alpine|Alpine CDP
04|01990|Amado|Amado CDP
04|02270|Anegam|Anegam CDP
04|02410|Antares|Antares CDP
04|02430|Anthem|Anthem CDP
04|03320|Arivaca|Arivaca CDP
04|03380|Arivaca Junction|Arivaca Junction CDP
04|03530|Arizona City|Arizona City CDP
04|03915|Arizona Village|Arizona Village CDP
04|04020|Arlington|Arlington CDP
04|04440|Ash Fork|Ash Fork CDP
04|04710|Avenue B and C|Avenue B and C CDP
04|04880|Avra Valley|Avra Valley CDP
04|04930|Aztec|Aztec CDP
04|05140|Bagdad|Bagdad CDP
04|05450|Bear Flat|Bear Flat CDP
04|05490|Beaver Dam|Beaver Dam CDP
04|05495|Beaver Valley|Beaver Valley CDP
04|05970|Beyerville|Beyerville CDP
04|06470|Bitter Springs|Bitter Springs CDP
04|06610|Black Canyon City|Black Canyon City CDP
04|06820|Blackwater|Blackwater CDP
04|07025|Bluewater|Bluewater CDP
04|07310|Bouse|Bouse CDP
04|07380|Bowie|Bowie CDP
04|07590|Brenda|Brenda CDP
04|07915|Bryce|Bryce CDP
04|08020|Buckshot|Buckshot CDP
04|08535|Burnside|Burnside CDP
04|08710|Bylas|Bylas CDP
04|08920|Cactus Flats|Cactus Flats CDP
04|08990|Cactus Forest|Cactus Forest CDP
04|09340|Cameron|Cameron CDP
04|09580|Campo Bonito|Campo Bonito CDP
04|09900|Cane Beds|Cane Beds CDP
04|10040|Canyon Day|Canyon Day CDP
04|10320|Carrizo|Carrizo CDP
04|10460|Casa Blanca|Casa Blanca CDP
04|10670|Casas Adobes|Casas Adobes CDP
04|11160|Catalina|Catalina CDP
04|11230|Catalina Foothills|Catalina Foothills CDP
04|11370|Cedar Creek|Cedar Creek CDP
04|11500|Centennial Park|Centennial Park CDP
04|11580|Central|Central CDP
04|11720|Central Heights-Midland City|Central Heights-Midland City CDP
04|12150|Charco|Charco CDP
04|12560|Chiawuli Tak|Chiawuli Tak CDP
04|12630|Chilchinbito|Chilchinbito CDP
04|12770|Chinle|Chinle CDP
04|12910|Chloride|Chloride CDP
04|13140|Christopher Creek|Christopher Creek CDP
04|13190|Chuichu|Chuichu CDP
04|13400|Cibecue|Cibecue CDP
04|13470|Cibola|Cibola CDP
04|13540|Cienega Springs|Cienega Springs CDP
04|13820|Citrus Park|Citrus Park CDP
04|13850|Clacks Canyon|Clacks Canyon CDP
04|13960|Claypool|Claypool CDP
04|14030|Clay Springs|Clay Springs CDP
04|15080|Comobabi|Comobabi CDP
04|15150|Concho|Concho CDP
04|15220|Congress|Congress CDP
04|15600|Copper Hill|Copper Hill CDP
04|15765|Cordes Lakes|Cordes Lakes CDP
04|15850|Cornfields|Cornfields CDP
04|15920|Cornville|Cornville CDP
04|16030|Corona de Tucson|Corona de Tucson CDP
04|16360|Cottonwood|Cottonwood CDP
04|16830|Cowlic|Cowlic CDP
04|17460|Crozier|Crozier CDP
04|17500|Crystal Beach|Crystal Beach CDP
04|17810|Cutter|Cutter CDP
04|18160|Dateland|Dateland CDP
04|18448|Deer Creek|Deer Creek CDP
04|18490|Del Muerto|Del Muerto CDP
04|18580|Dennehotso|Dennehotso CDP
04|18740|Desert Hills|Desert Hills CDP
04|19280|Dilkon|Dilkon CDP
04|19630|Dolan Springs|Dolan Springs CDP
04|19740|Doney Park|Doney Park CDP
04|19790|Donovan Estates|Donovan Estates CDP
04|20330|Dragoon|Dragoon CDP
04|20540|Drexel Heights|Drexel Heights CDP
04|20560|Dripping Springs|Dripping Springs CDP
04|20570|Drysdale|Drysdale CDP
04|20680|Dudleyville|Dudleyville CDP
04|21310|East Fork|East Fork CDP
04|21410|East Globe|East Globe CDP
04|21545|East Verde Estates|East Verde Estates CDP
04|21800|Ehrenberg|Ehrenberg CDP
04|21900|El Capitan|El Capitan CDP
04|21980|Elephant Head|Elephant Head CDP
04|22080|Elfrida|Elfrida CDP
04|22150|Elgin|Elgin CDP
04|22400|El Prado Estates|El Prado Estates CDP
04|23512|First Mesa|First Mesa CDP
04|23955|Flowing Springs|Flowing Springs CDP
04|23960|Flowing Wells|Flowing Wells CDP
04|24250|Fort Apache|Fort Apache CDP
04|24460|Fort Defiance|Fort Defiance CDP
04|24895|Fort Mohave|Fort Mohave CDP
04|24950|Fort Thomas|Fort Thomas CDP
04|25030|Fortuna Foothills|Fortuna Foothills CDP
04|25045|Fort Valley|Fort Valley CDP
04|25650|Franklin|Franklin CDP
04|25735|Freedom Acres|Freedom Acres CDP
04|26070|Gadsden|Gadsden CDP
04|26210|Ganado|Ganado CDP
04|26780|Geronimo Estates|Geronimo Estates CDP
04|27260|Gila Crossing|Gila Crossing CDP
04|27540|Gisela|Gisela CDP
04|28120|Gold Canyon|Gold Canyon CDP
04|28190|Golden Shores|Golden Shores CDP
04|28195|Golden Valley|Golden Valley CDP
04|28465|Goodyear Village|Goodyear Village CDP
04|28981|Grand Canyon Village|Grand Canyon Village CDP
04|28985|Grand Canyon West|Grand Canyon West CDP
04|29430|Greasewood|Greasewood CDP
04|29710|Green Valley|Green Valley CDP
04|29850|Greer|Greer CDP
04|30550|Gu Oidak|Gu Oidak CDP
04|30830|Hackberry|Hackberry CDP
04|30840|Haigler Creek|Haigler Creek CDP
04|30850|Haivana Nakya|Haivana Nakya CDP
04|31182|Hard Rock|Hard Rock CDP
04|32310|Heber-Overgaard|Heber-Overgaard CDP
04|33440|Hondah|Hondah CDP
04|33945|Hotevilla-Bacavi|Hotevilla-Bacavi CDP
04|33980|Houck|Houck CDP
04|34700|Hunter Creek|Hunter Creek CDP
04|34980|Icehouse Canyon|Icehouse Canyon CDP
04|35310|Indian Wells|Indian Wells CDP
04|36010|Jakes Corner|Jakes Corner CDP
04|36150|Jeddito|Jeddito CDP
04|36430|Joseph City|Joseph City CDP
04|36475|Kachina Village|Kachina Village CDP
04|36500|Kaibab|Kaibab CDP
04|36640|Kaibito|Kaibito CDP
04|36780|Kaka|Kaka CDP
04|36920|Katherine|Katherine CDP
04|36990|Kayenta|Kayenta CDP
04|37130|Keams Canyon|Keams Canyon CDP
04|37935|Kino Springs|Kino Springs CDP
04|38250|Klagetoh|Klagetoh CDP
04|38530|Kohatk|Kohatk CDP
04|38600|Kohls Ranch|Kohls Ranch CDP
04|38655|Komatke|Komatke CDP
04|38940|Ko Vaya|Ko Vaya CDP
04|39100|Kykotsmovi Village|Kykotsmovi Village CDP
04|39720|Lake Montezuma|Lake Montezuma CDP
04|39790|Lake of the Woods|Lake of the Woods CDP
04|40160|La Paz Valley|La Paz Valley CDP
04|40400|Lazy Y U|Lazy Y U CDP
04|40415|LeChee|LeChee CDP
04|40630|Leupp|Leupp CDP
04|41085|Linden|Linden CDP
04|41470|Littlefield|Littlefield CDP
04|41540|Littletown|Littletown CDP
04|42460|Lower Santan Village|Lower Santan Village CDP
04|42590|Low Mountain|Low Mountain CDP
04|42660|Lukachukai|Lukachukai CDP
04|42940|Lupton|Lupton CDP
04|43150|McConnico|McConnico CDP
04|43430|McNary|McNary CDP
04|43570|McNeal|McNeal CDP
04|43920|Maish Vaya|Maish Vaya CDP
04|44200|Many Farms|Many Farms CDP
04|44450|Maricopa Colony|Maricopa Colony CDP
04|44830|Martinez Lake|Martinez Lake CDP
04|45180|Mayer|Mayer CDP
04|45275|Mead Ranch|Mead Ranch CDP
04|45285|Meadview|Meadview CDP
04|46005|Mesa del Caballo|Mesa del Caballo CDP
04|46070|Mescal|Mescal CDP
04|46087|Mesquite Creek|Mesquite Creek CDP
04|46840|Miracle Valley|Miracle Valley CDP
04|47190|Moccasin|Moccasin CDP
04|47330|Moenkopi|Moenkopi CDP
04|47400|Mohave Valley|Mohave Valley CDP
04|47495|Mojave Ranch Estates|Mojave Ranch Estates CDP
04|47610|Morenci|Morenci CDP
04|47740|Morristown|Morristown CDP
04|47820|Mountainaire|Mountainaire CDP
04|48170|Munds Park|Munds Park CDP
04|48310|Naco|Naco CDP
04|49010|Nazlini|Nazlini CDP
04|49100|Nelson|Nelson CDP
04|49270|New Kingman-Butler|New Kingman-Butler CDP
04|49360|New River|New River CDP
04|49710|Nolic|Nolic CDP
04|50000|North Fork|North Fork CDP
04|50340|Nutrioso|Nutrioso CDP
04|50480|Oak Springs|Oak Springs CDP
04|50620|Oatman|Oatman CDP
04|51142|Oljato-Monument Valley|Oljato-Monument Valley CDP
04|51180|Oracle|Oracle CDP
04|51465|Orange Grove Mobile Manor|Orange Grove Mobile Manor CDP
04|51775|Oxbow Estates|Oxbow Estates CDP
