STATEFP|DISTRICT|NAME|NAMELSAD
04|001|1|State House District 1
04|002|2|State House District 2
04|003|3|State House District 3
04|004|4|State House District 4
04|005|5|State House District 5
04|006|6|State House District 6
04|007|7|State House District 7
04|008|8|State House District 8
04|009|9|State House District 9
04|010|10|State House District 10
04|011|11|State House District 11
04|012|12|State House District 12
04|013|13|State House District 13
04|014|14|State House District 14
04|015|15|State House District 15
04|016|16|State House District 16
04|017|17|State House District 17
04|018|18|State House District 18
04|019|19|State House District 19
04|020|20|State House District 20
04|021|21|State House District 21
04|022|22|State House District 22
04|023|23|State House District 23
04|024|24|State House District 24
04|025|25|State House District 25
04|026|26|State House District 26
04|027|27|State House District 27
04|028|28|State House District 28
04|029|29|State House District 29
04|030|30|State House District 30
