STATEFP|DISTRICT|NAME|NAMELSAD
04|001|1|State Senate District 1
04|002|2|State Senate District 2
04|003|3|State Senate District 3
04|004|4|State Senate District 4
04|005|5|State Senate District 5
04|006|6|State Senate District 6
04|007|7|State Senate District 7
04|008|8|State Senate District 8
04|009|9|State Senate District 9
04|010|10|State Senate District 10
04|011|11|State Senate District 11
04|012|12|State Senate District 12
04|013|13|State Senate District 13
04|014|14|State Senate District 14
04|015|15|State Senate District 15
04|016|16|State Senate District 16
04|017|17|State Senate District 17
04|018|18|State Senate District 18
04|019|19|State Senate District 19
04|020|20|State Senate District 20
04|021|21|State Senate District 21
04|022|22|State Senate District 22
04|023|23|State Senate District 23
04|024|24|State Senate District 24
04|025|25|State Senate District 25
04|026|26|State Senate District 26
04|027|27|State Senate District 27
04|028|28|State Senate District 28
04|029|29|State Senate District 29
04|030|30|State Senate District 30
