STATEFP|PLACEFP|NAME|NAMELSAD
06|00135|Acalanes Ridge|Acalanes Ridge CDP
06|00156|Acampo|Acampo CDP
06|00212|Acton|Acton CDP
06|00310|Adin|Adin CDP
06|00450|Agua Dulce|Agua Dulce CDP
06|00464|Aguanga|Aguanga CDP
06|00478|Ahwahnee|Ahwahnee CDP
06|00535|Airport|Airport CDP
06|00618|Alamo|Alamo CDP
06|00716|Albion|Albion CDP
06|00786|Alderpoint|Alderpoint CDP
06|00898|Alhambra Valley|Alhambra Valley CDP
06|00982|Alleghany|Alleghany CDP
06|00996|Allendale|Allendale CDP
06|01010|Allensworth|Allensworth CDP
06|01094|Almanor|Almanor CDP
06|01150|Alondra Park|Alondra Park CDP
06|01164|Alpaugh|Alpaugh CDP
06|01192|Alpine|Alpine CDP
06|01228|Alpine Village|Alpine Village CDP
06|01276|Alta|Alta CDP
06|01290|Altadena|Altadena CDP
06|01360|Alta Sierra|Alta Sierra CDP
06|01416|Alto|Alto CDP
06|01458|Alum Rock|Alum Rock CDP
06|01651|Amesti|Amesti CDP
06|02028|Anchor Bay|Anchor Bay CDP
06|02168|Angwin|Angwin CDP
06|02210|Antelope|Antelope CDP
06|02294|Anza|Anza CDP
06|02378|Aptos|Aptos CDP
06|02382|Aptos Hills-Larkin Valley|Aptos Hills-Larkin Valley CDP
06|02420|Arbuckle|Arbuckle CDP
06|02553|Arden-Arcade|Arden-Arcade CDP
06|02700|Armona|Armona CDP
06|02770|Arnold|Arnold CDP
06|02812|Aromas|Aromas CDP
06|02910|Artois|Artois CDP
06|02980|Ashland|Ashland CDP
06|03026|Aspen Springs|Aspen Springs CDP
06|03190|Auberry|Auberry CDP
06|03205|Auburn Lake Trails|Auburn Lake Trails CDP
06|03209|August|August CDP
06|03316|Avery|Avery CDP
06|03330|Avilla Beach|Avilla Beach CDP
06|03344|Avocado Heights|Avocado Heights CDP
06|03512|Baker|Baker CDP
06|03694|Ballard|Ballard CDP
06|03708|Ballico|Ballico CDP
06|03792|Bangor|Bangor CDP
06|04198|Bass Lake|Bass Lake CDP
06|04415|Bay Point|Bay Point CDP
06|04470|Bayview|Bayview CDP
06|04478|Bayview|Bayview CDP
06|04576|Beale AFB|Beale AFB CDP
06|04632|Bear Creek|Bear Creek CDP
06|04716|Bear Valley|Bear Valley CDP
06|04730|Bear Valley|Bear Valley CDP
06|04734|Bear Valley Springs|Bear Valley Springs CDP
06|04772|Beckwourth|Beckwourth CDP
06|04856|Belden|Belden CDP
06|04926|Bella Vista|Bella Vista CDP
06|04938|Bell Canyon|Bell Canyon CDP
06|05262|Benbow|Benbow CDP
06|05276|Bend|Bend CDP
06|05332|Ben Lomond|Ben Lomond CDP
06|05346|Benton|Benton CDP
06|06028|Bermuda Dunes|Bermuda Dunes CDP
06|06070|Berry Creek|Berry Creek CDP
06|06150|Bertsch-Oceanview|Bertsch-Oceanview CDP
06|06210|Bethel Island|Bethel Island CDP
06|06336|Bieber|Bieber CDP
06|06406|Big Bear City|Big Bear City CDP
06|06475|Big Bend|Big Bend CDP
06|06518|Big Creek|Big Creek CDP
06|06567|Big Lagoon|Big Lagoon CDP
06|06616|Big Pine|Big Pine CDP
06|06635|Big River|Big River CDP
06|06728|Biola|Biola CDP
06|06928|Blackhawk|Blackhawk CDP
06|06935|Blacklake|Blacklake CDP
06|06982|Black Point-Green Point|Black Point-Green Point CDP
06|06994|Blairsden|Blairsden CDP
06|07036|Bloomfield|Bloomfield CDP
06|07064|Bloomington|Bloomington CDP
06|07172|Bluewater|Bluewater CDP
06|07246|Bodega|Bodega CDP
06|07260|Bodega Bay|Bodega Bay CDP
06|07274|Bodfish|Bodfish CDP
06|07316|Bolinas|Bolinas CDP
06|07372|Bombay Beach|Bombay Beach CDP
06|07379|Bonadelle Ranchos-Madera Ranchos|Bonadelle Ranchos-Madera Ranchos CDP
06|07414|Bonita|Bonita CDP
06|07470|Bonny Doon|Bonny Doon CDP
06|07498|Bonsall|Bonsall CDP
06|07512|Boonville|Boonville CDP
06|07525|Bootjack|Bootjack CDP
06|07568|Boron|Boron CDP
06|07578|Boronda|Boronda CDP
06|07596|Borrego Springs|Borrego Springs CDP
06|07624|Bostonia|Bostonia CDP
06|07652|Boulder Creek|Boulder Creek CDP
06|07694|Boulevard|Boulevard CDP
06|07750|Bowles|Bowles CDP
06|07848|Boyes Hot Springs|Boyes Hot Springs CDP
06|07974|Bradley|Bradley CDP
06|08172|Bret Harte|Bret Harte CDP
06|08240|Bridgeport|Bridgeport CDP
06|08338|Broadmoor|Broadmoor CDP
06|08478|Brookdale|Brookdale CDP
06|08530|Brooktrails|Brooktrails CDP
06|08680|Buckhorn|Buckhorn CDP
06|08716|Buck Meadows|Buck Meadows CDP
06|08744|Bucks Lake|Bucks Lake CDP
06|08828|Buena Vista|Buena Vista CDP
06|08968|Burbank|Burbank CDP
06|09122|Burney|Burney CDP
06|09150|Burnt Ranch|Burnt Ranch CDP
06|09310|Butte Creek Canyon|Butte Creek Canyon CDP
06|09318|Butte Meadows|Butte Meadows CDP
06|09324|Butte Valley|Butte Valley CDP
06|09332|Buttonwillow|Buttonwillow CDP
06|09346|Byron|Byron CDP
06|09353|Bystrom|Bystrom CDP
06|09360|Cabazon|Cabazon CDP
06|09822|California Hot Springs|California Hot Springs CDP
06|09834|California Pines|California Pines CDP
06|09948|Callender|Callender CDP
06|09990|Calpella|Calpella CDP
06|10004|Calpine|Calpine CDP
06|10031|Calwa|Calwa CDP
06|10042|Camanche North Shore|Camanche North Shore CDP
06|10044|Camanche Village|Camanche Village CDP
06|10074|Cambria|Cambria CDP
06|10088|Cambrian Park|Cambrian Park CDP
06|10256|Cameron Park|Cameron Park CDP
06|10270|Camino|Camino CDP
06|10301|Camino Tassajara|Camino Tassajara CDP
06|10494|Camp Nelson|Camp Nelson CDP
06|10508|Campo|Campo CDP
06|10559|Camp Pendleton North|Camp Pendleton North CDP
06|10561|Camp Pendleton South|Camp Pendleton South CDP
06|10676|Camptonville|Camptonville CDP
06|10732|Canby|Canby CDP
06|10816|Cantua Creek|Cantua Creek CDP
06|10914|Canyondam|Canyondam CDP
06|11166|Caribou|Caribou CDP
06|11324|Carmel Valley Village|Carmel Valley Village CDP
06|11376|Carmet|Carmet CDP
06|11390|Carmichael|Carmichael CDP
06|11418|Carnelian Bay|Carnelian Bay CDP
06|11481|Carrick|Carrick CDP
06|11600|Cartago|Cartago CDP
06|11614|Caruthers|Caruthers CDP
06|11656|Casa Conejo|Casa Conejo CDP
06|11691|Casa de Oro-Mount Helix|Casa de Oro-Mount Helix CDP
06|11754|Casmalia|Casmalia CDP
06|11768|Caspar|Caspar CDP
06|11782|Cassel|Cassel CDP
06|11796|Castaic|Castaic CDP
06|11915|Castle Hill|Castle Hill CDP
06|11964|Castro Valley|Castro Valley CDP
06|11978|Castroville|Castroville CDP
06|12062|Catheys Valley|Catheys Valley CDP
06|12132|Cayucos|Cayucos CDP
06|12146|Cazadero|Cazadero CDP
06|12300|Cedar Ridge|Cedar Ridge CDP
06|12314|Cedar Slope|Cedar Slope CDP
06|12328|Cedarville|Cedarville CDP
06|12412|Centerville|Centerville CDP
06|12594|Chalfant|Chalfant CDP
06|12612|Challenge-Brownsville|Challenge-Brownsville CDP
06|12669|Channel Islands Beach|Channel Islands Beach CDP
06|12734|Charter Oak|Charter Oak CDP
06|12818|Cherokee|Cherokee CDP
06|12860|Cherokee Strip|Cherokee Strip CDP
06|12902|Cherryland|Cherryland CDP
06|12916|Cherry Valley|Cherry Valley CDP
06|12930|Chester|Chester CDP
06|13077|Chilcoot-Vinton|Chilcoot-Vinton CDP
06|13157|China Lake Acres|China Lake Acres CDP
06|13182|Chinese Camp|Chinese Camp CDP
06|13364|Chualar|Chualar CDP
06|13560|Citrus|Citrus CDP
06|13784|Clarksburg|Clarksburg CDP
06|13854|Clay|Clay CDP
06|13910|Clear Creek|Clear Creek CDP
06|13966|Clearlake Oaks|Clearlake Oaks CDP
06|13985|Clearlake Riviera|Clearlake Riviera CDP
06|14008|Cleone|Cleone CDP
06|14106|Clio|Clio CDP
06|14148|Clipper Mills|Clipper Mills CDP
06|14232|Clyde|Clyde CDP
06|14288|Coarsegold|Coarsegold CDP
06|14302|Cobb|Cobb CDP
06|14406|Coffee Creek|Coffee Creek CDP
06|14442|Cohasset|Cohasset CDP
06|14450|Cold Springs|Cold Springs CDP
06|14454|Cold Springs|Cold Springs CDP
06|14484|Coleville|Coleville CDP
06|14554|College City|College City CDP
06|14708|Collierville|Collierville CDP
06|14764|Coloma|Coloma CDP
06|14904|Columbia|Columbia CDP
06|15030|Comptche|Comptche CDP
06|16035|Concow|Concow CDP
06|16210|Copperopolis|Copperopolis CDP
06|16420|Coronita|Coronita CDP
06|16434|Corralitos|Corralitos CDP
06|16580|Coto de Caza|Coto de Caza CDP
06|16630|Cottonwood|Cottonwood CDP
06|16644|Coultervillle|Coultervillle CDP
06|16651|Country Club|Country Club CDP
06|16714|Courtland|Courtland CDP
06|16728|Covelo|Covelo CDP
06|16762|Cowan|Cowan CDP
06|17050|Crescent Mills|Crescent Mills CDP
06|17078|Cressey|Cressey CDP
06|17106|Crest|Crest CDP
06|17162|Crestline|Crestline CDP
06|17204|Crestmore Heights|Crestmore Heights CDP
06|17232|Creston|Creston CDP
06|17267|C-Road|C-Road CDP
06|17274|Crockett|Crockett CDP
06|17288|Cromberg|Cromberg CDP
06|17372|Crowley Lake|Crowley Lake CDP
06|17428|Crows Landing|Crows Landing CDP
06|17708|Cutler|Cutler CDP
06|17722|Cutten|Cutten CDP
06|17727|Cuyama|Cuyama CDP
06|17995|Daphnedale Park|Daphnedale Park CDP
06|18030|Darwin|Darwin CDP
06|18086|Davenport|Davenport CDP
06|18153|Day Valley|Day Valley CDP
06|18324|Deer Park|Deer Park CDP
06|18352|Del Aire|Del Aire CDP
06|18450|Delft Colony|Delft Colony CDP
06|18464|Delhi|Delhi CDP
06|18485|Delleker|Delleker CDP
06|18590|Del Monte Forest|Del Monte Forest CDP
06|18674|Del Rey|Del Rey CDP
06|18695|Del Rio|Del Rio CDP
06|18856|Denair|Denair CDP
06|18926|Derby Acres|Derby Acres CDP
06|18940|Descanso|Descanso CDP
06|18982|Desert Center|Desert Center CDP
06|18986|Desert Edge|Desert Edge CDP
06|19022|Desert Palms|Desert Palms CDP
06|19024|Desert Shores|Desert Shores CDP
06|19052|Desert View Highlands|Desert View Highlands CDP
06|19150|Diablo|Diablo CDP
06|19155|Diablo Grande|Diablo Grande CDP
06|19220|Diamond Springs|Diamond Springs CDP
06|19262|Dillon Beach|Dillon Beach CDP
06|19339|Discovery Bay|Discovery Bay CDP
06|19406|Dixon Lane-Meadow Creek|Dixon Lane-Meadow Creek CDP
06|19416|Dobbins|Dobbins CDP
06|19440|Dogtown|Dogtown CDP
06|19455|Dollar Point|Dollar Point CDP
06|19570|Dorrington|Dorrington CDP
06|19654|Dos Palos Y|Dos Palos Y CDP
06|19724|Douglas City|Douglas City CDP
