STATEFP|PLACEFP|NAME|NAMELSAD
08|00760|Aguilar|Aguilar town
08|00925|Akron|Akron town
08|01090|Alamosa|Alamosa city
08|01530|Alma|Alma town
08|02355|Antonito|Antonito town
08|03235|Arriba|Arriba town
08|03455|Arvada|Arvada city
08|03620|Aspen|Aspen city
08|03950|Ault|Ault town
08|04000|Aurora|Aurora city
08|04110|Avon|Avon town
08|04935|Basalt|Basalt town
08|05265|Bayfield|Bayfield town
08|06090|Bennett|Bennett town
08|06255|Berthoud|Berthoud town
08|06530|Bethune|Bethune town
08|07025|Black Hawk|Black Hawk city
08|07190|Blanca|Blanca town
08|07410|Blue River|Blue River town
08|07571|Bonanza|Bonanza town
08|07795|Boone|Boone town
08|07850|Boulder|Boulder city
08|08070|Bow Mar|Bow Mar town
08|08345|Branson|Branson town
08|08400|Breckenridge|Breckenridge town
08|08675|Brighton|Brighton city
08|09115|Brookside|Brookside town
08|09280|Broomfield|Broomfield city
08|09555|Brush|Brush city
08|10105|Buena Vista|Buena Vista town
08|10600|Burlington|Burlington city
08|11260|Calhan|Calhan town
08|11645|Campo|Campo town
08|11810|Cañon City|Cañon City city
08|12045|Carbondale|Carbondale town
08|12390|Castle Pines North|Castle Pines North city
08|12415|Castle Rock|Castle Rock town
08|12635|Cedaredge|Cedaredge town
08|12815|Centennial|Centennial city
08|12855|Center|Center town
08|12910|Central City|Central City city
08|13460|Cheraw|Cheraw town
08|13845|Cherry Hills Village|Cherry Hills Village city
08|14175|Cheyenne Wells|Cheyenne Wells town
08|14765|City of Creede|City of Creede town
08|15330|Coal Creek|Coal Creek town
08|15550|Cokedale|Cokedale town
08|15605|Collbran|Collbran town
08|16000|Colorado Springs|Colorado Springs city
08|16385|Columbine Valley|Columbine Valley town
08|16495|Commerce City|Commerce City city
08|17375|Cortez|Cortez city
08|17760|Craig|Craig city
08|17925|Crawford|Crawford town
08|18310|Crested Butte|Crested Butte town
08|18420|Crestone|Crestone town
08|18530|Cripple Creek|Cripple Creek city
08|18640|Crook|Crook town
08|18750|Crowley|Crowley town
08|19080|Dacono|Dacono city
08|19355|De Beque|De Beque town
08|19630|Deer Trail|Deer Trail town
08|19795|Del Norte|Del Norte town
08|19850|Delta|Delta city
08|20000|Denver|Denver city
08|20440|Dillon|Dillon town
08|20495|Dinosaur|Dinosaur town
08|20770|Dolores|Dolores town
08|21265|Dove Creek|Dove Creek town
08|22035|Durango|Durango city
08|22145|Eads|Eads town
08|22200|Eagle|Eagle town
08|22860|Eaton|Eaton town
08|23025|Eckley|Eckley town
08|23135|Edgewater|Edgewater city
08|23740|Elizabeth|Elizabeth town
08|24620|Empire|Empire town
08|24785|Englewood|Englewood city
08|24950|Erie|Erie town
08|25115|Estes Park|Estes Park town
08|25280|Evans|Evans city
08|25610|Fairplay|Fairplay town
08|26270|Federal Heights|Federal Heights city
08|26600|Firestone|Firestone town
08|26765|Flagler|Flagler town
08|26875|Fleming|Fleming town
08|27040|Florence|Florence city
08|27425|Fort Collins|Fort Collins city
08|27700|Fort Lupton|Fort Lupton city
08|27810|Fort Morgan|Fort Morgan city
08|27865|Fountain|Fountain city
08|27975|Fowler|Fowler town
08|28105|Foxfield|Foxfield town
08|28305|Fraser|Fraser town
08|28360|Frederick|Frederick town
08|28690|Frisco|Frisco town
08|28745|Fruita|Fruita city
08|29185|Garden City|Garden City town
08|29680|Genoa|Genoa town
08|29735|Georgetown|Georgetown town
08|29955|Gilcrest|Gilcrest town
08|30340|Glendale|Glendale city
