STATEFP|DISTRICT|NAME|NAMELSAD
08|00001|Cheyenne County School District RE-5|Cheyenne County School District RE-5
08|00016|Yuma School District 1|Yuma School District 1
08|00017|Wray School District RD-2|Wray School District RD-2
08|00018|Idalia School District RJ-3|Idalia School District RJ-3
08|00019|Liberty School District J-4|Liberty School District J-4
08|01920|Academy School District 20|Academy School District 20
08|01950|Adams County School District 14|Adams County School District 14
08|01980|Agate School District 300|Agate School District 300
08|02010|Aguilar Reorganized School District 6|Aguilar Reorganized School District 6
08|02040|Akron School District R-1|Akron School District R-1
08|02070|Alamosa School District RE-11J|Alamosa School District RE-11J
08|02130|South Conejos School District RE-10|South Conejos School District RE-10
08|02190|Archuleta County School District 50-JT|Archuleta County School District 50-JT
08|02220|Arickaree School District R-2|Arickaree School District R-2
08|02260|Arriba-Flagler School District C-20|Arriba-Flagler School District C-20
08|02280|Aspen School District 1|Aspen School District 1
08|02310|Ault-Highland School District RE-9|Ault-Highland School District RE-9
08|02340|Adams-Arapahoe School District 28J|Adams-Arapahoe School District 28J
08|02370|Platte Canyon School District 1|Platte Canyon School District 1
08|02400|Bayfield School District R-10-JT|Bayfield School District R-10-JT
08|02430|Bennett School District 29-J|Bennett School District 29-J
08|02460|Bethune School District R-5|Bethune School District R-5
08|02490|Boulder Valley School District RE-2|Boulder Valley School District RE-2
08|02520|Branson Reorganized School District 82|Branson Reorganized School District 82
08|02550|Briggsdale School District RE-10|Briggsdale School District RE-10
08|02580|Brighton School District 27J|Brighton School District 27J
08|02610|Brush School District RE-2J|Brush School District RE-2J
08|02640|Buena Vista School District R-31|Buena Vista School District R-31
08|02670|Burlington School District RE-6J|Burlington School District RE-6J
08|02700|Byers School District 32J|Byers School District 32J
08|02730|Calhan School District RJ-1|Calhan School District RJ-1
08|02760|Campo School District RE-6|Campo School District RE-6
08|02790|Cañon City School District RE-1|Cañon City School District RE-1
08|02850|Center School District 26-JT|Center School District 26-JT
08|02880|Cheraw School District 31|Cheraw School District 31
08|02910|Cherry Creek School District 5|Cherry Creek School District 5
08|02940|Cheyenne Mountain School District 12|Cheyenne Mountain School District 12
08|03000|Clear Creek School District RE-1|Clear Creek School District RE-1
08|03030|Plateau Valley School District 50|Plateau Valley School District 50
08|03060|Colorado Springs School District 11|Colorado Springs School District 11
08|03090|Montezuma-Cortez School District RE-1|Montezuma-Cortez School District RE-1
08|03120|Cotopaxi School District RE-3|Cotopaxi School District RE-3
08|03150|Creede Consolidated School District 1|Creede Consolidated School District 1
08|03180|Cripple Creek-Victor School District RE-1|Cripple Creek-Victor School District RE-1
08|03210|Crowley County School District RE-1-J|Crowley County School District RE-1-J
08|03240|De Beque School District 49-JT|De Beque School District 49-JT
08|03270|Deer Trail School District 26J|Deer Trail School District 26J
08|03300|Del Norte School District C-7|Del Norte School District C-7
08|03330|Delta County School District 50J|Delta County School District 50J
08|03360|Denver County School District 1|Denver County School District 1
08|03390|Dolores School District RE-4A|Dolores School District RE-4A
08|03420|Dolores County School District RE-2|Dolores County School District RE-2
08|03450|Douglas County School District RE-1|Douglas County School District RE-1
08|03480|Durango School District 9-R|Durango School District 9-R
08|03510|Eads School District RE-1|Eads School District RE-1
08|03540|Eagle County School District RE 50|Eagle County School District RE 50
08|03600|Eaton School District RE-2|Eaton School District RE-2
08|03630|Edison School District 54-JT|Edison School District 54-JT
08|03690|Elbert School District 200|Elbert School District 200
08|03720|Elizabeth School District C-1|Elizabeth School District C-1
08|03750|Ellicott School District 22|Ellicott School District 22
08|03780|Englewood School District 1|Englewood School District 1
08|03810|Park School District R-3|Park School District R-3
08|03840|Park County School District RE-2|Park County School District RE-2
08|03870|Falcon School District 49|Falcon School District 49
08|03930|Frenchman School District RE-3|Frenchman School District RE-3
08|03960|Florence School District RE-2|Florence School District RE-2
08|03990|Poudre School District R-1|Poudre School District R-1
08|04020|Weld County School District RE-8|Weld County School District RE-8
08|04050|Fort Morgan School District RE-3|Fort Morgan School District RE-3
08|04080|Fountain School District 8|Fountain School District 8
08|04110|Fowler School District R-4J|Fowler School District R-4J
08|04140|Sierra Grande School District R-30|Sierra Grande School District R-30
08|04200|Weld County School District RE-1|Weld County School District RE-1
08|04230|Gilpin County School District RE-1|Gilpin County School District RE-1
08|04260|Roaring Fork School District RE-1|Roaring Fork School District RE-1
08|04290|Granada School District RE-1|Granada School District RE-1
08|04320|East Grand School District 2|East Grand School District 2
08|04350|Mesa County Valley School District 51|Mesa County Valley School District 51
08|04380|Garfield County School District 16|Garfield County School District 16
08|04410|Greeley School District 6|Greeley School District 6
08|04440|Pawnee School District RE-12|Pawnee School District RE-12
08|04470|Gunnison Watershed School District RE-1J|Gunnison Watershed School District RE-1J
08|04500|Hanover School District 28|Hanover School District 28
08|04530|Harrison School District 2|Harrison School District 2
08|04560|Haxtun School District RE-2J|Haxtun School District RE-2J
08|04590|Hayden School District RE-1|Hayden School District RE-1
08|04620|Hinsdale County School District RE-1|Hinsdale County School District RE-1
08|04650|Hoehne Reorganized School District 3|Hoehne Reorganized School District 3
08|04680|Holly School District RE-3|Holly School District RE-3
08|04710|Holyoke School District RE-1J|Holyoke School District RE-1J
08|04740|Genoa-Hugo School District C-113|Genoa-Hugo School District C-113
08|04770|Ignacio School District 11-JT|Ignacio School District 11-JT
08|04800|Jefferson County School District R-1|Jefferson County School District R-1
08|04830|Johnstown-Milliken School District RE-5J|Johnstown-Milliken School District RE-5J
08|04860|Julesburg School District RE-1|Julesburg School District RE-1
08|04890|Karval School District RE-23|Karval School District RE-23
08|04920|Keenesburg School District RE-3J|Keenesburg School District RE-3J
08|04950|Platte Valley School District RE-7|Platte Valley School District RE-7
08|04980|Kim Reorganized School District 88|Kim Reorganized School District 88
08|05010|Kiowa School District C-2|Kiowa School District C-2
08|05040|Kit Carson School District R-1|Kit Carson School District R-1
08|05070|West Grand School District 1-JT|West Grand School District 1-JT
08|05100|North Conejos School District RE-1J|North Conejos School District RE-1J
08|05130|East Otero School District R-1|East Otero School District R-1
08|05160|La Veta School District RE-2|La Veta School District RE-2
08|05190|Lake County School District R-1|Lake County School District R-1
08|05220|Lamar School District RE-2|Lamar School District RE-2
