STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
08|001|01001|Adams 1|Adams 1
08|001|01002|Adams 2|Adams 2
08|001|01003|Adams 3|Adams 3
08|001|01004|Adams 4|Adams 4
08|001|01005|Adams 5|Adams 5
08|001|01006|Adams 6|Adams 6
08|001|01007|Adams 7|Adams 7
08|001|01008|Adams 8|Adams 8
08|001|01009|Adams 9|Adams 9
08|001|01010|Adams 10|Adams 10
08|001|01011|Adams 11|Adams 11
08|001|01012|Adams 12|Adams 12
08|001|01013|Adams 13|Adams 13
08|001|01014|Adams 14|Adams 14
08|001|01015|Adams 15|Adams 15
08|001|01016|Adams 16|Adams 16
08|001|01017|Adams 17|Adams 17
08|001|01018|Adams 18|Adams 18
08|001|01019|Adams 19|Adams 19
08|001|01020|Adams 20|Adams 20
08|001|01021|Adams 21|Adams 21
08|001|01023|Adams 23|Adams 23
08|001|01024|Adams 24|Adams 24
08|001|01025|Adams 25|Adams 25
08|001|01026|Adams 26|Adams 26
08|001|01027|Adams 27|Adams 27
08|001|01028|Adams 28|Adams 28
08|001|01029|Adams 29|Adams 29
08|001|01030|Adams 30|Adams 30
08|001|01031|Adams 31|Adams 31
08|001|01032|Adams 32|Adams 32
08|001|01033|Adams 33|Adams 33
08|001|01034|Adams 34|Adams 34
08|001|01035|Adams 35|Adams 35
08|001|01036|Adams 36|Adams 36
08|001|01037|Adams 37|Adams 37
08|001|01038|Adams 38|Adams 38
08|001|01039|Adams 39|Adams 39
08|001|01040|Adams 40|Adams 40
08|001|01041|Adams 41|Adams 41
08|001|01042|Adams 42|Adams 42
08|001|01043|Adams 43|Adams 43
08|001|01044|Adams 44|Adams 44
08|001|01045|Adams 45|Adams 45
08|001|01046|Adams 46|Adams 46
08|001|01047|Adams 47|Adams 47
08|001|01048|Adams 48|Adams 48
08|001|01049|Adams 49|Adams 49
08|001|01050|Adams 50|Adams 50
08|001|01051|Adams 51|Adams 51
08|001|01052|Adams 52|Adams 52
08|001|01053|Adams 53|Adams 53
08|001|01054|Adams 54|Adams 54
08|001|01055|Adams 55|Adams 55
08|001|01056|Adams 56|Adams 56
08|001|01057|Adams 57|Adams 57
08|001|01058|Adams 58|Adams 58
08|001|01059|Adams 59|Adams 59
08|001|01060|Adams 60|Adams 60
08|001|01061|Adams 61|Adams 61
08|001|01062|Adams 62|Adams 62
08|001|01063|Adams 63|Adams 63
08|001|01064|Adams 64|Adams 64
08|001|01065|Adams 65|Adams 65
08|001|01066|Adams 66|Adams 66
08|001|01067|Adams 67|Adams 67
08|001|01068|Adams 68|Adams 68
08|001|01069|Adams 69|Adams 69
08|001|01070|Adams 70|Adams 70
08|001|01071|Adams 71|Adams 71
08|001|01072|Adams 72|Adams 72
08|001|01073|Adams 73|Adams 73
08|001|01074|Adams 74|Adams 74
08|001|01075|Adams 75|Adams 75
08|001|01076|Adams 76|Adams 76
08|001|01077|Adams 77|Adams 77
08|001|01078|Adams 78|Adams 78
08|001|01079|Adams 79|Adams 79
08|001|01080|Adams 80|Adams 80
08|001|01081|Adams 81|Adams 81
08|001|01082|Adams 82|Adams 82
08|001|01083|Adams 83|Adams 83
08|001|01084|Adams 84|Adams 84
08|001|01085|Adams 85|Adams 85
08|001|01086|Adams 86|Adams 86
08|001|01087|Adams 87|Adams 87
08|001|01088|Adams 88|Adams 88
08|001|01089|Adams 89|Adams 89
08|001|01090|Adams 90|Adams 90
08|001|01091|Adams 91|Adams 91
08|001|01092|Adams 92|Adams 92
08|001|01093|Adams 93|Adams 93
08|001|01094|Adams 94|Adams 94
08|001|01095|Adams 95|Adams 95
08|001|01096|Adams 96|Adams 96
08|001|01097|Adams 97|Adams 97
08|001|01098|Adams 98|Adams 98
08|001|01099|Adams 99|Adams 99
08|001|01100|Adams 100|Adams 100
08|001|01101|Adams 101|Adams 101
08|001|01102|Adams 102|Adams 102
08|001|01103|Adams 103|Adams 103
08|001|01104|Adams 104|Adams 104
08|001|01105|Adams 105|Adams 105
08|001|01106|Adams 106|Adams 106
08|001|01107|Adams 107|Adams 107
08|001|01108|Adams 108|Adams 108
08|001|01109|Adams 109|Adams 109
08|001|01110|Adams 110|Adams 110
08|001|01111|Adams 111|Adams 111
08|001|01112|Adams 112|Adams 112
08|001|01113|Adams 113|Adams 113
08|001|01114|Adams 114|Adams 114
08|001|01115|Adams 115|Adams 115
08|001|01116|Adams 116|Adams 116
08|001|01117|Adams 117|Adams 117
08|001|01118|Adams 118|Adams 118
08|001|01119|Adams 119|Adams 119
08|001|01120|Adams 120|Adams 120
08|001|01121|Adams 121|Adams 121
08|001|01122|Adams 122|Adams 122
08|001|01123|Adams 123|Adams 123
08|001|01124|Adams 124|Adams 124
08|001|01125|Adams 125|Adams 125
08|001|01126|Adams 126|Adams 126
08|001|01127|Adams 127|Adams 127
08|001|01128|Adams 128|Adams 128
08|001|01129|Adams 129|Adams 129
08|001|01130|Adams 130|Adams 130
08|001|01131|Adams 131|Adams 131
08|001|01132|Adams 132|Adams 132
08|001|01133|Adams 133|Adams 133
08|001|01134|Adams 134|Adams 134
08|001|01135|Adams 135|Adams 135
08|001|01136|Adams 136|Adams 136
08|001|01137|Adams 137|Adams 137
08|001|01138|Adams 138|Adams 138
08|001|01139|Adams 139|Adams 139
08|001|01140|Adams 140|Adams 140
08|001|01141|Adams 141|Adams 141
08|001|01142|Adams 142|Adams 142
08|001|01143|Adams 143|Adams 143
08|001|01144|Adams 144|Adams 144
08|001|01145|Adams 145|Adams 145
08|001|01146|Adams 146|Adams 146
08|001|01147|Adams 147|Adams 147
08|001|01148|Adams 148|Adams 148
08|001|01149|Adams 149|Adams 149
08|001|01150|Adams 150|Adams 150
08|001|01151|Adams 141|Adams 141
08|001|01152|Adams 152|Adams 152
08|001|01153|Adams 153|Adams 153
08|001|01154|Adams 154|Adams 154
08|001|01155|Adams 155|Adams 155
08|001|01156|Adams 156|Adams 156
08|001|01157|Adams 157|Adams 157
08|001|01158|Adams 158|Adams 158
08|001|01159|Adams 159|Adams 159
08|001|01160|Adams 160|Adams 160
08|001|01161|Adams 161|Adams 161
08|001|01162|Adams 162|Adams 162
08|001|01163|Adams 163|Adams 163
08|001|01164|Adams 164|Adams 164
08|001|01165|Adams 165|Adams 165
08|001|01166|Adams 166|Adams 166
08|001|01167|Adams 167|Adams 167
08|001|01168|Adams 168|Adams 168
08|001|01169|Adams 169|Adams 169
08|001|01170|Adams 170|Adams 170
08|001|01171|Adams 171|Adams 171
08|001|01172|Adams 172|Adams 172
08|001|01173|Adams 173|Adams 173
08|001|01174|Adams 174|Adams 174
08|001|01175|Adams 175|Adams 175
08|001|01176|Adams 176|Adams 176
08|001|01177|Adams 177|Adams 177
08|001|01178|Adams 178|Adams 178
08|001|01179|Adams 179|Adams 179
08|001|01180|Adams 180|Adams 180
08|001|01181|Adams 181|Adams 181
08|001|01182|Adams 182|Adams 182
08|001|01183|Adams 183|Adams 183
08|001|01184|Adams 184|Adams 184
08|001|01185|Adams 185|Adams 185
08|001|01186|Adams 186|Adams 186
08|001|01187|Adams 187|Adams 187
08|001|01188|Adams 188|Adams 188
08|001|01189|Adams 189|Adams 189
08|001|01190|Adams 190|Adams 190
08|001|01191|Adams 191|Adams 191
08|001|01192|Adams 192|Adams 192
08|001|01193|Adams 193|Adams 193
08|001|01194|Adams 194|Adams 194
08|001|01195|Adams 195|Adams 195
08|001|01196|Adams 196|Adams 196
08|001|01197|Adams 197|Adams 197
08|001|01198|Adams 198|Adams 198
08|001|01199|Adams 199|Adams 199
08|001|01200|Adams 200|Adams 200
08|001|01201|Adams 201|Adams 201
08|001|01202|Adams 202|Adams 202
08|001|01203|Adams 203|Adams 203
08|001|01204|Adams 204|Adams 204
08|001|01205|Adams 205|Adams 205
08|001|01206|Adams 206|Adams 206
08|001|01207|Adams 207|Adams 207
08|001|01208|Adams 208|Adams 208
08|001|01209|Adams 209|Adams 209
08|001|01210|Adams 210|Adams 210
08|001|01211|Adams 211|Adams 211
08|001|01212|Adams 212|Adams 212
08|001|01213|Adams 213|Adams 213
08|001|01214|Adams 214|Adams 214
08|001|01215|Adams 215|Adams 215
08|001|01216|Adams 216|Adams 216
