STATEFP|DISTRICT|NAME|NAMELSAD
09|001|1|State Senate District 1
09|002|2|State Senate District 2
09|003|3|State Senate District 3
09|004|4|State Senate District 4
09|005|5|State Senate District 5
09|006|6|State Senate District 6
09|007|7|State Senate District 7
09|008|8|State Senate District 8
09|009|9|State Senate District 9
09|010|10|State Senate District 10
09|011|11|State Senate District 11
09|012|12|State Senate District 12
09|013|13|State Senate District 13
09|014|14|State Senate District 14
09|015|15|State Senate District 15
09|016|16|State Senate District 16
09|017|17|State Senate District 17
09|018|18|State Senate District 18
09|019|19|State Senate District 19
09|020|20|State Senate District 20
09|021|21|State Senate District 21
09|022|22|State Senate District 22
09|023|23|State Senate District 23
09|024|24|State Senate District 24
09|025|25|State Senate District 25
09|026|26|State Senate District 26
09|027|27|State Senate District 27
09|028|28|State Senate District 28
09|029|29|State Senate District 29
09|030|30|State Senate District 30
09|031|31|State Senate District 31
09|032|32|State Senate District 32
09|033|33|State Senate District 33
09|034|34|State Senate District 34
09|035|35|State Senate District 35
09|036|36|State Senate District 36
09|ZZZ|State Senate Districts not defined|State Senate Districts not defined
