STATEFP|DISTRICT|NAME|NAMELSAD
10|001|1|State House District 1
10|002|2|State House District 2
10|003|3|State House District 3
10|004|4|State House District 4
10|005|5|State House District 5
10|006|6|State House District 6
10|007|7|State House District 7
10|008|8|State House District 8
10|009|9|State House District 9
10|010|10|State House District 10
10|011|11|State House District 11
10|012|12|State House District 12
10|013|13|State House District 13
10|014|14|State House District 14
10|015|15|State House District 15
10|016|16|State House District 16
10|017|17|State House District 17
10|018|18|State House District 18
10|019|19|State House District 19
10|020|20|State House District 20
10|021|21|State House District 21
10|022|22|State House District 22
10|023|23|State House District 23
10|024|24|State House District 24
10|025|25|State House District 25
10|026|26|State House District 26
10|027|27|State House District 27
10|028|28|State House District 28
10|029|29|State House District 29
10|030|30|State House District 30
10|031|31|State House District 31
10|032|32|State House District 32
10|033|33|State House District 33
10|034|34|State House District 34
10|035|35|State House District 35
10|036|36|State House District 36
10|037|37|State House District 37
10|038|38|State House District 38
10|039|39|State House District 39
10|040|40|State House District 40
10|041|41|State House District 41
