STATEFP|PLACEFP|NAME|NAMELSAD
12|00075|Acacia Villas|Acacia Villas CDP
12|00410|Alafaya|Alafaya CDP
12|00800|Allentown|Allentown CDP
12|01050|Altoona|Altoona CDP
12|01100|Alturas|Alturas CDP
12|01125|Alva|Alva CDP
12|01353|Andrews|Andrews CDP
12|01675|Apollo Beach|Apollo Beach CDP
12|01875|Aripeka|Aripeka CDP
12|02187|Asbury Lake|Asbury Lake CDP
12|02275|Astor|Astor CDP
12|02575|Aucilla|Aucilla CDP
12|02660|Avalon|Avalon CDP
12|02850|Azalea Park|Azalea Park CDP
12|02900|Babson Park|Babson Park CDP
12|02925|Bagdad|Bagdad CDP
12|03375|Balm|Balm CDP
12|03480|Bardmoor|Bardmoor CDP
12|04070|Bay Hill|Bay Hill CDP
12|04162|Bayonet Point|Bayonet Point CDP
12|04200|Bay Pines|Bay Pines CDP
12|04250|Bayport|Bayport CDP
12|04350|Bayshore Gardens|Bayshore Gardens CDP
12|04650|Beacon Square|Beacon Square CDP
12|04735|Bear Creek|Bear Creek CDP
12|04925|Bee Ridge|Bee Ridge CDP
12|05025|Bellair-Meadowbrook Terrace|Bellair-Meadowbrook Terrace CDP
12|05462|Bellview|Bellview CDP
12|05825|Berrydale|Berrydale CDP
12|06125|Beverly Hills|Beverly Hills CDP
12|06350|Big Coppitt Key|Big Coppitt Key CDP
12|06425|Big Pine Key|Big Pine Key CDP
12|06625|Bithlo|Bithlo CDP
12|06667|Black Diamond|Black Diamond CDP
12|06670|Black Hammock|Black Hammock CDP
12|06875|Bloomingdale|Bloomingdale CDP
12|07375|Bokeelia|Bokeelia CDP
12|07687|Boulevard Gardens|Boulevard Gardens CDP
12|08125|Bradley Junction|Bradley Junction CDP
12|08150|Brandon|Brandon CDP
12|08300|Brent|Brent CDP
12|08450|Brewster|Brewster CDP
12|08650|Broadview Park|Broadview Park CDP
12|08762|Brookridge|Brookridge CDP
12|08925|Brownsdale|Brownsdale CDP
12|09000|Brownsville|Brownsville CDP
12|09315|Buckhead Ridge|Buckhead Ridge CDP
12|09350|Buckingham|Buckingham CDP
12|09415|Buenaventura Lakes|Buenaventura Lakes CDP
12|09612|Burnt Store Marina|Burnt Store Marina CDP
12|09630|Butler Beach|Butler Beach CDP
12|09655|Cabana Colony|Cabana Colony CDP
12|09875|Campbell|Campbell CDP
12|10100|Canal Point|Canal Point CDP
12|10425|Captiva|Captiva CDP
12|10825|Carrollwood|Carrollwood CDP
12|11150|Cedar Grove|Cedar Grove CDP
12|11285|Celebration|Celebration CDP
12|11597|Charleston Park|Charleston Park CDP
12|11625|Charlotte Harbor|Charlotte Harbor CDP
12|11650|Charlotte Park|Charlotte Park CDP
12|11912|Cheval|Cheval CDP
12|12150|Chokoloskee|Chokoloskee CDP
12|12250|Christmas|Christmas CDP
12|12275|Chuluota|Chuluota CDP
12|12300|Chumuckla|Chumuckla CDP
12|12412|Citrus Hills|Citrus Hills CDP
12|12425|Citrus Park|Citrus Park CDP
12|12450|Citrus Springs|Citrus Springs CDP
12|12675|Clarcona|Clarcona CDP
12|12950|Cleveland|Cleveland CDP
12|13125|Cobbtown|Cobbtown CDP
12|13225|Cocoa West|Cocoa West CDP
12|13775|Combee Settlement|Combee Settlement CDP
12|13965|Connerton|Connerton CDP
12|14050|Conway|Conway CDP
12|14412|Coral Terrace|Coral Terrace CDP
12|14700|Cortez|Cortez CDP
12|14895|Country Club|Country Club CDP
12|15055|Country Walk|Country Walk CDP
12|15300|Crawfordville|Crawfordville CDP
12|15325|Crescent Beach|Crescent Beach CDP
12|15515|Crooked Lake Park|Crooked Lake Park CDP
12|15725|Crystal Lake|Crystal Lake CDP
12|15800|Crystal Springs|Crystal Springs CDP
12|15862|Cudjoe Key|Cudjoe Key CDP
12|16050|Cypress Gardens|Cypress Gardens CDP
12|16062|Cypress Lake|Cypress Lake CDP
12|16100|Cypress Quarters|Cypress Quarters CDP
12|16175|Dade City North|Dade City North CDP
12|16500|Day|Day CDP
12|16937|DeLand Southwest|DeLand Southwest CDP
12|16975|De Leon Springs|De Leon Springs CDP
12|17300|Desoto Lakes|Desoto Lakes CDP
12|17450|Dickerson City|Dickerson City CDP
12|17710|Dixonville|Dixonville CDP
12|17725|Doctor Phillips|Doctor Phillips CDP
12|18075|Dover|Dover CDP
12|18425|Duck Key|Duck Key CDP
12|19025|East Bronson|East Bronson CDP
12|19206|East Lake|East Lake CDP
12|19212|East Lake-Orient Park|East Lake-Orient Park CDP
12|19275|East Milton|East Milton CDP
12|19350|East Palatka|East Palatka CDP
12|19400|Eastpoint|Eastpoint CDP
12|19575|East Williston|East Williston CDP
12|20050|Eglin AFB|Eglin AFB CDP
12|20108|Egypt Lake-Leto|Egypt Lake-Leto CDP
12|20275|Elfers|Elfers CDP
12|20375|Ellenton|Ellenton CDP
12|20825|Englewood|Englewood CDP
12|20925|Ensley|Ensley CDP
12|21150|Estero|Estero CDP
12|21750|Fairview Shores|Fairview Shores CDP
12|21945|Feather Sound|Feather Sound CDP
12|22225|Ferndale|Ferndale CDP
12|22250|Fern Park|Fern Park CDP
12|22275|Ferry Pass|Ferry Pass CDP
12|22325|Fidelis|Fidelis CDP
12|22375|Fisher Island|Fisher Island CDP
12|22387|Fish Hawk|Fish Hawk CDP
12|22475|Five Points|Five Points CDP
12|22560|Flagler Estates|Flagler Estates CDP
12|22660|Fleming Island|Fleming Island CDP
12|22775|Floral City|Floral City CDP
12|23050|Florida Ridge|Florida Ridge CDP
12|23125|Floridatown|Floridatown CDP
12|23375|Forest City|Forest City CDP
12|23730|Fort Denaud|Fort Denaud CDP
12|23850|Fort Green|Fort Green CDP
12|23875|Fort Green Springs|Fort Green Springs CDP
12|24175|Fort Myers Shores|Fort Myers Shores CDP
12|24337|Fort Pierce North|Fort Pierce North CDP
12|24387|Fort Pierce South|Fort Pierce South CDP
12|24562|Fountainebleau|Fountainebleau CDP
12|24581|Four Corners|Four Corners CDP
12|24710|Franklin Park|Franklin Park CDP
12|24925|Fruit Cove|Fruit Cove CDP
12|25000|Fruitville|Fruitville CDP
12|25025|Fuller Heights|Fuller Heights CDP
12|25125|Fussels Corner|Fussels Corner CDP
12|25392|Garcon Point|Garcon Point CDP
12|25475|Garden Grove|Garden Grove CDP
12|25550|Gardner|Gardner CDP
12|25655|Gateway|Gateway CDP
12|25750|Geneva|Geneva CDP
12|25900|Gibsonton|Gibsonton CDP
12|25925|Gifford|Gifford CDP
12|25987|Gladeview|Gladeview CDP
12|26000|Glencoe|Glencoe CDP
12|26100|Glenvar Heights|Glenvar Heights CDP
12|26300|Golden Gate|Golden Gate CDP
12|26375|Golden Glades|Golden Glades CDP
12|26475|Goldenrod|Goldenrod CDP
12|26700|Gonzalez|Gonzalez CDP
12|26775|Goodland|Goodland CDP
12|26900|Gotha|Gotha CDP
12|26925|Goulding|Goulding CDP
12|26950|Goulds|Goulds CDP
12|27360|Greenbriar|Greenbriar CDP
12|27635|Grenelefe|Grenelefe CDP
12|27775|Grove City|Grove City CDP
12|28050|Gulf Gate Estates|Gulf Gate Estates CDP
12|28305|Gun Club Estates|Gun Club Estates CDP
12|28650|Harbor Bluffs|Harbor Bluffs CDP
12|28800|Harbour Heights|Harbour Heights CDP
12|28925|Harlem|Harlem CDP
12|28937|Harlem Heights|Harlem Heights CDP
12|29000|Harold|Harold CDP
12|29320|Heathrow|Heathrow CDP
12|29385|Heritage Pines|Heritage Pines CDP
12|29425|Hernando|Hernando CDP
12|29437|Hernando Beach|Hernando Beach CDP
12|30225|Highland City|Highland City CDP
12|30494|High Point|High Point CDP
12|30800|Hill 'n Dale|Hill 'n Dale CDP
12|30858|Hillsboro Pines|Hillsboro Pines CDP
12|30975|Hobe Sound|Hobe Sound CDP
12|31025|Holden Heights|Holden Heights CDP
12|31075|Holiday|Holiday CDP
12|31275|Holley|Holley CDP
12|32250|Homeland|Homeland CDP
12|32325|Homestead Base|Homestead Base CDP
12|32375|Homosassa|Homosassa CDP
12|32400|Homosassa Springs|Homosassa Springs CDP
12|32610|Horizon West|Horizon West CDP
12|32675|Hosford|Hosford CDP
12|32825|Hudson|Hudson CDP
12|32967|Hunters Creek|Hunters Creek CDP
12|32993|Hutchinson Island South|Hutchinson Island South CDP
12|33250|Immokalee|Immokalee CDP
12|33585|Indian River Estates|Indian River Estates CDP
12|33700|Indiantown|Indiantown CDP
12|33958|Inverness Highlands North|Inverness Highlands North CDP
12|33966|Inverness Highlands South|Inverness Highlands South CDP
12|34000|Inwood|Inwood CDP
12|34012|Iona|Iona CDP
12|34185|Island Walk|Island Walk CDP
12|34275|Istachatta|Istachatta CDP
12|34400|Ives Estates|Ives Estates CDP
12|35300|Jan Phyl Village|Jan Phyl Village CDP
12|35350|Jasmine Estates|Jasmine Estates CDP
12|35550|Jensen Beach|Jensen Beach CDP
12|35800|June Park|June Park CDP
12|35862|Juno Ridge|Juno Ridge CDP
12|35890|Jupiter Farms|Jupiter Farms CDP
12|35950|Kathleen|Kathleen CDP
12|36062|Kendale Lakes|Kendale Lakes CDP
12|36100|Kendall|Kendall CDP
12|36121|Kendall West|Kendall West CDP
12|36200|Kensington Park|Kensington Park CDP
12|36220|Kenwood Estates|Kenwood Estates CDP
12|36375|Key Largo|Key Largo CDP
12|36462|Keystone|Keystone CDP
12|36535|Key Vista|Key Vista CDP
12|37275|Lacoochee|Lacoochee CDP
12|37500|Laguna Beach|Laguna Beach CDP
12|37542|Lake Belvedere Estates|Lake Belvedere Estates CDP
12|37648|Lake Butler|Lake Butler CDP
12|38000|Lake Harbor|Lake Harbor CDP
12|38012|Lake Hart|Lake Hart CDP
12|38162|Lake Kathryn|Lake Kathryn CDP
12|38262|Lakeland Highlands|Lakeland Highlands CDP
12|38275|Lake Lindsey|Lake Lindsey CDP
12|38287|Lake Lorraine|Lake Lorraine CDP
12|38332|Lake Mack-Forest Hills|Lake Mack-Forest Hills CDP
12|38350|Lake Magdalene|Lake Magdalene CDP
12|38430|Lake Mary Jane|Lake Mary Jane CDP
12|38519|Lake Mystic|Lake Mystic CDP
12|38575|Lake Panasoffkee|Lake Panasoffkee CDP
12|38690|Lake Sarasota|Lake Sarasota CDP
12|38813|Lakeside|Lakeside CDP
12|39056|Lakewood Gardens|Lakewood Gardens CDP
12|39062|Lakewood Park|Lakewood Park CDP
12|39100|Lamont|Lamont CDP
12|39200|Land O' Lakes|Land O' Lakes CDP
12|39600|Laurel|Laurel CDP
12|39775|Lealman|Lealman CDP
12|39825|Lecanto|Lecanto CDP
