STATEFP|DISTRICT|NAME|NAMELSAD
12|001|1|State House District 1
12|002|2|State House District 2
12|003|3|State House District 3
12|004|4|State House District 4
12|005|5|State House District 5
12|006|6|State House District 6
12|007|7|State House District 7
12|008|8|State House District 8
12|009|9|State House District 9
12|010|10|State House District 10
12|011|11|State House District 11
12|012|12|State House District 12
12|013|13|State House District 13
12|014|14|State House District 14
12|015|15|State House District 15
12|016|16|State House District 16
12|017|17|State House District 17
12|018|18|State House District 18
12|019|19|State House District 19
12|020|20|State House District 20
12|021|21|State House District 21
12|022|22|State House District 22
12|023|23|State House District 23
12|024|24|State House District 24
12|025|25|State House District 25
12|026|26|State House District 26
12|027|27|State House District 27
12|028|28|State House District 28
12|029|29|State House District 29
12|030|30|State House District 30
12|031|31|State House District 31
12|032|32|State House District 32
12|033|33|State House District 33
12|034|34|State House District 34
12|035|35|State House District 35
12|036|36|State House District 36
12|037|37|State House District 37
12|038|38|State House District 38
12|039|39|State House District 39
12|040|40|State House District 40
12|041|41|State House District 41
12|042|42|State House District 42
12|043|43|State House District 43
12|044|44|State House District 44
12|045|45|State House District 45
12|046|46|State House District 46
12|047|47|State House District 47
12|048|48|State House District 48
12|049|49|State House District 49
12|050|50|State House District 50
12|051|51|State House District 51
12|052|52|State House District 52
12|053|53|State House District 53
12|054|54|State House District 54
12|055|55|State House District 55
12|056|56|State House District 56
12|057|57|State House District 57
12|058|58|State House District 58
12|059|59|State House District 59
12|060|60|State House District 60
12|061|61|State House District 61
12|062|62|State House District 62
12|063|63|State House District 63
12|064|64|State House District 64
12|065|65|State House District 65
12|066|66|State House District 66
12|067|67|State House District 67
12|068|68|State House District 68
12|069|69|State House District 69
12|070|70|State House District 70
12|071|71|State House District 71
12|072|72|State House District 72
12|073|73|State House District 73
12|074|74|State House District 74
12|075|75|State House District 75
12|076|76|State House District 76
12|077|77|State House District 77
12|078|78|State House District 78
12|079|79|State House District 79
12|080|80|State House District 80
12|081|81|State House District 81
12|082|82|State House District 82
12|083|83|State House District 83
12|084|84|State House District 84
12|085|85|State House District 85
12|086|86|State House District 86
12|087|87|State House District 87
12|088|88|State House District 88
12|089|89|State House District 89
12|090|90|State House District 90
12|091|91|State House District 91
12|092|92|State House District 92
12|093|93|State House District 93
12|094|94|State House District 94
12|095|95|State House District 95
12|096|96|State House District 96
12|097|97|State House District 97
12|098|98|State House District 98
12|099|99|State House District 99
12|100|100|State House District 100
12|101|101|State House District 101
12|102|102|State House District 102
12|103|103|State House District 103
12|104|104|State House District 104
12|105|105|State House District 105
12|106|106|State House District 106
12|107|107|State House District 107
12|108|108|State House District 108
12|109|109|State House District 109
12|110|110|State House District 110
12|111|111|State House District 111
12|112|112|State House District 112
12|113|113|State House District 113
12|114|114|State House District 114
12|115|115|State House District 115
12|116|116|State House District 116
12|117|117|State House District 117
12|118|118|State House District 118
12|119|119|State House District 119
12|120|120|State House District 120
