STATEFP|DISTRICT|NAME|NAMELSAD
13|001|1|State Senate District 1
13|002|2|State Senate District 2
13|003|3|State Senate District 3
13|004|4|State Senate District 4
13|005|5|State Senate District 5
13|006|6|State Senate District 6
13|007|7|State Senate District 7
13|008|8|State Senate District 8
13|009|9|State Senate District 9
13|010|10|State Senate District 10
13|011|11|State Senate District 11
13|012|12|State Senate District 12
13|013|13|State Senate District 13
13|014|14|State Senate District 14
13|015|15|State Senate District 15
13|016|16|State Senate District 16
13|017|17|State Senate District 17
13|018|18|State Senate District 18
13|019|19|State Senate District 19
13|020|20|State Senate District 20
13|021|21|State Senate District 21
13|022|22|State Senate District 22
13|023|23|State Senate District 23
13|024|24|State Senate District 24
13|025|25|State Senate District 25
13|026|26|State Senate District 26
13|027|27|State Senate District 27
13|028|28|State Senate District 28
13|029|29|State Senate District 29
13|030|30|State Senate District 30
13|031|31|State Senate District 31
13|032|32|State Senate District 32
13|033|33|State Senate District 33
13|034|34|State Senate District 34
13|035|35|State Senate District 35
13|036|36|State Senate District 36
13|037|37|State Senate District 37
13|038|38|State Senate District 38
13|039|39|State Senate District 39
13|040|40|State Senate District 40
13|041|41|State Senate District 41
13|042|42|State Senate District 42
13|043|43|State Senate District 43
13|044|44|State Senate District 44
13|045|45|State Senate District 45
13|046|46|State Senate District 46
13|047|47|State Senate District 47
13|048|48|State Senate District 48
13|049|49|State Senate District 49
13|050|50|State Senate District 50
13|051|51|State Senate District 51
13|052|52|State Senate District 52
13|053|53|State Senate District 53
13|054|54|State Senate District 54
13|055|55|State Senate District 55
13|056|56|State Senate District 56
