STATEFP|DISTRICT|NAME|NAMELSAD
15|001|1|State House District 1
15|002|2|State House District 2
15|003|3|State House District 3
15|004|4|State House District 4
15|005|5|State House District 5
15|006|6|State House District 6
15|007|7|State House District 7
15|008|8|State House District 8
15|009|9|State House District 9
15|010|10|State House District 10
15|011|11|State House District 11
15|012|12|State House District 12
15|013|13|State House District 13
15|014|14|State House District 14
15|015|15|State House District 15
15|016|16|State House District 16
15|017|17|State House District 17
15|018|18|State House District 18
15|019|19|State House District 19
15|020|20|State House District 20
15|021|21|State House District 21
15|022|22|State House District 22
15|023|23|State House District 23
15|024|24|State House District 24
15|025|25|State House District 25
15|026|26|State House District 26
15|027|27|State House District 27
15|028|28|State House District 28
15|029|29|State House District 29
15|030|30|State House District 30
15|031|31|State House District 31
15|032|32|State House District 32
15|033|33|State House District 33
15|034|34|State House District 34
15|035|35|State House District 35
15|036|36|State House District 36
15|037|37|State House District 37
15|038|38|State House District 38
15|039|39|State House District 39
15|040|40|State House District 40
15|041|41|State House District 41
15|042|42|State House District 42
15|043|43|State House District 43
15|044|44|State House District 44
15|045|45|State House District 45
15|046|46|State House District 46
15|047|47|State House District 47
15|048|48|State House District 48
15|049|49|State House District 49
15|050|50|State House District 50
15|051|51|State House District 51
15|ZZZ|State House Districts not defined|State House Districts not defined
