STATEFP|DISTRICT|NAME|NAMELSAD
16|001|1|State Senate District 1
16|002|2|State Senate District 2
16|003|3|State Senate District 3
16|004|4|State Senate District 4
16|005|5|State Senate District 5
16|006|6|State Senate District 6
16|007|7|State Senate District 7
16|008|8|State Senate District 8
16|009|9|State Senate District 9
16|010|10|State Senate District 10
16|011|11|State Senate District 11
16|012|12|State Senate District 12
16|013|13|State Senate District 13
16|014|14|State Senate District 14
16|015|15|State Senate District 15
16|016|16|State Senate District 16
16|017|17|State Senate District 17
16|018|18|State Senate District 18
16|019|19|State Senate District 19
16|020|20|State Senate District 20
16|021|21|State Senate District 21
16|022|22|State Senate District 22
16|023|23|State Senate District 23
16|024|24|State Senate District 24
16|025|25|State Senate District 25
16|026|26|State Senate District 26
16|027|27|State Senate District 27
16|028|28|State Senate District 28
16|029|29|State Senate District 29
16|030|30|State Senate District 30
16|031|31|State Senate District 31
16|032|32|State Senate District 32
16|033|33|State Senate District 33
16|034|34|State Senate District 34
16|035|35|State Senate District 35
