STATEFP|DISTRICT|NAME|NAMELSAD
17|00009|Pinckneyville School District 50|Pinckneyville School District 50
17|00010|Beach Park Community Consolidated School District 3|Beach Park Community Consolidated School District 3
17|00065|Saunemin Community Consolidated School District 438|Saunemin Community Consolidated School District 438
17|00077|Marengo-Union Elementary Consolidated District 165|Marengo-Union Elementary Consolidated District 165
17|00103|New Holland-Middletown Elementary School District 88|New Holland-Middletown Elementary School District 88
17|00112|Streator Elementary School District 44|Streator Elementary School District 44
17|00119|North Shore School District 112|North Shore School District 112
17|00222|Nippersink School District 2|Nippersink School District 2
17|00330|Prairieview-Ogden Community Consolidated School District 197|Prairieview-Ogden Community Consolidated School District 197
17|03150|Addison School District 4|Addison School District 4
17|03210|Akin Community Consolidated School District 91|Akin Community Consolidated School District 91
17|03270|Albers School District 63|Albers School District 63
17|03420|Allen Township Community Consolidated School District 65|Allen Township Community Consolidated School District 65
17|03480|Alsip-Hazelgreen-Oaklawn School District 126|Alsip-Hazelgreen-Oaklawn School District 126
17|03750|Anna Community Consolidated School District 37|Anna Community Consolidated School District 37
17|03840|Antioch Community Consolidated School District 34|Antioch Community Consolidated School District 34
17|03900|Aptakisic-Tripp Community Consolidated School District|Aptakisic-Tripp Community Consolidated School District
17|03930|Arbor Park School District 145|Arbor Park School District 145
17|04050|Summit School District 104|Summit School District 104
17|04140|Arlington Heights School District 25|Arlington Heights School District 25
17|04200|Armstrong-Ellis Consolidated School District 61|Armstrong-Ellis Consolidated School District 61
17|04340|Ashley Community Consolidated School District 15|Ashley Community Consolidated School District 15
17|04560|Atwood Heights School District 125|Atwood Heights School District 125
17|04740|Aviston School District 21|Aviston School District 21
17|04800|Avoca School District 37|Avoca School District 37
17|04950|Bannockburn School District 106|Bannockburn School District 106
17|05160|Bartelso School District 57|Bartelso School District 57
17|05190|Bartonville School District 66|Bartonville School District 66
17|05466|Marseilles Elementary School District 150|Marseilles Elementary School District 150
17|05570|Opdyke-Belle Rive Community Consolidated School District 5|Opdyke-Belle Rive Community Consolidated School District 5
17|05580|Belle Valley School District 119|Belle Valley School District 119
17|05610|Belleville School District 118|Belleville School District 118
17|05760|Bellwood School District 88|Bellwood School District 88
17|05880|Benjamin School District 25|Benjamin School District 25
17|05910|Bensenville School District 2|Bensenville School District 2
17|05950|Benton Community Consolidated School District 47|Benton Community Consolidated School District 47
17|06000|Berkeley School District 87|Berkeley School District 87
17|06060|Berwyn North School District 98|Berwyn North School District 98
17|06090|Berwyn South School District 100|Berwyn South School District 100
17|06180|Bethel School District 82|Bethel School District 82
17|06270|Big Hollow School District 38|Big Hollow School District 38
17|06450|Bloomingdale School District 13|Bloomingdale School District 13
17|06510|Cook County School District 130|Cook County School District 130
17|06630|Bluford Community Consolidated School District 114|Bluford Community Consolidated School District 114
17|06750|Bourbonnais School District 53|Bourbonnais School District 53
17|06840|Braceville School District 75|Braceville School District 75
17|06930|Bradley School District 61|Bradley School District 61
17|07010|Breese School District 12|Breese School District 12
17|07170|Indian Springs School District 109|Indian Springs School District 109
17|07290|Lemont-Bromberek Combined School District 113A|Lemont-Bromberek Combined School District 113A
17|07320|Brookfield School District 95|Brookfield School District 95
17|07740|Buncombe Consolidated School District 43|Buncombe Consolidated School District 43
