STATEFP|DISTRICT|NAME|NAMELSAD
17|00001|River Ridge Community Unit School District 210|River Ridge Community Unit School District 210
17|00002|Casey-Westfield Community Unit School District 4C|Casey-Westfield Community Unit School District 4C
17|00003|Blue Ridge Community Unit School District 18|Blue Ridge Community Unit School District 18
17|00004|Norris City-Omaha-Enfield Community Unit School District 3|Norris City-Omaha-Enfield Community Unit School District 3
17|00005|Prairie Central Community Unit School District 8|Prairie Central Community Unit School District 8
17|00007|Eastland Community Unit School District 308|Eastland Community Unit School District 308
17|00014|Goreville Community Unit School District 1|Goreville Community Unit School District 1
17|00015|Joppa-Maple Grove Unit District 38|Joppa-Maple Grove Unit District 38
17|00041|Gibson City-Melvin-Sibley Community Unit School District 5|Gibson City-Melvin-Sibley Community Unit School District 5
17|00044|Farmington Central Community Unit School District 265|Farmington Central Community Unit School District 265
17|00045|Gallatin Community Unit School District 7|Gallatin Community Unit School District 7
17|00092|Georgetown-Ridge Farm Consolidated Unit School District 4|Georgetown-Ridge Farm Consolidated Unit School District 4
17|00102|Brussels Community Unit School District 42|Brussels Community Unit School District 42
17|00105|A-C Central Community Unit School District 262|A-C Central Community Unit School District 262
17|00106|Heritage Community Unit School District 8|Heritage Community Unit School District 8
17|00109|Ridgeview Community Unit School District 19|Ridgeview Community Unit School District 19
17|00110|North Chicago School District 187|North Chicago School District 187
17|00113|Illini Central Community Unit School District 189|Illini Central Community Unit School District 189
17|00114|South Central Community Unit School District 401|South Central Community Unit School District 401
17|00115|Henry-Senachwine Consolidated Unit School District 5|Henry-Senachwine Consolidated Unit School District 5
17|00120|Lostant Community Unit School District 425|Lostant Community Unit School District 425
17|00122|Shiloh Community Unit School District 1|Shiloh Community Unit School District 1
17|00123|Meridian Community Unit School District 15|Meridian Community Unit School District 15
17|00125|Bureau Valley Community Unit School District 340|Bureau Valley Community Unit School District 340
17|00126|Midland Community Unit School District 7|Midland Community Unit School District 7
17|00130|West Carroll Community Unit School District 314|West Carroll Community Unit School District 314
17|00153|Lewistown Community Unit School District 97|Lewistown Community Unit School District 97
17|00176|Cowden-Herrick Community Unit School District 3A|Cowden-Herrick Community Unit School District 3A
17|00217|Christopher Community Unit School District 99|Christopher Community Unit School District 99
