STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
17|001|01001|CLAYTON 1|CLAYTON 1 Voting District
17|001|02001|NORTHEAST 1|NORTHEAST 1 Voting District
17|001|03001|CAMP POINT 1|CAMP POINT 1 Voting District
17|001|03002|CAMP POINT 2|CAMP POINT 2 Voting District
17|001|04001|HOUSTON 1|HOUSTON 1 Voting District
17|001|05001|HONEY CREEK 1|HONEY CREEK 1 Voting District
17|001|06001|KEENE 1|KEENE 1 Voting District
17|001|07001|MENDON 1|MENDON 1 Voting District
17|001|07002|MENDON 2|MENDON 2 Voting District
17|001|08001|LIMA 1|LIMA 1 Voting District
17|001|09001|URSA 1|URSA 1 Voting District
17|001|10001|CONCORD 1|CONCORD 1 Voting District
17|001|11001|MCKEE 1|MCKEE 1 Voting District
17|001|12001|BEVERLY 1|BEVERLY 1 Voting District
17|001|13001|COLUMBUS 1|COLUMBUS 1 Voting District
17|001|14001|LIBERTY 1|LIBERTY 1 Voting District
17|001|15001|RICHFIELD 1|RICHFIELD 1 Voting District
17|001|16001|GILMER 1|GILMER 1 Voting District
17|001|17001|BURTON 1|BURTON 1 Voting District
17|001|18001|PAYSON 1|PAYSON 1 Voting District
17|001|18002|PAYSON 2|PAYSON 2 Voting District
17|001|19001|ELLINGTON 1|ELLINGTON 1 Voting District
17|001|19002|ELLINGTON 2|ELLINGTON 2 Voting District
17|001|19003|ELLINGTON 3|ELLINGTON 3 Voting District
17|001|20001|MELROSE 1|MELROSE 1 Voting District
17|001|20002|MELROSE 2|MELROSE 2 Voting District
17|001|20003|MELROSE 3|MELROSE 3 Voting District
17|001|20004|MELROSE 4|MELROSE 4 Voting District
17|001|20005|MELROSE 5|MELROSE 5 Voting District
17|001|20006|MELROSE 6|MELROSE 6 Voting District
17|001|21001|FALL CREEK 1|FALL CREEK 1 Voting District
17|001|22001|RIVERSIDE 1|RIVERSIDE 1 Voting District
17|001|22002|RIVERSIDE 2|RIVERSIDE 2 Voting District
17|001|22003|RIVERSIDE 3|RIVERSIDE 3 Voting District
17|001|23001|QUINCY 1|QUINCY 1 Voting District
17|001|23002|QUINCY 2|QUINCY 2 Voting District
17|001|23003|QUINCY 3|QUINCY 3 Voting District
17|001|23004|QUINCY 4|QUINCY 4 Voting District
17|001|23005|QUINCY 5|QUINCY 5 Voting District
17|001|23006|QUINCY 6|QUINCY 6 Voting District
17|001|23007|QUINCY 7|QUINCY 7 Voting District
17|001|23008|QUINCY 8|QUINCY 8 Voting District
17|001|23009|QUINCY 9|QUINCY 9 Voting District
17|001|23010|QUINCY 10|QUINCY 10 Voting District
17|001|23011|QUINCY 11|QUINCY 11 Voting District
17|001|23012|QUINCY 12|QUINCY 12 Voting District
17|001|23013|QUINCY 13|QUINCY 13 Voting District
17|001|23014|QUINCY 14|QUINCY 14 Voting District
17|001|23015|QUINCY 15|QUINCY 15 Voting District
17|001|23016|QUINCY 16|QUINCY 16 Voting District
17|001|23017|QUINCY 17|QUINCY 17 Voting District
17|001|23018|QUINCY 18|QUINCY 18 Voting District
17|001|23019|QUINCY 19|QUINCY 19 Voting District
17|001|23020|QUINCY 20|QUINCY 20 Voting District
17|001|23021|QUINCY 21|QUINCY 21 Voting District
17|001|23022|QUINCY 22|QUINCY 22 Voting District
17|001|23023|QUINCY 23|QUINCY 23 Voting District
17|001|23024|QUINCY 24|QUINCY 24 Voting District
17|001|23025|QUINCY 25|QUINCY 25 Voting District
17|001|23026|QUINCY 26|QUINCY 26 Voting District
17|001|23027|QUINCY 27|QUINCY 27 Voting District
17|001|23028|QUINCY 28|QUINCY 28 Voting District
17|001|23029|QUINCY 29|QUINCY 29 Voting District
17|001|23030|QUINCY 30|QUINCY 30 Voting District
17|001|23031|QUINCY 31|QUINCY 31 Voting District
17|001|23032|QUINCY 32|QUINCY 32 Voting District
17|001|23033|QUINCY 33|QUINCY 33 Voting District
17|001|23034|QUINCY 34|QUINCY 34 Voting District
17|001|23035|QUINCY 35|QUINCY 35 Voting District
17|001|23036|QUINCY 36|QUINCY 36 Voting District
17|001|23037|QUINCY 37|QUINCY 37 Voting District
17|001|23038|QUINCY 38|QUINCY 38 Voting District
17|001|23039|QUINCY 39|QUINCY 39 Voting District
17|001|23040|QUINCY 40|QUINCY 40 Voting District
17|001|23041|QUINCY 41|QUINCY 41 Voting District
17|001|23042|QUINCY 42|QUINCY 42 Voting District
17|001|23043|QUINCY 43|QUINCY 43 Voting District
17|001|23044|QUINCY 44|QUINCY 44 Voting District
17|001|23045|QUINCY 45|QUINCY 45 Voting District
17|001|23046|QUINCY 46|QUINCY 46 Voting District
17|003|00101|CAIRO 1|CAIRO 1 Voting District
17|003|00102|CAIRO 2|CAIRO 2 Voting District
17|003|00103|CAIRO 3|CAIRO 3 Voting District
17|003|00104|CAIRO 4|CAIRO 4 Voting District
17|003|00105|CAIRO 5|CAIRO 5 Voting District
17|003|00201|CACHE|CACHE Voting District
17|003|00301|SANDUSKY|SANDUSKY Voting District
17|003|00401|TAMMS|TAMMS Voting District
17|003|00601|MC CLURE|MC CLURE Voting District
17|003|00801|THEBES|THEBES Voting District
17|003|00901|OLIVE BRANCH|OLIVE BRANCH Voting District
17|005|BG01|BURGESS 1|BURGESS 1 Voting District
17|005|BG02|BURGESS 2|BURGESS 2 Voting District
17|005|BG03|BURGESS 3|BURGESS 3 Voting District
17|005|CN01|CENTRAL 1|CENTRAL 1 Voting District
17|005|CN02|CENTRAL 2|CENTRAL 2 Voting District
17|005|CN03|CENTRAL 3|CENTRAL 3 Voting District
17|005|CN04|CENTRAL 4|CENTRAL 4 Voting District
17|005|CN05|CENTRAL 5|CENTRAL 5 Voting District
17|005|CN06|CENTRAL 6|CENTRAL 6 Voting District
17|005|CN07|CENTRAL 7|CENTRAL 7 Voting District
17|005|CN1A|CENTRAL 1A|CENTRAL 1A Voting District
17|005|LG01|LAGRANGE 1|LAGRANGE 1 Voting District
17|005|LG02|LAGRANGE 2|LAGRANGE 2 Voting District
17|005|MG01|MULBERRY GROVE 1|MULBERRY GROVE 1 Voting District
17|005|MG02|MULBERRY GROVE 2|MULBERRY GROVE 2 Voting District
17|005|ML00|MILLS|MILLS Voting District
17|005|OR00|OLD RIPLEY|OLD RIPLEY Voting District
17|005|PM01|PLEASANT MOUND 1|PLEASANT MOUND 1 Voting District
