STATEFP|DISTRICT|NAME|NAMELSAD
18|001|1|State House District 1
18|002|2|State House District 2
18|003|3|State House District 3
18|004|4|State House District 4
18|005|5|State House District 5
18|006|6|State House District 6
18|007|7|State House District 7
18|008|8|State House District 8
18|009|9|State House District 9
18|010|10|State House District 10
18|011|11|State House District 11
18|012|12|State House District 12
18|013|13|State House District 13
18|014|14|State House District 14
18|015|15|State House District 15
18|016|16|State House District 16
18|017|17|State House District 17
18|018|18|State House District 18
18|019|19|State House District 19
18|020|20|State House District 20
18|021|21|State House District 21
18|022|22|State House District 22
18|023|23|State House District 23
18|024|24|State House District 24
18|025|25|State House District 25
18|026|26|State House District 26
18|027|27|State House District 27
18|028|28|State House District 28
18|029|29|State House District 29
18|030|30|State House District 30
18|031|31|State House District 31
18|032|32|State House District 32
18|033|33|State House District 33
18|034|34|State House District 34
18|035|35|State House District 35
18|036|36|State House District 36
18|037|37|State House District 37
18|038|38|State House District 38
18|039|39|State House District 39
18|040|40|State House District 40
18|041|41|State House District 41
18|042|42|State House District 42
18|043|43|State House District 43
18|044|44|State House District 44
18|045|45|State House District 45
18|046|46|State House District 46
18|047|47|State House District 47
18|048|48|State House District 48
18|049|49|State House District 49
18|050|50|State House District 50
18|051|51|State House District 51
18|052|52|State House District 52
18|053|53|State House District 53
18|054|54|State House District 54
18|055|55|State House District 55
18|056|56|State House District 56
18|057|57|State House District 57
18|058|58|State House District 58
18|059|59|State House District 59
18|060|60|State House District 60
18|061|61|State House District 61
18|062|62|State House District 62
18|063|63|State House District 63
18|064|64|State House District 64
18|065|65|State House District 65
18|066|66|State House District 66
18|067|67|State House District 67
18|068|68|State House District 68
18|069|69|State House District 69
18|070|70|State House District 70
18|071|71|State House District 71
18|072|72|State House District 72
18|073|73|State House District 73
18|074|74|State House District 74
18|075|75|State House District 75
18|076|76|State House District 76
18|077|77|State House District 77
18|078|78|State House District 78
18|079|79|State House District 79
18|080|80|State House District 80
18|081|81|State House District 81
18|082|82|State House District 82
18|083|83|State House District 83
18|084|84|State House District 84
18|085|85|State House District 85
18|086|86|State House District 86
18|087|87|State House District 87
18|088|88|State House District 88
18|089|89|State House District 89
18|090|90|State House District 90
18|091|91|State House District 91
18|092|92|State House District 92
18|093|93|State House District 93
18|094|94|State House District 94
18|095|95|State House District 95
18|096|96|State House District 96
18|097|97|State House District 97
18|098|98|State House District 98
18|099|99|State House District 99
18|100|100|State House District 100
