STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
20|001|000010|Carlyle Township|Carlyle Township Voting District
20|001|000020|Cottage Grove Township|Cottage Grove Township Voting District
20|001|000030|Deer Creek Township|Deer Creek Township Voting District
20|001|000040|East Elm|East Elm Voting District
20|001|000050|Geneva Township|Geneva Township Voting District
20|001|00006A|Humboldt Township|Humboldt Township Voting District
20|001|00006B|Humboldt Township Rural Enclave|Humboldt Township Rural Enclave Voting District
20|001|00006C|Humboldt Township Split|Humboldt Township Split Voting District
20|001|000070|Humboldt Ward 1|Humboldt Ward 1
20|001|000080|Humboldt Ward 2|Humboldt Ward 2
20|001|000090|Iola Ward 1|Iola Ward 1
20|001|00010A|Iola Ward 2|Iola Ward 2
20|001|00010B|Iola Ward 2 Exclave|Iola Ward 2 Exclave
20|001|000110|Iola Ward 3|Iola Ward 3
20|001|000120|Iola Ward 4|Iola Ward 4
20|001|000130|Logan Township|Logan Township Voting District
20|001|000140|Marmaton Township|Marmaton Township Voting District
20|001|000150|North Elmsmore|North Elmsmore Voting District
20|001|00016A|North Iola Part A|North Iola Part A Voting District
20|001|00016B|North Iola Part A Rural Enclave|North Iola Part A Rural Enclave Voting District
20|001|00016C|North Iola Part B|North Iola Part B Voting District
20|001|000170|Osage Township|Osage Township Voting District
20|001|000180|Salem Township|Salem Township Voting District
20|001|000190|South Elmsmore|South Elmsmore Voting District
20|001|00020A|South Iola|South Iola Voting District
20|001|00020B|South Iola Enclave|South Iola Enclave Voting District
20|001|000210|West Elm|West Elm Voting District
20|003|000010|Colony|Colony Voting District
20|003|00002A|Garnett Precinct 1|Garnett Precinct 1
20|003|00002B|Garnett Precinct 1 Exclave|Garnett Precinct 1 Exclave
20|003|000030|Garnett Precinct 2|Garnett Precinct 2
20|003|000040|Garnett Precinct 3|Garnett Precinct 3
20|003|000050|Garnett Precinct 4|Garnett Precinct 4
20|003|000060|Greeley|Greeley Voting District
20|003|000080|Indian Creek Township|Indian Creek Township Voting District
20|003|000100|Kincaid|Kincaid Voting District
20|003|000110|Lincoln Township|Lincoln Township Voting District
20|003|000120|Lone Elm City|Lone Elm City Voting District
20|003|000130|Lone Elm Township|Lone Elm Township Voting District
20|003|00014A|Monroe Township|Monroe Township Voting District
20|003|000150|North Rich Township|North Rich Township Voting District
20|003|000160|Ozark Township|Ozark Township Voting District
20|003|000170|Putnam Township|Putnam Township Voting District
20|003|000180|Reeder Township|Reeder Township Voting District
20|003|000190|Rich Township|Rich Township Voting District
20|003|000200|Walker Township|Walker Township Voting District
20|003|000210|Washington Township|Washington Township Voting District
20|003|000220|Welda Township|Welda Township Voting District
20|003|000230|Westphalia City|Westphalia City Voting District
20|003|000240|Westphalia Township|Westphalia Township Voting District
20|003|200010|Jackson Township H5|Jackson Township H5 Voting District
20|003|200020|Jackson Township H9|Jackson Township H9 Voting District
20|005|000010|Atchison Precinct 1|Atchison Precinct 1
20|005|000020|Atchison Precinct 2 East|Atchison Precinct 2 East
20|005|000030|Atchison Precinct 2 West|Atchison Precinct 2 West
20|005|000040|Atchison Precinct 3 East|Atchison Precinct 3 East
20|005|00005A|Atchison Precinct 3 West|Atchison Precinct 3 West
20|005|00006A|Atchison Precinct 4|Atchison Precinct 4
20|005|00006B|Atchison Precinct 4 Exclave A|Atchison Precinct 4 Exclave A
20|005|00006C|Atchison Precinct 4 Exclave B|Atchison Precinct 4 Exclave B
20|005|00007A|Atchison Precinct 5 North|Atchison Precinct 5 North
20|005|00007B|Atchison Precinct 5 North Exclave A|Atchison Precinct 5 North Exclave A
20|005|00007C|Atchison Precinct 5 North Exclave B|Atchison Precinct 5 North Exclave B
20|005|00008A|Atchison Precinct 5 South|Atchison Precinct 5 South
20|005|00008B|Atchison Precinct 5 South Exclave A|Atchison Precinct 5 South Exclave A
20|005|00008C|Atchison Precinct 5 South Exclave B|Atchison Precinct 5 South Exclave B
20|005|00008D|Atchison Precinct 5 South Exclave C|Atchison Precinct 5 South Exclave C
20|005|000090|Benton Township|Benton Township Voting District
20|005|000100|Center Township|Center Township Voting District
