STATEFP|PLACEFP|NAME|NAMELSAD
21|00298|Adairville|Adairville city
21|00694|Albany|Albany city
21|00802|Alexandria|Alexandria city
21|00946|Allen|Allen city
21|01000|Allensville|Allensville city
21|01504|Anchorage|Anchorage city
21|02044|Arlington|Arlington city
21|02368|Ashland|Ashland city
21|02638|Auburn|Auburn city
21|02656|Audubon Park|Audubon Park city
21|02674|Augusta|Augusta city
21|03376|Bancroft|Bancroft city
21|03556|Barbourmeade|Barbourmeade city
21|03574|Barbourville|Barbourville city
21|03628|Bardstown|Bardstown city
21|03664|Bardwell|Bardwell city
21|03718|Barlow|Barlow city
21|04546|Beattyville|Beattyville city
21|04654|Beaver Dam|Beaver Dam city
21|04816|Bedford|Bedford city
21|05068|Beechwood Village|Beechwood Village city
21|05374|Bellefonte|Bellefonte city
21|05392|Bellemeade|Bellemeade city
21|05446|Bellevue|Bellevue city
21|05464|Bellewood|Bellewood city
21|05662|Benham|Benham city
21|05824|Benton|Benton city
21|05842|Berea|Berea city
21|05968|Berry|Berry city
21|07012|Blackey|Blackey city
21|07264|Blaine|Blaine city
21|07390|Blandville|Blandville city
21|07516|Bloomfield|Bloomfield city
21|07858|Blue Ridge Manor|Blue Ridge Manor city
21|08488|Bonnieville|Bonnieville city
21|08614|Booneville|Booneville city
21|08902|Bowling Green|Bowling Green city
21|09100|Bradfordsville|Bradfordsville city
21|09226|Brandenburg|Brandenburg city
21|09406|Bremen|Bremen city
21|09532|Briarwood|Briarwood city
21|09838|Brodhead|Brodhead city
21|09847|Broeck Pointe|Broeck Pointe city
21|09856|Bromley|Bromley city
21|10000|Brooksville|Brooksville city
21|10162|Brownsboro Farm|Brownsboro Farm city
21|10198|Brownsboro Village|Brownsboro Village city
21|10324|Brownsville|Brownsville city
21|10612|Buckhorn|Buckhorn city
21|11044|Burgin|Burgin city
21|11098|Burkesville|Burkesville city
21|11278|Burnside|Burnside city
21|11530|Butler|Butler city
21|11692|Cadiz|Cadiz city
21|11854|Calhoun|Calhoun city
21|11872|California|California city
21|12016|Calvert City|Calvert City city
21|12052|Camargo|Camargo city
21|12066|Cambridge|Cambridge city
21|12142|Campbellsburg|Campbellsburg city
21|12160|Campbellsville|Campbellsville city
21|12358|Campton|Campton city
21|12538|Caneyville|Caneyville city
21|12898|Carlisle|Carlisle city
21|13024|Carrollton|Carrollton city
21|13060|Carrsville|Carrsville city
21|13420|Catlettsburg|Catlettsburg city
21|13492|Cave City|Cave City city
21|13870|Centertown|Centertown city
21|13978|Central City|Central City city
21|15148|Clarkson|Clarkson city
21|15202|Clay|Clay city
21|15238|Clay City|Clay City city
21|15742|Clinton|Clinton city
21|15904|Cloverport|Cloverport city
21|16110|Coal Run Village|Coal Run Village city
21|16372|Cold Spring|Cold Spring city
21|16395|Coldstream|Coldstream city
21|16750|Columbia|Columbia city
21|16768|Columbus|Columbus city
21|16894|Concord|Concord city
21|17362|Corbin|Corbin city
21|17434|Corinth|Corinth city
21|17686|Corydon|Corydon city
21|17848|Covington|Covington city
21|17956|Crab Orchard|Crab Orchard city
21|18270|Creekside|Creekside city
21|18352|Crescent Springs|Crescent Springs city
21|18424|Crestview|Crestview city
21|18442|Crestview Hills|Crestview Hills city
21|18496|Crestwood|Crestwood city
21|18568|Crittenden|Crittenden city
21|18658|Crofton|Crofton city
21|18766|Crossgate|Crossgate city
21|19108|Cumberland|Cumberland city
21|19432|Cynthiana|Cynthiana city
21|19882|Danville|Danville city
21|20224|Dawson Springs|Dawson Springs city
21|20350|Dayton|Dayton city
21|21682|Dixon|Dixon city
21|22204|Douglass Hills|Douglass Hills city
21|22222|Dover|Dover city
21|22348|Drakesboro|Drakesboro city
21|22474|Druid Hills|Druid Hills city
21|22582|Dry Ridge|Dry Ridge city
21|23140|Dycusburg|Dycusburg city
21|23230|Earlington|Earlington city
21|23824|Eddyville|Eddyville city
21|23932|Edgewood|Edgewood city
21|23968|Edmonton|Edmonton city
21|24094|Ekron|Ekron city
21|24274|Elizabethtown|Elizabethtown city
21|24382|Elkhorn City|Elkhorn City city
21|24400|Elkton|Elkton city
21|24778|Elsmere|Elsmere city
21|24904|Eminence|Eminence city
21|25300|Erlanger|Erlanger city
21|25552|Eubank|Eubank city
21|25606|Evarts|Evarts city
21|25786|Ewing|Ewing city
21|26020|Fairfield|Fairfield city
21|26236|Fairview|Fairview city
21|26434|Falmouth|Falmouth city
21|27010|Ferguson|Ferguson city
21|27262|Fincastle|Fincastle city
21|27802|Flatwoods|Flatwoods city
21|27846|Fleming-Neon|Fleming-Neon city
21|27856|Flemingsburg|Flemingsburg city
21|27982|Florence|Florence city
21|28270|Fordsville|Fordsville city
21|28342|Forest Hills|Forest Hills city
21|28558|Fort Mitchell|Fort Mitchell city
21|28594|Fort Thomas|Fort Thomas city
21|28612|Fort Wright|Fort Wright city
21|28630|Foster|Foster city
21|28666|Fountain Run|Fountain Run city
21|28785|Fox Chase|Fox Chase city
21|28900|Frankfort|Frankfort city
21|28918|Franklin|Franklin city
21|29080|Fredonia|Fredonia city
21|29260|Frenchburg|Frenchburg city
21|29566|Fulton|Fulton city
21|29872|Gamaliel|Gamaliel city
21|30700|Georgetown|Georgetown city
21|30718|Germantown|Germantown city
21|30808|Ghent|Ghent city
21|31114|Glasgow|Glasgow city
21|31204|Glencoe|Glencoe city
21|31348|Glenview|Glenview city
21|31402|Glenview Hills|Glenview Hills city
21|31420|Glenview Manor|Glenview Manor city
21|31870|Goose Creek|Goose Creek city
21|31960|Goshen|Goshen city
21|32212|Grand Rivers|Grand Rivers city
21|32428|Gratz|Gratz city
21|32523|Graymoor-Devondale|Graymoor-Devondale city
21|32572|Grayson|Grayson city
21|32968|Greensburg|Greensburg city
21|32986|Green Spring|Green Spring city
21|33004|Greenup|Greenup city
21|33022|Greenville|Greenville city
21|33562|Guthrie|Guthrie city
