STATEFP|DISTRICT|NAME|NAMELSAD
21|001|1|State Senate District 1
21|002|2|State Senate District 2
21|003|3|State Senate District 3
21|004|4|State Senate District 4
21|005|5|State Senate District 5
21|006|6|State Senate District 6
21|007|7|State Senate District 7
21|008|8|State Senate District 8
21|009|9|State Senate District 9
21|010|10|State Senate District 10
21|011|11|State Senate District 11
21|012|12|State Senate District 12
21|013|13|State Senate District 13
21|014|14|State Senate District 14
21|015|15|State Senate District 15
21|016|16|State Senate District 16
21|017|17|State Senate District 17
21|018|18|State Senate District 18
21|019|19|State Senate District 19
21|020|20|State Senate District 20
21|021|21|State Senate District 21
21|022|22|State Senate District 22
21|023|23|State Senate District 23
21|024|24|State Senate District 24
21|025|25|State Senate District 25
21|026|26|State Senate District 26
21|027|27|State Senate District 27
21|028|28|State Senate District 28
21|029|29|State Senate District 29
21|030|30|State Senate District 30
21|031|31|State Senate District 31
21|032|32|State Senate District 32
21|033|33|State Senate District 33
21|034|34|State Senate District 34
21|035|35|State Senate District 35
21|036|36|State Senate District 36
21|037|37|State Senate District 37
21|038|38|State Senate District 38
