STATEFP|PLACEFP|NAME|NAMELSAD
22|01780|Ama|Ama CDP
22|01815|Amelia|Amelia CDP
22|02550|Arabi|Arabi CDP
22|03810|Avondale|Avondale CDP
22|04230|Banks Springs|Banks Springs CDP
22|04300|Barataria|Barataria CDP
22|05105|Bawcomville|Bawcomville CDP
22|05175|Bayou Blue|Bayou Blue CDP
22|05210|Bayou Cane|Bayou Cane CDP
22|05260|Bayou Country Club|Bayou Country Club CDP
22|05315|Bayou Gauche|Bayou Gauche CDP
22|05350|Bayou Goula|Bayou Goula CDP
22|05378|Bayou L'Ourse|Bayou L'Ourse CDP
22|05525|Bayou Vista|Bayou Vista CDP
22|06120|Belle Chasse|Belle Chasse CDP
22|06260|Belle Rose|Belle Rose CDP
22|06750|Belmont|Belmont CDP
22|08710|Boothville|Boothville CDP
22|08745|Bordelonville|Bordelonville CDP
22|09095|Bourg|Bourg CDP
22|09130|Boutte|Boutte CDP
22|09235|Branch|Branch CDP
22|09480|Bridge City|Bridge City CDP
22|10145|Brownfields|Brownfields CDP
22|10225|Brownsville|Brownsville CDP
22|10985|Buras|Buras CDP
22|11580|Cade|Cade CDP
22|11825|Calhoun|Calhoun CDP
22|12000|Cameron|Cameron CDP
22|12840|Carlyss|Carlyss CDP
22|13330|Catahoula|Catahoula CDP
22|13575|Cecilia|Cecilia CDP
22|13855|Center Point|Center Point CDP
22|14100|Chackbay|Chackbay CDP
22|14135|Chalmette|Chalmette CDP
22|14310|Charenton|Charenton CDP
22|14520|Chauvin|Chauvin CDP
22|15150|Choctaw|Choctaw CDP
22|15605|Claiborne|Claiborne CDP
22|17180|Convent|Convent CDP
22|18335|Crescent|Crescent CDP
22|18930|Cut Off|Cut Off CDP
22|20680|Des Allemands|Des Allemands CDP
22|20820|Destrehan|Destrehan CDP
22|20890|Deville|Deville CDP
22|21940|Dulac|Dulac CDP
22|22610|Eastwood|Eastwood CDP
22|22722|Eden Isle|Eden Isle CDP
22|22815|Edgard|Edgard CDP
22|23025|Egan|Egan CDP
22|23567|Elmwood|Elmwood CDP
22|23725|Empire|Empire CDP
22|24250|Erwinville|Erwinville CDP
22|24390|Estelle|Estelle CDP
22|25545|Fifth Ward|Fifth Ward CDP
22|26665|Fort Jesup|Fort Jesup CDP
22|26746|Fort Polk North|Fort Polk North CDP
22|26757|Fort Polk South|Fort Polk South CDP
22|27540|Frierson|Frierson CDP
22|28065|Galliano|Galliano CDP
22|28275|Gardere|Gardere CDP
22|28345|Garyville|Garyville CDP
22|29045|Gillis|Gillis CDP
22|29150|Glencoe|Glencoe CDP
22|29395|Gloster|Gloster CDP
22|30900|Grand Point|Grand Point CDP
22|31180|Gray|Gray CDP
22|32405|Hackberry|Hackberry CDP
22|32510|Hahnville|Hahnville CDP
22|33245|Harvey|Harvey CDP
22|33490|Hayes|Hayes CDP
22|34085|Hester|Hester CDP
22|37270|Inniswold|Inniswold CDP
22|38145|Jefferson|Jefferson CDP
22|38845|Jordan Hill|Jordan Hill CDP
22|38880|Joyce|Joyce CDP
22|39720|Killona|Killona CDP
22|40210|Kraemer|Kraemer CDP
22|40420|Labadieville|Labadieville CDP
22|40595|Lacassine|Lacassine CDP
22|40665|Lacombe|Lacombe CDP
22|40840|Lafitte|Lafitte CDP
