STATEFP|DISTRICT|NAME|NAMELSAD
22|001|1|State House District 1
22|002|2|State House District 2
22|003|3|State House District 3
22|004|4|State House District 4
22|005|5|State House District 5
22|006|6|State House District 6
22|007|7|State House District 7
22|008|8|State House District 8
22|009|9|State House District 9
22|010|10|State House District 10
22|011|11|State House District 11
22|012|12|State House District 12
22|013|13|State House District 13
22|014|14|State House District 14
22|015|15|State House District 15
22|016|16|State House District 16
22|017|17|State House District 17
22|018|18|State House District 18
22|019|19|State House District 19
22|020|20|State House District 20
22|021|21|State House District 21
22|022|22|State House District 22
22|023|23|State House District 23
22|024|24|State House District 24
22|025|25|State House District 25
22|026|26|State House District 26
22|027|27|State House District 27
22|028|28|State House District 28
22|029|29|State House District 29
22|030|30|State House District 30
22|031|31|State House District 31
22|032|32|State House District 32
22|033|33|State House District 33
22|034|34|State House District 34
22|035|35|State House District 35
22|036|36|State House District 36
22|037|37|State House District 37
22|038|38|State House District 38
22|039|39|State House District 39
22|040|40|State House District 40
22|041|41|State House District 41
22|042|42|State House District 42
22|043|43|State House District 43
22|044|44|State House District 44
22|045|45|State House District 45
22|046|46|State House District 46
22|047|47|State House District 47
22|048|48|State House District 48
22|049|49|State House District 49
22|050|50|State House District 50
22|051|51|State House District 51
22|052|52|State House District 52
22|053|53|State House District 53
22|054|54|State House District 54
22|055|55|State House District 55
22|056|56|State House District 56
22|057|57|State House District 57
22|058|58|State House District 58
22|059|59|State House District 59
22|060|60|State House District 60
22|061|61|State House District 61
22|062|62|State House District 62
22|063|63|State House District 63
22|064|64|State House District 64
22|065|65|State House District 65
22|066|66|State House District 66
22|067|67|State House District 67
22|068|68|State House District 68
22|069|69|State House District 69
22|070|70|State House District 70
22|071|71|State House District 71
22|072|72|State House District 72
22|073|73|State House District 73
22|074|74|State House District 74
22|075|75|State House District 75
22|076|76|State House District 76
22|077|77|State House District 77
22|078|78|State House District 78
22|079|79|State House District 79
22|080|80|State House District 80
22|081|81|State House District 81
22|082|82|State House District 82
22|083|83|State House District 83
22|084|84|State House District 84
22|085|85|State House District 85
22|086|86|State House District 86
22|087|87|State House District 87
22|088|88|State House District 88
22|089|89|State House District 89
22|090|90|State House District 90
22|091|91|State House District 91
22|092|92|State House District 92
22|093|93|State House District 93
22|094|94|State House District 94
22|095|95|State House District 95
22|096|96|State House District 96
22|097|97|State House District 97
22|098|98|State House District 98
22|099|99|State House District 99
22|100|100|State House District 100
22|101|101|State House District 101
22|102|102|State House District 102
22|103|103|State House District 103
22|104|104|State House District 104
22|105|105|State House District 105
22|ZZZ|State House Districts not defined|State House Districts not defined
