STATEFP|PLACEFP|NAME|NAMELSAD
24|00175|Aberdeen Proving Ground|Aberdeen Proving Ground CDP
24|00250|Accokeek|Accokeek CDP
24|00350|Adamstown|Adamstown CDP
24|00400|Adelphi|Adelphi CDP
24|00712|Algonquin|Algonquin CDP
24|00800|Allen|Allen CDP
24|01450|Andrews AFB|Andrews AFB CDP
24|01635|Annapolis Neck|Annapolis Neck CDP
24|01750|Antietam|Antietam CDP
24|01925|Aquasco|Aquasco CDP
24|01975|Arbutus|Arbutus CDP
24|02025|Arden on the Severn|Arden on the Severn CDP
24|02275|Arnold|Arnold CDP
24|02762|Ashton-Sandy Spring|Ashton-Sandy Spring CDP
24|02825|Aspen Hill|Aspen Hill CDP
24|03500|Baden|Baden CDP
24|03514|Bagtown|Bagtown CDP
24|03575|Bakersville|Bakersville CDP
24|03800|Ballenger Creek|Ballenger Creek CDP
24|04050|Baltimore Highlands|Baltimore Highlands CDP
24|04525|Barrelville|Barrelville CDP
24|04650|Bartonsville|Bartonsville CDP
24|05250|Beaver Creek|Beaver Creek CDP
24|05525|Bel Air|Bel Air CDP
24|05825|Bel Air North|Bel Air North CDP
24|05950|Bel Air South|Bel Air South CDP
24|06400|Beltsville|Beltsville CDP
24|06550|Benedict|Benedict CDP
24|06615|Bensville|Bensville CDP
24|07125|Bethesda|Bethesda CDP
24|07285|Bier|Bier CDP
24|07375|Big Pool|Big Pool CDP
24|07400|Big Spring|Big Spring CDP
24|07625|Bishopville|Bishopville CDP
24|07675|Bivalve|Bivalve CDP
24|08050|Bloomington|Bloomington CDP
24|08800|Bowleys Quarters|Bowleys Quarters CDP
24|08850|Bowling Green|Bowling Green CDP
24|08862|Bowmans Addition|Bowmans Addition CDP
24|09100|Braddock Heights|Braddock Heights CDP
24|09325|Brandywine|Brandywine CDP
24|09400|Breathedsville|Breathedsville CDP
24|10150|Brock Hall|Brock Hall CDP
24|10475|Brooklyn Park|Brooklyn Park CDP
24|10500|Brookmont|Brookmont CDP
24|10650|Broomes Island|Broomes Island CDP
24|10800|Brownsville|Brownsville CDP
24|10925|Bryans Road|Bryans Road CDP
24|10950|Bryantown|Bryantown CDP
24|11050|Buckeystown|Buckeystown CDP
24|11750|Burtonsville|Burtonsville CDP
24|11900|Butlertown|Butlertown CDP
24|12075|Cabin John|Cabin John CDP
24|12150|California|California CDP
24|12300|Calvert Beach|Calvert Beach CDP
24|12350|Calverton|Calverton CDP
24|12600|Camp Springs|Camp Springs CDP
24|12912|Cape St. Claire|Cape St. Claire CDP
24|13225|Carlos|Carlos CDP
24|13325|Carney|Carney CDP
24|14125|Catonsville|Catonsville CDP
24|14225|Cavetown|Cavetown CDP
24|14300|Cearfoss|Cearfoss CDP
24|14800|Cedarville|Cedarville CDP
24|15075|Chance|Chance CDP
24|15475|Charlotte Hall|Charlotte Hall CDP
24|15500|Charlton|Charlton CDP
24|16050|Chesapeake Ranch Estates|Chesapeake Ranch Estates CDP
24|16125|Chester|Chester CDP
24|16625|Chevy Chase|Chevy Chase CDP
24|16800|Chewsville|Chewsville CDP
24|16875|Chillum|Chillum CDP
24|17000|Choptank|Choptank CDP
24|17350|Clarksburg|Clarksburg CDP
24|17475|Clarysville|Clarysville CDP
24|17900|Clinton|Clinton CDP
24|18150|Cloverly|Cloverly CDP
24|18200|Cobb Island|Cobb Island CDP
24|18250|Cockeysville|Cockeysville CDP
24|18475|Colesville|Colesville CDP
24|19125|Columbia|Columbia CDP
24|19825|Coral Hills|Coral Hills CDP
24|19900|Cordova|Cordova CDP
24|19975|Corriganville|Corriganville CDP
24|20500|Crellin|Crellin CDP
24|20525|Cresaptown|Cresaptown CDP
24|20875|Crofton|Crofton CDP
24|20925|Croom|Croom CDP
24|21075|Crownsville|Crownsville CDP
24|21475|Damascus|Damascus CDP
24|21550|Dames Quarter|Dames Quarter CDP
24|21675|Danville|Danville CDP
24|21750|Dargan|Dargan CDP
24|21800|Darlington|Darlington CDP
24|21825|Darnestown|Darnestown CDP
24|21925|Dawson|Dawson CDP
24|22050|Deale|Deale CDP
24|22100|Deal Island|Deal Island CDP
24|22775|Derwood|Derwood CDP
24|22825|Detmold|Detmold CDP
24|23500|Downsville|Downsville CDP
24|23700|Drum Point|Drum Point CDP
24|23975|Dundalk|Dundalk CDP
24|24062|Dunkirk|Dunkirk CDP
24|24250|Eakles Mill|Eakles Mill CDP
24|24650|East Riverdale|East Riverdale CDP
24|24825|Eckhart Mines|Eckhart Mines CDP
24|24850|Eden|Eden CDP
24|24925|Edesville|Edesville CDP
24|24950|Edgemere|Edgemere CDP
24|25000|Edgemont|Edgemont CDP
24|25050|Edgewater|Edgewater CDP
24|25150|Edgewood|Edgewood CDP
24|25575|Eldersburg|Eldersburg CDP
24|25750|Elkridge|Elkridge CDP
24|25925|Ellerslie|Ellerslie CDP
24|26000|Ellicott City|Ellicott City CDP
24|26025|Elliott|Elliott CDP
24|26550|Ernstville|Ernstville CDP
24|26600|Essex|Essex CDP
24|27250|Fairland|Fairland CDP
24|27325|Fairlee|Fairlee CDP
24|27375|Fairmount|Fairmount CDP
24|27425|Fairplay|Fairplay CDP
24|27500|Fairview|Fairview CDP
24|27580|Fairwood|Fairwood CDP
24|27700|Fallston|Fallston CDP
24|28075|Ferndale|Ferndale CDP
24|28275|Finzel|Finzel CDP
24|28300|Fishing Creek|Fishing Creek CDP
24|28425|Flintstone|Flintstone CDP
24|28640|Forest Glen|Forest Glen CDP
24|29000|Forestville|Forestville CDP
24|29400|Fort Meade|Fort Meade CDP
24|29450|Fort Ritchie|Fort Ritchie CDP
24|29525|Fort Washington|Fort Washington CDP
24|29712|Fountainhead-Orchard Hills|Fountainhead-Orchard Hills CDP
24|29790|Four Corners|Four Corners CDP
24|30100|Franklin|Franklin CDP
24|30567|Frenchtown-Rumbly|Frenchtown-Rumbly CDP
24|30575|Friendly|Friendly CDP
24|30650|Friendship|Friendship CDP
24|30800|Friendship Heights Village|Friendship Heights Village CDP
24|31025|Fulton|Fulton CDP
24|31275|Galesville|Galesville CDP
24|31350|Gambrills|Gambrills CDP
24|31400|Gapland|Gapland CDP
24|31575|Garretts Mill|Garretts Mill CDP
24|31625|Garrison|Garrison CDP
24|31875|Georgetown|Georgetown CDP
24|32025|Germantown|Germantown CDP
24|32175|Gilmore|Gilmore CDP
24|32250|Girdletree|Girdletree CDP
