STATEFP|PLACEFP|NAME|NAMELSAD
27|00172|Ada|Ada city
27|00190|Adams|Adams city
27|00262|Adrian|Adrian city
27|00316|Afton|Afton city
27|00460|Aitkin|Aitkin city
27|00496|Akeley|Akeley city
27|00622|Albany|Albany city
27|00676|Alberta|Alberta city
27|00694|Albert Lea|Albert Lea city
27|00730|Albertville|Albertville city
27|00838|Alden|Alden city
27|00892|Aldrich|Aldrich city
27|00928|Alexandria|Alexandria city
27|01162|Alpha|Alpha city
27|01234|Altura|Altura city
27|01252|Alvarado|Alvarado city
27|01324|Amboy|Amboy city
27|01486|Andover|Andover city
27|01684|Annandale|Annandale city
27|01720|Anoka|Anoka city
27|01864|Appleton|Appleton city
27|01900|Apple Valley|Apple Valley city
27|01972|Arco|Arco city
27|02026|Arden Hills|Arden Hills city
27|02134|Argyle|Argyle city
27|02152|Arlington|Arlington city
27|02422|Ashby|Ashby city
27|02548|Askov|Askov city
27|02692|Atwater|Atwater city
27|02728|Audubon|Audubon city
27|02872|Aurora|Aurora city
27|02908|Austin|Austin city
27|03052|Avoca|Avoca city
27|03070|Avon|Avon city
27|03106|Babbitt|Babbitt city
27|03124|Backus|Backus city
27|03160|Badger|Badger city
27|03196|Bagley|Bagley city
27|03250|Balaton|Balaton city
27|03574|Barnesville|Barnesville city
27|03628|Barnum|Barnum city
27|03682|Barrett|Barrett city
27|03718|Barry|Barry city
27|03970|Battle Lake|Battle Lake city
27|04024|Baudette|Baudette city
27|04042|Baxter|Baxter city
27|04114|Bayport|Bayport city
27|04204|Beardsley|Beardsley city
27|04456|Beaver Bay|Beaver Bay city
27|04492|Beaver Creek|Beaver Creek city
27|04618|Becker|Becker city
27|04672|Bejou|Bejou city
27|04762|Belgrade|Belgrade city
27|04798|Bellechester|Bellechester city
27|04834|Belle Plaine|Belle Plaine city
27|04960|Bellingham|Bellingham city
27|05014|Beltrami|Beltrami city
27|05050|Belview|Belview city
27|05068|Bemidji|Bemidji city
27|05104|Bena|Bena city
27|05212|Benson|Benson city
27|05482|Bertha|Bertha city
27|05554|Bethel|Bethel city
27|05644|Bigelow|Bigelow city
27|05680|Big Falls|Big Falls city
27|05698|Bigfork|Bigfork city
27|05752|Big Lake|Big Lake city
27|05896|Bingham Lake|Bingham Lake city
27|06058|Birchwood Village|Birchwood Village city
27|06076|Bird Island|Bird Island city
27|06112|Biscay|Biscay city
27|06148|Biwabik|Biwabik city
27|06256|Blackduck|Blackduck city
27|06382|Blaine|Blaine city
