STATEFP|DISTRICT|NAME|NAMELSAD
27|00001|Mountain Iron-Buhl School District|Mountain Iron-Buhl School District
27|00005|United South Central School District|United South Central School District
27|00006|Maple River School District|Maple River School District
27|00007|Kingsland Public School District|Kingsland Public School District
27|00008|St. Louis County School District|St. Louis County School District
27|00013|Waterville-Elysian-Morristown School District|Waterville-Elysian-Morristown School District
27|00017|Chisago Lakes School District|Chisago Lakes School District
27|00019|Minnewaska School District|Minnewaska School District
27|00021|Eveleth-Gilbert School District|Eveleth-Gilbert School District
27|00022|Wadena-Deer Creek School District|Wadena-Deer Creek School District
27|00023|Buffalo Lake-Hector School District|Buffalo Lake-Hector School District
27|00024|Warren-Alvarado-Oslo School District|Warren-Alvarado-Oslo School District
27|00088|Lakeview School District|Lakeview School District
27|00089|NRHEG School District|NRHEG School District
27|00090|Murray County Central School District|Murray County Central School District
27|00091|MACCRAY School District|MACCRAY School District
27|00099|Yellow Medicine East School District|Yellow Medicine East School District
27|00100|Fillmore Central Schools|Fillmore Central Schools
27|00101|Norman County East School District|Norman County East School District
27|00102|Sibley East School District|Sibley East School District
27|00103|Clearbrook-Gonvick School District|Clearbrook-Gonvick School District
27|00104|West Central Area Schools|West Central Area Schools
27|00105|Belgrade-Brooten-Elrosa School District|Belgrade-Brooten-Elrosa School District
27|00106|ACGC School District|ACGC School District
27|00107|Greenbush-Middle River School District|Greenbush-Middle River School District
27|00108|Pipestone Area School District|Pipestone Area School District
27|00109|Long Prairie-Grey Eagle School District|Long Prairie-Grey Eagle School District
27|00110|Cedar Mountain School District|Cedar Mountain School District
27|00112|Eagle Valley Public School District|Eagle Valley Public School District
27|00123|Howard Lake-Waverly-Winsted Public School District|Howard Lake-Waverly-Winsted Public School District
27|00124|Fairmont Area School District|Fairmont Area School District
27|00125|Lac Qui Parle Valley School District|Lac Qui Parle Valley School District
27|00126|Ada-Borup Public School District|Ada-Borup Public School District
27|00127|Stephen-Argyle Central Schools|Stephen-Argyle Central Schools
27|00128|Glencoe-Silver Lake School District|Glencoe-Silver Lake School District
27|00130|Blue Earth Area Public School District|Blue Earth Area Public School District
27|00132|Red Rock Central School District|Red Rock Central School District
27|00148|Glenville-Emmons School District|Glenville-Emmons School District
27|00150|Clinton-Graceville-Beardsley Public School District|Clinton-Graceville-Beardsley Public School District
27|00162|Lake Park Audubon School District|Lake Park Audubon School District
27|00163|Renville County West School District|Renville County West School District
27|00182|Redwood Area School District|Redwood Area School District
27|00183|Westbrook-Walnut Grove Schools|Westbrook-Walnut Grove Schools
27|00231|Jackson County Central School District|Jackson County Central School District
27|00287|Plainview-Elgin-Millville Public School District|Plainview-Elgin-Millville Public School District
27|00294|RTR Public School District|RTR Public School District
27|00326|Tracy Area Public School District|Tracy Area Public School District
27|00328|Ortonville -Bellingham Public School District|Ortonville -Bellingham Public School District
27|02640|Lester Prairie Public School District|Lester Prairie Public School District
27|02720|Southland Public School District|Southland Public School District
27|02730|Adrian Public School District|Adrian Public School District
27|02760|Aitkin Public School District|Aitkin Public School District
27|02910|Walker-Hackensack-Akeley School District|Walker-Hackensack-Akeley School District
27|02930|Albany Public School District|Albany Public School District
27|02970|Albert Lea Public School District|Albert Lea Public School District
27|03030|Alden-Conger Public School District|Alden-Conger Public School District
27|03060|Alexandria Public School District|Alexandria Public School District
27|03150|Annandale Public School District|Annandale Public School District
27|03180|Anoka-Hennepin Public School District|Anoka-Hennepin Public School District
27|03300|Ashby Public School District|Ashby Public School District
27|03450|Austin Public School District|Austin Public School District
27|03540|Badger Public School District|Badger Public School District
27|03570|Bagley Public School District|Bagley Public School District
27|03660|Barnesville Public School District|Barnesville Public School District
27|03690|Barnum Public School District|Barnum Public School District
27|03750|Battle Lake Public School District|Battle Lake Public School District
27|03870|Becker Public School District|Becker Public School District
27|04050|Belle Plaine Public School District|Belle Plaine Public School District
27|04440|Bemidji Public School District|Bemidji Public School District
27|04470|Benson Public School District|Benson Public School District
27|05430|Bertha-Hewitt Public School District|Bertha-Hewitt Public School District
27|05460|Big Lake Public School District|Big Lake Public School District
27|05660|Bird Island-Olivia-Lake Lillian Public School District|Bird Island-Olivia-Lake Lillian Public School District
27|05730|Blackduck Public School District|Blackduck Public School District
27|05760|Blooming Prairie Public School District|Blooming Prairie Public School District
27|05790|Bloomington Public School District|Bloomington Public School District
27|06060|Braham Public School District|Braham Public School District
27|06090|Brainerd Public School District|Brainerd Public School District
27|06120|Brandon Public School District|Brandon Public School District
27|06150|Breckenridge Public School District|Breckenridge Public School District
27|06180|Brewster Public School District|Brewster Public School District
27|06240|Brooklyn Center School District|Brooklyn Center School District
27|06300|Browerville Public School District|Browerville Public School District
27|07110|Browns Valley Public School District|Browns Valley Public School District
27|07200|Buffalo Public School District|Buffalo Public School District
27|07290|Burnsville Public School District|Burnsville Public School District
27|07320|Butterfield Public School District|Butterfield Public School District
27|07350|Byron Public School District|Byron Public School District
27|07380|Caledonia Public School District|Caledonia Public School District
27|07410|Cambridge-Isanti Public School District|Cambridge-Isanti Public School District
27|07450|Campbell-Tintah Public School District|Campbell-Tintah Public School District
27|07470|Canby Public School District|Canby Public School District
27|07500|Cannon Falls Public School District|Cannon Falls Public School District
27|07590|Carlton Public School District|Carlton Public School District
27|08070|Cass Lake-Bena Schools Public Schools|Cass Lake-Bena Schools Public Schools
27|08100|Centennial Public School District|Centennial Public School District
27|08190|Eastern Carver County District 112 Public Schools|Eastern Carver County District 112 Public Schools
27|08220|Chatfield Public Schools|Chatfield Public Schools
27|08880|Franconia Public School District|Franconia Public School District
27|08910|Chisholm Public School District|Chisholm Public School District
27|08940|Chokio-Alberta Public School District|Chokio-Alberta Public School District
27|09330|Cleveland Public School District|Cleveland Public School District
27|09360|Climax Public School District|Climax Public School District
27|09420|Cloquet Public School District|Cloquet Public School District
27|09440|Rocori Public School District|Rocori Public School District
27|09480|Greenway Public School District|Greenway Public School District
27|09510|Columbia Heights Public School District|Columbia Heights Public School District
27|09540|Comfrey Public School District|Comfrey Public School District
27|09690|Cromwell-Wright Public Schools|Cromwell-Wright Public Schools
27|09720|Crookston Public School District|Crookston Public School District
27|09750|Crosby-Ironton Public School District|Crosby-Ironton Public School District
27|09960|Cyrus Public School District|Cyrus Public School District
27|10060|Dassel-Cokato Public School District|Dassel-Cokato Public School District
27|10090|Dawson-Boyd Public School District|Dawson-Boyd Public School District
27|10140|Deer River Public School District|Deer River Public School District
27|10170|Delano Public School District|Delano Public School District
27|10230|Detroit Lakes Public School District|Detroit Lakes Public School District
