STATEFP|DISTRICT|NAME|NAMELSAD
27|01A|1A|State House District 1A
27|01B|1B|State House District 1B
27|02A|2A|State House District 2A
27|02B|2B|State House District 2B
27|03A|3A|State House District 3A
27|03B|3B|State House District 3B
27|04A|4A|State House District 4A
27|04B|4B|State House District 4B
27|05A|5A|State House District 5A
27|05B|5B|State House District 5B
27|06A|6A|State House District 6A
27|06B|6B|State House District 6B
27|07A|7A|State House District 7A
27|07B|7B|State House District 7B
27|08A|8A|State House District 8A
27|08B|8B|State House District 8B
27|09A|9A|State House District 9A
27|09B|9B|State House District 9B
27|10A|10A|State House District 10A
27|10B|10B|State House District 10B
27|11A|11A|State House District 11A
27|11B|11B|State House District 11B
27|12A|12A|State House District 12A
27|12B|12B|State House District 12B
27|13A|13A|State House District 13A
27|13B|13B|State House District 13B
27|14A|14A|State House District 14A
27|14B|14B|State House District 14B
27|15A|15A|State House District 15A
27|15B|15B|State House District 15B
27|16A|16A|State House District 16A
27|16B|16B|State House District 16B
27|17A|17A|State House District 17A
27|17B|17B|State House District 17B
27|18A|18A|State House District 18A
27|18B|18B|State House District 18B
27|19A|19A|State House District 19A
27|19B|19B|State House District 19B
27|20A|20A|State House District 20A
27|20B|20B|State House District 20B
27|21A|21A|State House District 21A
27|21B|21B|State House District 21B
27|22A|22A|State House District 22A
27|22B|22B|State House District 22B
27|23A|23A|State House District 23A
27|23B|23B|State House District 23B
27|24A|24A|State House District 24A
27|24B|24B|State House District 24B
27|25A|25A|State House District 25A
27|25B|25B|State House District 25B
27|26A|26A|State House District 26A
27|26B|26B|State House District 26B
27|27A|27A|State House District 27A
27|27B|27B|State House District 27B
27|28A|28A|State House District 28A
27|28B|28B|State House District 28B
27|29A|29A|State House District 29A
27|29B|29B|State House District 29B
27|30A|30A|State House District 30A
27|30B|30B|State House District 30B
27|31A|31A|State House District 31A
27|31B|31B|State House District 31B
27|32A|32A|State House District 32A
27|32B|32B|State House District 32B
27|33A|33A|State House District 33A
27|33B|33B|State House District 33B
27|34A|34A|State House District 34A
27|34B|34B|State House District 34B
27|35A|35A|State House District 35A
27|35B|35B|State House District 35B
27|36A|36A|State House District 36A
27|36B|36B|State House District 36B
27|37A|37A|State House District 37A
27|37B|37B|State House District 37B
27|38A|38A|State House District 38A
27|38B|38B|State House District 38B
27|39A|39A|State House District 39A
27|39B|39B|State House District 39B
27|40A|40A|State House District 40A
27|40B|40B|State House District 40B
27|41A|41A|State House District 41A
27|41B|41B|State House District 41B
27|42A|42A|State House District 42A
27|42B|42B|State House District 42B
27|43A|43A|State House District 43A
27|43B|43B|State House District 43B
27|44A|44A|State House District 44A
27|44B|44B|State House District 44B
27|45A|45A|State House District 45A
27|45B|45B|State House District 45B
27|46A|46A|State House District 46A
27|46B|46B|State House District 46B
27|47A|47A|State House District 47A
27|47B|47B|State House District 47B
27|48A|48A|State House District 48A
27|48B|48B|State House District 48B
27|49A|49A|State House District 49A
27|49B|49B|State House District 49B
27|50A|50A|State House District 50A
27|50B|50B|State House District 50B
27|51A|51A|State House District 51A
27|51B|51B|State House District 51B
27|52A|52A|State House District 52A
27|52B|52B|State House District 52B
27|53A|53A|State House District 53A
27|53B|53B|State House District 53B
27|54A|54A|State House District 54A
27|54B|54B|State House District 54B
27|55A|55A|State House District 55A
27|55B|55B|State House District 55B
27|56A|56A|State House District 56A
27|56B|56B|State House District 56B
27|57A|57A|State House District 57A
27|57B|57B|State House District 57B
27|58A|58A|State House District 58A
27|58B|58B|State House District 58B
27|59A|59A|State House District 59A
27|59B|59B|State House District 59B
27|60A|60A|State House District 60A
27|60B|60B|State House District 60B
27|61A|61A|State House District 61A
27|61B|61B|State House District 61B
27|62A|62A|State House District 62A
27|62B|62B|State House District 62B
27|63A|63A|State House District 63A
27|63B|63B|State House District 63B
27|64A|64A|State House District 64A
27|64B|64B|State House District 64B
27|65A|65A|State House District 65A
27|65B|65B|State House District 65B
27|66A|66A|State House District 66A
27|66B|66B|State House District 66B
27|67A|67A|State House District 67A
27|67B|67B|State House District 67B
