STATEFP|DISTRICT|NAME|NAMELSAD
29|00001|Maries County R-II School District|Maries County R-II School District
29|00002|South Harrison School District|South Harrison School District
29|00003|Portageville School District|Portageville School District
29|00004|New Madrid County R-I School District|New Madrid County R-I School District
29|01000|Columbia Public Schools|Columbia Public Schools
29|02850|Adrian County R-III School District|Adrian County R-III School District
29|02880|Advance R-IV School District|Advance R-IV School District
29|02910|Affton School District|Affton School District
29|02970|Albany R-III School District|Albany R-III School District
29|03000|Santa Fe R-X School District|Santa Fe R-X School District
29|03060|Alton R-IV School District|Alton R-IV School District
29|03120|Appleton City R-II School District|Appleton City R-II School District
29|03150|Arcadia Valley R-II School District|Arcadia Valley R-II School District
29|03200|Cass County R-V School District|Cass County R-V School District
29|03270|Ash Grove R-IV School District|Ash Grove R-IV School District
29|03480|Atlanta C-3 Schools|Atlanta C-3 Schools
29|04020|Aurora R-8 School District|Aurora R-8 School District
29|04050|Ava R-I School District|Ava R-I School District
29|04140|Bakersfield R-IV School District|Bakersfield R-IV School District
29|04170|Ballard R-II School District|Ballard R-II School District
29|04500|Bayless School District|Bayless School District
29|04530|Bell City R-II School District|Bell City R-II School District
29|04620|Belton 124 School District|Belton 124 School District
29|04890|Scott County R-IV School District|Scott County R-IV School District
29|04950|Bernie School District|Bernie School District
29|04980|Bevier C-4 School District|Bevier C-4 School District
29|05070|Billings R-IV School District|Billings R-IV School District
29|05130|Bismarck R-V School District|Bismarck R-V School District
29|05250|Bloomfield School District|Bloomfield School District
29|05280|Blue Eye School District|Blue Eye School District
29|05310|Blue Springs R-IV School District|Blue Springs R-IV School District
29|05370|Bolivar R-I School District|Bolivar R-I School District
29|05430|North St. Francis County R-I School District|North St. Francis County R-I School District
29|05580|Boonville School District|Boonville School District
29|05610|Bosworth R-V School District|Bosworth R-V School District
29|05640|Crawford County R-I School District|Crawford County R-I School District
29|05660|Bowling Green R-I School District|Bowling Green R-I School District
29|05700|Bradleyville R-I School District|Bradleyville R-I School District
29|05730|Delta C-7 School District|Delta C-7 School District
29|05760|Branson R-IV School District|Branson R-IV School District
29|05790|Adair County R-II School District|Adair County R-II School District
29|05820|Braymer C-4 School District|Braymer C-4 School District
29|05850|Breckenridge R-I School District|Breckenridge R-I School District
29|05880|Brentwood School District|Brentwood School District
29|05910|Bronaugh R-VII School District|Bronaugh R-VII School District
29|05940|Brookfield R-III School District|Brookfield R-III School District
29|06000|Linn County R-I School District|Linn County R-I School District
29|06030|Brunswick R-II School District|Brunswick R-II School District
29|06090|Bucklin R-II School District|Bucklin R-II School District
29|06120|Dallas County R-I School District|Dallas County R-I School District
29|06150|Cooper County C-4 School District|Cooper County C-4 School District
29|06170|Bunker R-III School District|Bunker R-III School District
29|06360|Butler R-V School District|Butler R-V School District
29|06430|Cabool School District|Cabool School District
29|06450|Cainsville R-I School District|Cainsville R-I School District
29|06480|Calhoun R-VIII School District|Calhoun R-VIII School District
29|06510|Moniteau County R-I School District|Moniteau County R-I School District
29|06990|Camdenton R-III School District|Camdenton R-III School District
29|07020|Cameron R-I School District|Cameron R-I School District
29|07050|Campbell R-II School District|Campbell R-II School District
29|07080|Canton School District|Canton School District
29|07120|Cape Girardeau 63 School District|Cape Girardeau 63 School District
29|07350|Carl Junction R-I School District|Carl Junction R-I School District
29|07380|Carrollton R-VII School District|Carrollton R-VII School District
29|07460|Carthage R-IX School District|Carthage R-IX School District
29|07470|Caruthersville School District|Caruthersville School District
29|08170|Cassville R-IV School District|Cassville R-IV School District
29|08250|Center 58 School District|Center 58 School District
29|08320|Johnson County R-VII School District|Johnson County R-VII School District
29|08370|Fort Zumwalt R-II School District|Fort Zumwalt R-II School District
29|08400|Centralia R-VI School District|Centralia R-VI School District
29|08430|Chadwick R-I School District|Chadwick R-I School District
29|08460|Scott County R-II School District|Scott County R-II School District
29|08490|Osage County R-I School District|Osage County R-I School District
29|08670|Charleston R-I School District|Charleston R-I School District
29|08730|Chilhowee R-IV School District|Chilhowee R-IV School District
29|08760|Chillicothe R-II School District|Chillicothe R-II School District
29|09120|Clarkton C-4 School District|Clarkton C-4 School District
29|09720|Clayton School District|Clayton School District
29|09750|Clearwater R-I School District|Clearwater R-I School District
29|09780|Clever R-V School District|Clever R-V School District
29|09810|Climax Springs R-IV School District|Climax Springs R-IV School District
29|09860|Clinton School District|Clinton School District
29|09900|Cole Camp R-I School District|Cole Camp R-I School District
29|09930|Cole County R-II School District|Cole County R-II School District
29|10020|Community R-VI School District|Community R-VI School District
29|10080|Concordia School District|Concordia School District
29|10110|Laclede County R-I School District|Laclede County R-I School District
29|10140|Cooter R-IV School District|Cooter R-IV School District
29|10200|Couch R-I School District|Couch R-I School District
29|10260|Craig R-III School District|Craig R-III School District
29|10290|Crane R-III School District|Crane R-III School District
29|10320|Sherwood Cass R-VIII School District|Sherwood Cass R-VIII School District
29|10350|Crocker School District|Crocker School District
29|10380|Crystal City 47 School District|Crystal City 47 School District
29|10410|Crawford County R-2 School District|Crawford County R-2 School District
29|10440|Dadeville R-II School District|Dadeville R-II School District
29|10500|De Soto School District|De Soto School District
29|10520|Lakeland R-III School District|Lakeland R-III School District
29|10590|Buchanan County R-IV School District|Buchanan County R-IV School District
29|10620|Delta R-V School District|Delta R-V School District
29|10770|Dexter R-XI School District|Dexter R-XI School District
29|10800|Diamond R-IV School District|Diamond R-IV School District
29|10830|Dixon R-I School District|Dixon R-I School District
29|10920|Doniphan R-I School District|Doniphan R-I School District
29|10950|Dora R-III School District|Dora R-III School District
29|11070|Drexel R-IV School District|Drexel R-IV School District
29|11100|East Carter County R-II School District|East Carter County R-II School District
29|11220|East Prairie R-II School District|East Prairie R-II School District
29|11250|East Buchanan County C-1 School District|East Buchanan County C-1 School District
29|11280|Knox County R-I School District|Knox County R-I School District
