STATEFP|DISTRICT|NAME|NAMELSAD
29|001|1|State House District 1
29|002|2|State House District 2
29|003|3|State House District 3
29|004|4|State House District 4
29|005|5|State House District 5
29|006|6|State House District 6
29|007|7|State House District 7
29|008|8|State House District 8
29|009|9|State House District 9
29|010|10|State House District 10
29|011|11|State House District 11
29|012|12|State House District 12
29|013|13|State House District 13
29|014|14|State House District 14
29|015|15|State House District 15
29|016|16|State House District 16
29|017|17|State House District 17
29|018|18|State House District 18
29|019|19|State House District 19
29|020|20|State House District 20
29|021|21|State House District 21
29|022|22|State House District 22
29|023|23|State House District 23
29|024|24|State House District 24
29|025|25|State House District 25
29|026|26|State House District 26
29|027|27|State House District 27
29|028|28|State House District 28
29|029|29|State House District 29
29|030|30|State House District 30
29|031|31|State House District 31
29|032|32|State House District 32
29|033|33|State House District 33
29|034|34|State House District 34
29|035|35|State House District 35
29|036|36|State House District 36
29|037|37|State House District 37
29|038|38|State House District 38
29|039|39|State House District 39
29|040|40|State House District 40
29|041|41|State House District 41
29|042|42|State House District 42
29|043|43|State House District 43
29|044|44|State House District 44
29|045|45|State House District 45
29|046|46|State House District 46
29|047|47|State House District 47
29|048|48|State House District 48
29|049|49|State House District 49
29|050|50|State House District 50
29|051|51|State House District 51
29|052|52|State House District 52
29|053|53|State House District 53
29|054|54|State House District 54
29|055|55|State House District 55
29|056|56|State House District 56
29|057|57|State House District 57
29|058|58|State House District 58
29|059|59|State House District 59
29|060|60|State House District 60
29|061|61|State House District 61
29|062|62|State House District 62
29|063|63|State House District 63
29|064|64|State House District 64
29|065|65|State House District 65
29|066|66|State House District 66
29|067|67|State House District 67
29|068|68|State House District 68
29|069|69|State House District 69
29|070|70|State House District 70
29|071|71|State House District 71
29|072|72|State House District 72
29|073|73|State House District 73
29|074|74|State House District 74
29|075|75|State House District 75
29|076|76|State House District 76
29|077|77|State House District 77
29|078|78|State House District 78
29|079|79|State House District 79
29|080|80|State House District 80
29|081|81|State House District 81
29|082|82|State House District 82
29|083|83|State House District 83
29|084|84|State House District 84
29|085|85|State House District 85
29|086|86|State House District 86
29|087|87|State House District 87
29|088|88|State House District 88
29|089|89|State House District 89
29|090|90|State House District 90
29|091|91|State House District 91
29|092|92|State House District 92
29|093|93|State House District 93
29|094|94|State House District 94
29|095|95|State House District 95
29|096|96|State House District 96
29|097|97|State House District 97
29|098|98|State House District 98
29|099|99|State House District 99
29|100|100|State House District 100
29|101|101|State House District 101
29|102|102|State House District 102
29|103|103|State House District 103
29|104|104|State House District 104
29|105|105|State House District 105
29|106|106|State House District 106
29|107|107|State House District 107
29|108|108|State House District 108
29|109|109|State House District 109
29|110|110|State House District 110
29|111|111|State House District 111
29|112|112|State House District 112
29|113|113|State House District 113
29|114|114|State House District 114
29|115|115|State House District 115
29|116|116|State House District 116
29|117|117|State House District 117
29|118|118|State House District 118
29|119|119|State House District 119
29|120|120|State House District 120
29|121|121|State House District 121
29|122|122|State House District 122
29|123|123|State House District 123
29|124|124|State House District 124
29|125|125|State House District 125
29|126|126|State House District 126
29|127|127|State House District 127
29|128|128|State House District 128
29|129|129|State House District 129
29|130|130|State House District 130
29|131|131|State House District 131
29|132|132|State House District 132
29|133|133|State House District 133
29|134|134|State House District 134
29|135|135|State House District 135
29|136|136|State House District 136
29|137|137|State House District 137
29|138|138|State House District 138
29|139|139|State House District 139
29|140|140|State House District 140
29|141|141|State House District 141
29|142|142|State House District 142
29|143|143|State House District 143
29|144|144|State House District 144
29|145|145|State House District 145
29|146|146|State House District 146
29|147|147|State House District 147
29|148|148|State House District 148
29|149|149|State House District 149
29|150|150|State House District 150
29|151|151|State House District 151
29|152|152|State House District 152
29|153|153|State House District 153
29|154|154|State House District 154
29|155|155|State House District 155
29|156|156|State House District 156
29|157|157|State House District 157
29|158|158|State House District 158
29|159|159|State House District 159
29|160|160|State House District 160
29|161|161|State House District 161
29|162|162|State House District 162
29|163|163|State House District 163
