STATEFP|DISTRICT|NAME|NAMELSAD
30|00002|Somers Elementary School District|Somers Elementary School District
30|00003|Cut Bank Elementary School District|Cut Bank Elementary School District
30|00004|Mountain View Elementary School District|Mountain View Elementary School District
30|00005|Helena Elementary School District|Helena Elementary School District
30|00006|Broadus Elementary School District|Broadus Elementary School District
30|00007|South Stacey Elementary School District|South Stacey Elementary School District
30|00008|Ashland Elementary School District|Ashland Elementary School District
30|00089|Cottonwood Elementary School District|Cottonwood Elementary School District
30|00090|Noxon Elementary School District|Noxon Elementary School District
30|00093|Liberty Elementary School District|Liberty Elementary School District
30|00094|West Glacier Elementary School District|West Glacier Elementary School District
30|00096|North Star Elementary School District|North Star Elementary School District
30|00098|Chester-Joplin-Inverness Elementary School District|Chester-Joplin-Inverness Elementary School District
30|00932|Shields Valley Elementary School District|Shields Valley Elementary School District
30|01710|Absarokee Elementary School District|Absarokee Elementary School District
30|01950|Alzada Elementary School District|Alzada Elementary School District
30|01980|Amsterdam Elementary School District|Amsterdam Elementary School District
30|02010|Anaconda Elementary School District|Anaconda Elementary School District
30|02070|Anderson Elementary School District|Anderson Elementary School District
30|02220|Arlee Elementary School District|Arlee Elementary School District
30|02300|Arrowhead Elementary School District|Arrowhead Elementary School District
30|02430|Augusta Elementary School District|Augusta Elementary School District
30|02490|Auchard Creek Elementary School District|Auchard Creek Elementary School District
30|02550|Avon Elementary School District|Avon Elementary School District
30|02570|Ayers Elementary School District|Ayers Elementary School District
30|02820|Basin Elementary School District|Basin Elementary School District
30|02850|Smith Valley Elementary School District|Smith Valley Elementary School District
30|03000|Bear Paw Elementary School District|Bear Paw Elementary School District
30|03290|Belgrade Elementary School District|Belgrade Elementary School District
30|03420|Belt Elementary School District|Belt Elementary School District
30|03480|Benton Lake Elementary School District|Benton Lake Elementary School District
30|03600|Biddle Elementary School District|Biddle Elementary School District
30|03660|Spring Creek Elementary School District|Spring Creek Elementary School District
30|03760|Big Sandy Elementary School District|Big Sandy Elementary School District
30|03800|Big Timber Elementary School District|Big Timber Elementary School District
30|03820|Bigfork Elementary School District|Bigfork Elementary School District
30|03870|Billings Elementary School District|Billings Elementary School District
30|03990|Birney Elementary School District|Birney Elementary School District
30|04050|Cleveland Elementary School District|Cleveland Elementary School District
30|04200|Bloomfield Elementary School District|Bloomfield Elementary School District
30|04230|Blue Creek Elementary School District|Blue Creek Elementary School District
30|04260|Bonner Elementary School District|Bonner Elementary School District
30|04380|Boulder Elementary School District|Boulder Elementary School District
30|04440|Box Elder Elementary School District|Box Elder Elementary School District
30|04560|Bozeman Elementary School District|Bozeman Elementary School District
30|04890|Broadview Elementary School District|Broadview Elementary School District
30|05010|Brockton Elementary School District|Brockton Elementary School District
30|05130|Brorson Elementary School District|Brorson Elementary School District
30|05140|Browning Elementary School District|Browning Elementary School District
30|05280|Butte Elementary School District|Butte Elementary School District
30|05330|Bynum Elementary School District|Bynum Elementary School District
30|05400|Camas Prairie Elementary School District|Camas Prairie Elementary School District
30|05460|Canyon Creek Elementary School District|Canyon Creek Elementary School District
30|05550|Cardwell Elementary School District|Cardwell Elementary School District
30|05760|Carter Elementary School District|Carter Elementary School District
30|05850|Vaughn Elementary School District|Vaughn Elementary School District
30|05880|Cascade Elementary School District|Cascade Elementary School District
30|05990|Cayuse Prairie Elementary School District|Cayuse Prairie Elementary School District
30|06030|McCormick Elementary School District|McCormick Elementary School District
30|06112|Charlo Elementary School District|Charlo Elementary School District
30|06260|Chinook Elementary School District|Chinook Elementary School District
30|06320|Choteau Elementary School District|Choteau Elementary School District
30|06790|Circle Elementary School District|Circle Elementary School District
30|06840|Clancy Elementary School District|Clancy Elementary School District
30|06870|Clinton Elementary School District|Clinton Elementary School District
