STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
30|001|1|Precinct 1|Precinct 1
30|001|12|Precinct 12|Precinct 12
30|001|14|Precinct 14|Precinct 14
30|001|17|Precinct 17|Precinct 17
30|001|19|Precinct 19|Precinct 19
30|001|2|Precinct 2|Precinct 2
30|001|20|Precinct 20|Precinct 20
30|001|21|Precinct 21|Precinct 21
30|001|23|Precinct 23|Precinct 23
30|001|3|Precinct 3|Precinct 3
30|001|4|Precinct 4|Precinct 4
30|001|5|Precinct 5|Precinct 5
30|001|6|Precinct 6|Precinct 6
30|001|7|Precinct 7|Precinct 7
30|001|8|Precinct 8|Precinct 8
30|001|9|Precinct 9|Precinct 9
30|005|1|Precinct 1|Precinct 1
30|005|10|Precinct 10|Precinct 10
30|005|11|Precinct 11|Precinct 11
30|005|13|Precinct 13|Precinct 13
30|005|15|Precinct 15|Precinct 15
30|005|17|Precinct 17|Precinct 17
30|005|20|Precinct 20|Precinct 20
30|005|3|Precinct 3|Precinct 3
30|005|8|Precinct 8|Precinct 8
30|005|9|Precinct 9|Precinct 9
30|007|1|Precinct 1|Precinct 1
30|007|11|Precinct 11|Precinct 11
30|007|12|Precinct 12|Precinct 12
30|007|13|Precinct 13|Precinct 13
30|007|7|Precinct 7|Precinct 7
30|009|1|Precinct 1|Precinct 1
30|009|10|Precinct 10|Precinct 10
30|009|11|Precinct 11|Precinct 11
30|009|12|Precinct 12|Precinct 12
30|009|13|Precinct 13|Precinct 13
30|009|14|Precinct 14|Precinct 14
30|009|15|Precinct 15|Precinct 15
30|009|16|Precinct 16|Precinct 16
30|009|2|Precinct 2|Precinct 2
30|009|3|Precinct 3|Precinct 3
30|009|4|Precinct 4|Precinct 4
30|009|5|Precinct 5|Precinct 5
30|009|6|Precinct 6|Precinct 6
30|009|7|Precinct 7|Precinct 7
30|009|8|Precinct 8|Precinct 8
30|009|9|Precinct 9|Precinct 9
30|011|1|Precinct 1|Precinct 1
30|011|13|Precinct 13|Precinct 13
30|011|14|Precinct 14|Precinct 14
30|011|3|Precinct 3|Precinct 3
30|013|18A|Precinct 18A|Precinct 18A
30|013|18B|Precinct 18B|Precinct 18B
30|013|18C|Precinct 18C|Precinct 18C
30|013|18D|Precinct 18D|Precinct 18D
30|013|18E|Precinct 18E|Precinct 18E
30|013|18F|Precinct 18F|Precinct 18F
30|013|18G|Precinct 18G|Precinct 18G
30|013|19A|Precinct 19A|Precinct 19A
