STATEFP|DISTRICT|NAME|NAMELSAD
31|00002|David City Public Schools|David City Public Schools
31|00003|East Butler Public Schools|East Butler Public Schools
31|00004|Laurel-Concord Public Schools|Laurel-Concord Public Schools
31|00005|Howells Public Schools|Howells Public Schools
31|00006|West Point Public Schools|West Point Public Schools
31|00008|Wisner-Pilger Public Schools|Wisner-Pilger Public Schools
31|00010|Anselmo-Merna Public Schools|Anselmo-Merna Public Schools
31|00011|Broken Bow Public Schools|Broken Bow Public Schools
31|00012|Callaway Public Schools|Callaway Public Schools
31|00015|Cambridge Public Schools|Cambridge Public Schools
31|00016|Grand Island Public Schools|Grand Island Public Schools
31|00018|Wauneta-Palisade Public Schools|Wauneta-Palisade Public Schools
31|00020|Ewing Public Schools|Ewing Public Schools
31|00021|Waverly School District 145|Waverly School District 145
31|00022|North Platte Public Schools|North Platte Public Schools
31|00023|Maxwell Public Schools|Maxwell Public Schools
31|00024|Sutherland Public Schools|Sutherland Public Schools
31|00025|Elkhorn Valley Schools|Elkhorn Valley Schools
31|00029|Superior Public Schools|Superior Public Schools
31|00034|Ashland-Greenwood Public Schools|Ashland-Greenwood Public Schools
31|00040|Prague Public Schools|Prague Public Schools
31|00041|Stanton Community Schools|Stanton Community Schools
31|00065|Franklin Public Schools|Franklin Public Schools
31|00066|Silver Lake Public Schools|Silver Lake Public Schools
31|00067|Banner County Public Schools|Banner County Public Schools
31|00068|Cedar Rapids Public Schools|Cedar Rapids Public Schools
31|00070|Amherst Public Schools|Amherst Public Schools
31|00071|Tekamah-Herman Community Schools|Tekamah-Herman Community Schools
31|00072|Leyton Public Schools|Leyton Public Schools
31|00073|Arnold Public Schools|Arnold Public Schools
31|00076|Scribner-Snyder Community Schools|Scribner-Snyder Community Schools
31|00077|Dundy County Public Schools|Dundy County Public Schools
31|00080|Alma Public Schools|Alma Public Schools
31|00082|Stuart Public Schools|Stuart Public Schools
31|00085|St. Paul Public Schools|St. Paul Public Schools
31|00088|Norris School District 160|Norris School District 160
31|00089|Palmer Public Schools|Palmer Public Schools
31|00090|Bayard Public Schools|Bayard Public Schools
31|00091|Fullerton Public Schools|Fullerton Public Schools
31|00095|Crete Public Schools|Crete Public Schools
31|00096|Friend Public Schools|Friend Public Schools
31|00097|Morrill Public Schools|Morrill Public Schools
31|00098|Gering Public Schools|Gering Public Schools
31|00099|Centennial Public Schools|Centennial Public Schools
31|00105|Bridgeport Public Schools|Bridgeport Public Schools
31|00109|Southern Valley Schools|Southern Valley Schools
31|00110|South Platte Public Schools|South Platte Public Schools
31|00111|Eustis-Farnam Public Schools|Eustis-Farnam Public Schools
31|00112|Lakeview Community Schools|Lakeview Community Schools
31|00114|Logan View Public Schools|Logan View Public Schools
31|00115|North Bend Central Public Schools|North Bend Central Public Schools
31|00116|Freeman Public Schools|Freeman Public Schools
31|00117|Heartland Community Schools|Heartland Community Schools
31|00118|Fillmore Central Public Schools|Fillmore Central Public Schools
31|00119|Nebraska Unified District 1|Nebraska Unified District 1
31|00120|Hitchcock County School System|Hitchcock County School System
31|00121|Doniphan-Trumbull Public Schools|Doniphan-Trumbull Public Schools
31|00122|South Central Nebraska School District|South Central Nebraska School District
31|00123|High Plains Community Schools|High Plains Community Schools
31|00124|Bruning-Davenport Unified School System|Bruning-Davenport Unified School System
31|00125|Diller-Odell Public Schools|Diller-Odell Public Schools
31|00129|Twin Rivers Public Schools|Twin Rivers Public Schools
31|00130|Cross County Community Schools|Cross County Community Schools
31|00132|Thayer Central Community Schools|Thayer Central Community Schools
31|00133|Exeter-Milligan Public Schools|Exeter-Milligan Public Schools
31|00134|Wilcox-Hildreth Public Schools|Wilcox-Hildreth Public Schools
31|00140|Creek Valley Schools|Creek Valley Schools
31|00141|Emerson-Hubbard Public Schools|Emerson-Hubbard Public Schools
31|00148|Greeley-Wolbach Public Schools|Greeley-Wolbach Public Schools
31|00157|Perkins County Schools|Perkins County Schools
31|00165|Douglas County West Community Schools|Douglas County West Community Schools
31|00170|Gordon-Rushville Public Schools|Gordon-Rushville Public Schools
31|00172|West Holt Public Schools|West Holt Public Schools
31|00176|Johnson County Central Public Schools|Johnson County Central Public Schools
31|00178|Southwest Public Schools|Southwest Public Schools
31|00179|Humboldt Table Rock Steinauer Public Schools|Humboldt Table Rock Steinauer Public Schools
31|00180|West Boyd Public Schools|West Boyd Public Schools
31|01992|Elmwood-Murdock Public Schools|Elmwood-Murdock Public Schools
31|02770|Adams Central Public Schools|Adams Central Public Schools
31|02790|Ainsworth Community Schools|Ainsworth Community Schools
31|02820|Boone Central Schools|Boone Central Schools
31|02880|Allen Consolidated Schools|Allen Consolidated Schools
31|02910|Alliance Public Schools|Alliance Public Schools
31|03060|Ansley Public Schools|Ansley Public Schools
31|03090|Arapahoe Public Schools|Arapahoe Public Schools
31|03120|Arcadia Public Schools|Arcadia Public Schools
31|03130|Arlington Public Schools|Arlington Public Schools
31|03210|Arthur County Schools|Arthur County Schools
31|03330|Auburn Public Schools|Auburn Public Schools
31|03360|Aurora Public Schools|Aurora Public Schools
31|03420|Axtell Community Schools|Axtell Community Schools
31|03440|Bancroft-Rosalie Community Schools|Bancroft-Rosalie Community Schools
31|03540|Battle Creek Public Schools|Battle Creek Public Schools
31|03600|Beatrice Public Schools|Beatrice Public Schools
31|03810|Bellevue Public Schools|Bellevue Public Schools
31|03990|Bennington Public Schools|Bennington Public Schools
31|04020|Bertrand Public Schools|Bertrand Public Schools
31|04100|Blair Community Schools|Blair Community Schools
31|04140|Bloomfield Community Schools|Bloomfield Community Schools
31|04200|Blue Hill Public Schools|Blue Hill Public Schools
31|04290|Brady Public Schools|Brady Public Schools
31|04640|Burwell Public Schools|Burwell Public Schools
31|04870|Cedar Bluffs Public Schools|Cedar Bluffs Public Schools
31|04920|Central City Public Schools|Central City Public Schools
31|04950|Raymond Central Schools|Raymond Central Schools
31|04980|Chadron Public Schools|Chadron Public Schools
31|05010|Chambers Public Schools|Chambers Public Schools
31|05070|Chase County Schools|Chase County Schools
31|05160|Clarkson Public Schools|Clarkson Public Schools
31|05220|Clay Center Public Schools|Clay Center Public Schools
31|05280|Cody-Kilgore Public Schools|Cody-Kilgore Public Schools
31|05310|Coleridge Community Schools|Coleridge Community Schools
31|05340|Columbus Public Schools|Columbus Public Schools
31|05460|Cozad City Schools|Cozad City Schools
31|05520|Crawford Public Schools|Crawford Public Schools
31|05550|Creighton Public Schools|Creighton Public Schools
31|05630|Crofton Community Schools|Crofton Community Schools
31|05910|Deshler Public Schools|Deshler Public Schools
31|05970|Tri County Public Schools|Tri County Public Schools
31|09120|Hayes Center Public Schools|Hayes Center Public Schools
31|19560|Umonhon Nation Public Schools|Umonhon Nation Public Schools
31|62950|Centura Public Schools|Centura Public Schools
31|69780|Dodge Public Schools|Dodge Public Schools
31|69840|Dorchester Public Schools|Dorchester Public Schools
31|70020|Elba Public Schools|Elba Public Schools
