STATEFP|DISTRICT|NAME|NAMELSAD
34|001|1|General Assembly District 1
34|002|2|General Assembly District 2
34|003|3|General Assembly District 3
34|004|4|General Assembly District 4
34|005|5|General Assembly District 5
34|006|6|General Assembly District 6
34|007|7|General Assembly District 7
34|008|8|General Assembly District 8
34|009|9|General Assembly District 9
34|010|10|General Assembly District 10
34|011|11|General Assembly District 11
34|012|12|General Assembly District 12
34|013|13|General Assembly District 13
34|014|14|General Assembly District 14
34|015|15|General Assembly District 15
34|016|16|General Assembly District 16
34|017|17|General Assembly District 17
34|018|18|General Assembly District 18
34|019|19|General Assembly District 19
34|020|20|General Assembly District 20
34|021|21|General Assembly District 21
34|022|22|General Assembly District 22
34|023|23|General Assembly District 23
34|024|24|General Assembly District 24
34|025|25|General Assembly District 25
34|026|26|General Assembly District 26
34|027|27|General Assembly District 27
34|028|28|General Assembly District 28
34|029|29|General Assembly District 29
34|030|30|General Assembly District 30
34|031|31|General Assembly District 31
34|032|32|General Assembly District 32
34|033|33|General Assembly District 33
34|034|34|General Assembly District 34
34|035|35|General Assembly District 35
34|036|36|General Assembly District 36
34|037|37|General Assembly District 37
34|038|38|General Assembly District 38
34|039|39|General Assembly District 39
34|040|40|General Assembly District 40
34|ZZZ|State House Districts not defined|State House Districts not defined
