STATEFP|PLACEFP|NAME|NAMELSAD
35|00240|Abeytas|Abeytas CDP
35|00310|Abiquiu|Abiquiu CDP
35|00765|Acomita Lake|Acomita Lake CDP
35|00940|Adelino|Adelino CDP
35|01220|Agua Fria|Agua Fria CDP
35|01640|Alamillo|Alamillo CDP
35|01710|Alamo|Alamo CDP
35|02070|Alcalde|Alcalde CDP
35|02210|Algodones|Algodones CDP
35|03750|Animas|Animas CDP
35|03820|Anthony|Anthony CDP
35|03890|Anton Chico|Anton Chico CDP
35|03970|Anzac Village|Anzac Village CDP
35|04030|Apache Creek|Apache Creek CDP
35|04450|Aragon|Aragon CDP
35|04660|Arenas Valley|Arenas Valley CDP
35|04870|Arrey|Arrey CDP
35|05010|Arroyo Hondo|Arroyo Hondo CDP
35|05150|Arroyo Seco|Arroyo Seco CDP
35|05430|Atoka|Atoka CDP
35|06425|Beclabito|Beclabito CDP
35|06760|Bent|Bent CDP
35|06830|Berino|Berino CDP
35|07145|Bibo|Bibo CDP
35|07670|Black Rock|Black Rock CDP
35|07810|Blanco|Blanco CDP
35|08185|Bluewater Acres|Bluewater Acres CDP
35|08190|Bluewater Village|Bluewater Village CDP
35|08440|Boles Acres|Boles Acres CDP
35|08860|Brazos|Brazos CDP
35|09035|Brimhall Nizhoni|Brimhall Nizhoni CDP
35|09630|Buckhorn|Buckhorn CDP
35|10050|Caballo|Caballo CDP
35|10470|Cañada de los Alamos|Cañada de los Alamos CDP
35|10610|Canjilon|Canjilon CDP
35|10750|Cannon AFB|Cannon AFB CDP
35|10770|Cañon|Cañon CDP
35|11310|Cañones|Cañones CDP
35|11520|Canova|Canova CDP
35|12008|Gallina|Gallina CDP
35|12010|Capulin|Capulin CDP
35|12430|Carnuel|Carnuel CDP
35|12786|Casa Colorada|Casa Colorada CDP
35|13200|Cedar Crest|Cedar Crest CDP
35|13270|Cedar Grove|Cedar Grove CDP
35|13340|Cedar Hill|Cedar Hill CDP
35|13450|Cedro|Cedro CDP
35|14040|Chamberino|Chamberino CDP
35|14110|Chamisal|Chamisal CDP
35|14180|Chamita|Chamita CDP
35|14200|Chamizal|Chamizal CDP
35|14250|Chaparral|Chaparral CDP
35|14670|Chical|Chical CDP
35|14810|Chili|Chili CDP
35|14880|Chilili|Chilili CDP
35|14950|Chimayo|Chimayo CDP
35|15300|Chupadero|Chupadero CDP
35|15370|Church Rock|Church Rock CDP
35|15560|City of the Sun|City of the Sun CDP
35|15860|Cliff|Cliff CDP
35|16490|Cobre|Cobre CDP
35|16560|Cochiti|Cochiti CDP
35|16585|Cochiti Lake|Cochiti Lake CDP
35|17260|Conchas Dam|Conchas Dam CDP
35|17610|Cordova|Cordova CDP
35|18240|Costilla|Costilla CDP
35|18310|Cotton City|Cotton City CDP
35|18660|Coyote|Coyote CDP
35|18940|Crownpoint|Crownpoint CDP
35|19010|Cruzville|Cruzville CDP
35|19080|Crystal|Crystal CDP
35|19110|Cuartelez|Cuartelez CDP
35|19220|Cubero|Cubero CDP
35|19500|Cundiyo|Cundiyo CDP
35|19640|Cuyamungue|Cuyamungue CDP
35|19645|Cuyamungue Grant|Cuyamungue Grant CDP
35|19920|Datil|Datil CDP
35|20830|Dixon|Dixon CDP
35|21110|Doña Ana|Doña Ana CDP
35|21390|Dulce|Dulce CDP
35|21810|Duran|Duran CDP
35|22230|East Pecos|East Pecos CDP
35|22390|Edith Endave|Edith Endave CDP
35|22580|El Cerro|El Cerro CDP
35|22582|El Cerro Mission|El Cerro Mission CDP
35|22625|Eldorado at Santa Fe|Eldorado at Santa Fe CDP
35|22650|El Duende|El Duende CDP
35|23840|El Rancho|El Rancho CDP
35|24120|El Rito|El Rito CDP
35|24347|El Valle de Arroyo Seco|El Valle de Arroyo Seco CDP
35|24540|Encinal|Encinal CDP
35|24960|Ensenada|Ensenada CDP
35|25100|Escondida|Escondida CDP
35|25135|Escudilla Bonita|Escudilla Bonita CDP
35|25590|Fairacres|Fairacres CDP
35|25870|Faywood|Faywood CDP
35|26010|Fence Lake|Fence Lake CDP
35|26360|Flora Vista|Flora Vista CDP
35|27970|Galisteo|Galisteo CDP
35|28670|Garfield|Garfield CDP
35|29160|Gila|Gila CDP
35|29540|Glen Acres|Glen Acres CDP
35|29790|Glenwood|Glenwood CDP
35|29860|Glorieta|Glorieta CDP
35|30000|Golden|Golden CDP
35|31190|Hachita|Hachita CDP
35|31540|Hanover|Hanover CDP
35|31680|Happy Valley|Happy Valley CDP
35|32100|Hernandez|Hernandez CDP
35|32148|Highland Meadows|Highland Meadows CDP
35|32160|High Rolls|High Rolls CDP
35|32380|Hillsboro|Hillsboro CDP
35|32940|Holloman AFB|Holloman AFB CDP
35|33130|Homestead|Homestead CDP
35|33640|Hot Springs Landing|Hot Springs Landing CDP
35|34430|Indian Hills|Indian Hills CDP
35|34760|Isleta Village Proper|Isleta Village Proper CDP
35|34900|Jacona|Jacona CDP
35|34925|Jaconita|Jaconita CDP
35|35110|Jarales|Jarales CDP
35|35250|Jemez Pueblo|Jemez Pueblo CDP
35|35595|Keeler Farm|Keeler Farm CDP
35|36090|Kingston|Kingston CDP
35|36230|Kirtland|Kirtland CDP
35|36720|La Cienega|La Cienega CDP
35|36880|La Cueva|La Cueva CDP
35|37070|Laguna|Laguna CDP
35|37407|La Hacienda|La Hacienda CDP
35|37420|La Huerta|La Huerta CDP
35|37490|La Jara|La Jara CDP
35|37700|La Joya|La Joya CDP
35|37860|Lake Roberts|Lake Roberts CDP
35|37862|Lake Roberts Heights|Lake Roberts Heights CDP
35|37875|Lake Sumner|Lake Sumner CDP
35|37910|Lake Valley|Lake Valley CDP
35|38330|La Luz|La Luz CDP
35|38470|La Madera|La Madera CDP
35|38680|La Mesa|La Mesa CDP
35|38820|La Mesilla|La Mesilla CDP
35|38890|Lamy|Lamy CDP
35|39030|La Plata|La Plata CDP
35|39170|La Puebla|La Puebla CDP
35|39430|Las Maravillas|Las Maravillas CDP
35|39450|Las Nutrias|Las Nutrias CDP
35|39520|Las Palomas|Las Palomas CDP
35|40220|La Union|La Union CDP
35|40360|La Villita|La Villita CDP
35|40525|Lee Acres|Lee Acres CDP
35|40570|Lemitar|Lemitar CDP
35|41420|Livingston Wheeler|Livingston Wheeler CDP
35|41620|Llano del Medio|Llano del Medio CDP
35|41970|Loco Hills|Loco Hills CDP
35|42320|Los Alamos|Los Alamos CDP
35|42600|Los Cerrillos|Los Cerrillos CDP
35|42740|Los Chaves|Los Chaves CDP
35|43300|Los Luceros|Los Luceros CDP
35|43510|Los Ojos|Los Ojos CDP
35|44595|Lower Frisco|Lower Frisco CDP
35|45190|Luis Lopez|Luis Lopez CDP
35|45260|Lumberton|Lumberton CDP
35|45330|Luna|Luna CDP
35|45400|Lyden|Lyden CDP
35|45690|McCartys Village|McCartys Village CDP
35|46030|McIntosh|McIntosh CDP
35|46100|Madrid|Madrid CDP
35|46170|Madrone|Madrone CDP
35|46380|Malaga|Malaga CDP
35|46730|Manzano|Manzano CDP
