STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
35|001|1|Bernalillo County Precinct 1|Bernalillo County Precinct 1
35|001|10|Bernalillo County Precinct 10|Bernalillo County Precinct 10
35|001|101|Bernalillo County Precinct 101|Bernalillo County Precinct 101
35|001|102|Bernalillo County Precinct 102|Bernalillo County Precinct 102
35|001|103|Bernalillo County Precinct 103|Bernalillo County Precinct 103
35|001|104|Bernalillo County Precinct 104|Bernalillo County Precinct 104
35|001|105|Bernalillo County Precinct 105|Bernalillo County Precinct 105
35|001|106|Bernalillo County Precinct 106|Bernalillo County Precinct 106
35|001|107|Bernalillo County Precinct 107|Bernalillo County Precinct 107
35|001|108|Bernalillo County Precinct 108|Bernalillo County Precinct 108
35|001|109|Bernalillo County Precinct 109|Bernalillo County Precinct 109
35|001|11|Bernalillo County Precinct 11|Bernalillo County Precinct 11
35|001|110|Bernalillo County Precinct 110|Bernalillo County Precinct 110
35|001|111|Bernalillo County Precinct 111|Bernalillo County Precinct 111
35|001|112|Bernalillo County Precinct 112|Bernalillo County Precinct 112
35|001|113|Bernalillo County Precinct 113|Bernalillo County Precinct 113
35|001|114|Bernalillo County Precinct 114|Bernalillo County Precinct 114
35|001|115|Bernalillo County Precinct 115|Bernalillo County Precinct 115
35|001|116|Bernalillo County Precinct 116|Bernalillo County Precinct 116
35|001|117|Bernalillo County Precinct 117|Bernalillo County Precinct 117
35|001|118|Bernalillo County Precinct 118|Bernalillo County Precinct 118
35|001|119|Bernalillo County Precinct 119|Bernalillo County Precinct 119
35|001|12|Bernalillo County Precinct 12|Bernalillo County Precinct 12
35|001|120|Bernalillo County Precinct 120|Bernalillo County Precinct 120
35|001|121|Bernalillo County Precinct 121|Bernalillo County Precinct 121
35|001|122|Bernalillo County Precinct 122|Bernalillo County Precinct 122
35|001|123|Bernalillo County Precinct 123|Bernalillo County Precinct 123
35|001|124|Bernalillo County Precinct 124|Bernalillo County Precinct 124
35|001|125|Bernalillo County Precinct 125|Bernalillo County Precinct 125
35|001|13|Bernalillo County Precinct 13|Bernalillo County Precinct 13
35|001|131|Bernalillo County Precinct 131|Bernalillo County Precinct 131
35|001|132|Bernalillo County Precinct 132|Bernalillo County Precinct 132
35|001|133|Bernalillo County Precinct 133|Bernalillo County Precinct 133
35|001|135|Bernalillo County Precinct 135|Bernalillo County Precinct 135
35|001|14|Bernalillo County Precinct 14|Bernalillo County Precinct 14
35|001|15|Bernalillo County Precinct 15|Bernalillo County Precinct 15
35|001|150|Bernalillo County Precinct 150|Bernalillo County Precinct 150
35|001|151|Bernalillo County Precinct 151|Bernalillo County Precinct 151
