STATEFP|PLACEFP|NAME|NAMELSAD
36|00199|Adams|Adams village
36|00276|Addison|Addison village
36|00342|Afton|Afton village
36|00408|Airmont|Airmont village
36|00441|Akron|Akron village
36|01000|Albany|Albany city
36|01033|Albion|Albion village
36|01088|Alden|Alden village
36|01154|Alexander|Alexander village
36|01187|Alexandria Bay|Alexandria Bay village
36|01198|Alfred|Alfred village
36|01286|Allegany|Allegany village
36|01440|Almond|Almond village
36|01517|Altamont|Altamont village
36|01550|Altmar|Altmar village
36|01737|Ames|Ames village
36|02044|Amityville|Amityville village
36|02066|Amsterdam|Amsterdam city
36|02143|Andover|Andover village
36|02176|Angelica|Angelica village
36|02198|Angola|Angola village
36|02286|Antwerp|Antwerp village
36|02407|Arcade|Arcade village
36|02506|Ardsley|Ardsley village
36|02550|Argyle|Argyle village
36|02583|Arkport|Arkport village
36|02737|Asharoken|Asharoken village
36|02902|Athens|Athens village
36|02968|Atlantic Beach|Atlantic Beach village
36|03001|Attica|Attica village
36|03078|Auburn|Auburn city
36|03188|Aurora|Aurora village
36|03331|Avoca|Avoca village
36|03353|Avon|Avon village
36|03408|Babylon|Babylon village
36|04033|Bainbridge|Bainbridge village
36|04198|Baldwinsville|Baldwinsville village
36|04253|Ballston Spa|Ballston Spa village
36|04440|Barker|Barker village
36|04528|Barneveld|Barneveld village
36|04715|Batavia|Batavia city
36|04759|Bath|Bath village
36|04803|Baxter Estates|Baxter Estates village
36|05034|Bayville|Bayville village
36|05100|Beacon|Beacon city
36|05639|Bellerose|Bellerose village
36|05672|Belle Terre|Belle Terre village
36|05771|Bellport|Bellport village
36|05815|Belmont|Belmont village
36|05848|Bemus Point|Bemus Point village
36|06046|Bergen|Bergen village
36|06607|Binghamton|Binghamton city
36|06794|Black River|Black River village
36|06849|Blasdell|Blasdell village
36|06945|Bloomfield|Bloomfield village
36|06959|Bloomingburg|Bloomingburg village
36|07190|Bolivar|Bolivar village
36|07355|Boonville|Boonville village
36|08070|Brewster|Brewster village
36|08103|Briarcliff Manor|Briarcliff Manor village
36|08169|Bridgewater|Bridgewater village
36|08323|Brightwaters|Brightwaters village
36|08422|Broadalbin|Broadalbin village
36|08466|Brockport|Brockport village
36|08488|Brocton|Brocton village
36|08532|Bronxville|Bronxville village
36|10132|Brookville|Brookville village
36|10231|Brownville|Brownville village
36|10286|Brushton|Brushton village
36|10341|Buchanan|Buchanan village
36|11000|Buffalo|Buffalo city
36|11132|Burdett|Burdett village
36|11154|Burke|Burke village
36|11704|Caledonia|Caledonia village
36|11825|Cambridge|Cambridge village
36|11847|Camden|Camden village
36|11902|Camillus|Camillus village
36|12111|Canajoharie|Canajoharie village
36|12144|Canandaigua|Canandaigua city
36|12177|Canaseraga|Canaseraga village
36|12188|Canastota|Canastota village
36|12210|Candor|Candor village
36|12254|Canisteo|Canisteo village
36|12331|Canton|Canton village
36|12353|Cape Vincent|Cape Vincent village
36|12683|Carthage|Carthage village
36|12749|Cassadaga|Cassadaga village
36|12771|Castile|Castile village
36|12870|Castleton-on-Hudson|Castleton-on-Hudson village
36|12881|Castorland|Castorland village
36|12958|Cato|Cato village
36|13002|Catskill|Catskill village
36|13024|Cattaraugus|Cattaraugus village
36|13068|Cayuga|Cayuga village
36|13079|Cayuga Heights|Cayuga Heights village
36|13145|Cazenovia|Cazenovia village
36|13233|Cedarhurst|Cedarhurst village
36|13288|Celoron|Celoron village
36|13585|Central Square|Central Square village
36|13618|Centre Island|Centre Island village
36|13739|Champlain|Champlain village
36|13981|Chateaugay|Chateaugay village
36|14003|Chatham|Chatham village
36|14036|Chaumont|Chaumont village
36|15187|Cherry Creek|Cherry Creek village
36|15242|Cherry Valley|Cherry Valley village
36|15297|Chester|Chester village
36|15400|Chestnut Ridge|Chestnut Ridge village
36|15561|Chittenango|Chittenango village
36|15638|Churchville|Churchville village
36|16089|Clayton|Clayton village
36|16111|Clayville|Clayville village
36|16188|Cleveland|Cleveland village
36|16375|Clifton Springs|Clifton Springs village
36|16419|Clinton|Clinton village
36|16573|Clyde|Clyde village
36|16628|Cobleskill|Cobleskill village
36|16727|Cohocton|Cohocton village
36|16749|Cohoes|Cohoes city
36|16815|Cold Brook|Cold Brook village
36|16936|Cold Spring|Cold Spring village
36|17332|Colonie|Colonie village
36|17882|Constableville|Constableville village
36|18047|Cooperstown|Cooperstown village
36|18135|Copenhagen|Copenhagen village
36|18201|Corfu|Corfu village
36|18212|Corinth|Corinth village
36|18256|Corning|Corning city
36|18333|Cornwall-on-Hudson|Cornwall-on-Hudson village
36|18388|Cortland|Cortland city
36|18597|Cove Neck|Cove Neck village
36|18718|Coxsackie|Coxsackie village
36|19070|Croghan|Croghan village
36|19213|Croton-on-Hudson|Croton-on-Hudson village
36|19356|Cuba|Cuba village
36|19642|Dannemora|Dannemora village
36|19664|Dansville|Dansville village
36|19994|Deferiet|Deferiet village
36|20082|Delanson|Delanson village
36|20115|Delevan|Delevan village
36|20126|Delhi|Delhi village
36|20313|Depew|Depew village
36|20346|Deposit|Deposit village
36|20379|Dering Harbor|Dering Harbor village
36|20390|DeRuyter|DeRuyter village
36|20500|Dexter|Dexter village
36|20698|Dobbs Ferry|Dobbs Ferry village
36|20731|Dolgeville|Dolgeville village
36|20896|Dresden|Dresden village
36|20951|Dryden|Dryden village
36|21050|Dundee|Dundee village
36|21105|Dunkirk|Dunkirk city
36|21523|Earlville|Earlville village
36|21589|East Aurora|East Aurora village
36|22183|East Hampton|East Hampton village
36|22260|East Hills|East Hills village
36|22557|East Nassau|East Nassau village
36|22843|East Randolph|East Randolph village
36|22865|East Rochester|East Rochester village
36|22876|East Rockaway|East Rockaway village
36|23052|East Syracuse|East Syracuse village
36|23217|East Williston|East Williston village
36|23635|Edwards|Edwards village
36|23745|Elba|Elba village
36|23789|Elbridge|Elbridge village
36|23965|Ellenville|Ellenville village
36|24020|Ellicottville|Ellicottville village
36|24075|Ellisburg|Ellisburg village
36|24229|Elmira|Elmira city
36|24251|Elmira Heights|Elmira Heights village
36|24295|Elmsford|Elmsford village
36|24515|Endicott|Endicott village
36|24713|Esperance|Esperance village
36|24823|Evans Mills|Evans Mills village
36|24867|Fabius|Fabius village
36|24988|Fair Haven|Fair Haven village
36|25076|Fairport|Fairport village
36|25164|Falconer|Falconer village
36|25384|Farmingdale|Farmingdale village
36|25428|Farnham|Farnham village
36|25527|Fayetteville|Fayetteville village
36|25967|Fishkill|Fishkill village
