STATEFP|PLACEFP|NAME|NAMELSAD
37|00440|Advance|Advance CDP
37|01140|Altamahaw|Altamahaw CDP
37|01560|Aquadale|Aquadale CDP
37|02240|Ashley Heights|Ashley Heights CDP
37|02480|Atlantic|Atlantic CDP
37|02760|Avery Creek|Avery Creek CDP
37|02780|Avon|Avon CDP
37|03220|Balfour|Balfour CDP
37|03640|Barker Heights|Barker Heights CDP
37|03665|Barker Ten Mile|Barker Ten Mile CDP
37|04015|Bayshore|Bayshore CDP
37|04040|Bayview|Bayview CDP
37|04680|Bell Arthur|Bell Arthur CDP
37|04955|Belvoir|Belvoir CDP
37|05020|Bennett|Bennett CDP
37|05049|Bent Creek|Bent Creek CDP
37|05530|Bethlehem|Bethlehem CDP
37|06510|Blue Clay Farms|Blue Clay Farms CDP
37|06980|Bonnetsville|Bonnetsville CDP
37|07400|Bowmore|Bowmore CDP
37|07765|Brices Creek|Brices Creek CDP
37|08040|Broad Creek|Broad Creek CDP
37|08110|Brogden|Brogden CDP
37|08760|Buies Creek|Buies Creek CDP
37|08880|Bunnlevel|Bunnlevel CDP
37|09380|Butters|Butters CDP
37|09400|Buxton|Buxton CDP
37|09780|Camden|Camden CDP
37|10460|Caroleen|Caroleen CDP
37|10800|Cashiers|Cashiers CDP
37|10880|Castle Hayne|Castle Hayne CDP
37|12140|Cherokee|Cherokee CDP
37|13100|Cliffside|Cliffside CDP
37|13500|Coinjock|Coinjock CDP
37|14600|Cordova|Cordova CDP
37|15040|Cove Creek|Cove Creek CDP
37|15440|Cricket|Cricket CDP
37|15880|Cullowhee|Cullowhee CDP
37|16220|Dana|Dana CDP
37|16480|Davis|Davis CDP
37|16730|Deercroft|Deercroft CDP
37|16780|Delco|Delco CDP
37|16860|Delway|Delway CDP
37|17000|Denver|Denver CDP
37|18300|Dundarrach|Dundarrach CDP
37|19420|East Flat Rock|East Flat Rock CDP
37|19800|East Rockingham|East Rockingham CDP
37|20280|Edneyville|Edneyville CDP
37|20420|Efland|Efland CDP
37|21120|Elrod|Elrod CDP
37|21130|Elroy|Elroy CDP
37|21380|Engelhard|Engelhard CDP
37|21500|Enochville|Enochville CDP
37|21880|Etowah|Etowah CDP
37|22080|Evergreen|Evergreen CDP
37|22280|Fairfield|Fairfield CDP
37|22305|Fairfield Harbour|Fairfield Harbour CDP
37|22380|Fairplains|Fairplains CDP
37|22440|Fairview|Fairview CDP
37|22982|Fearrington Village|Fearrington Village CDP
37|23520|Five Points|Five Points CDP
37|23640|Flat Rock|Flat Rock CDP
37|24198|Forest Oaks|Forest Oaks CDP
37|24380|Foscoe|Foscoe CDP
37|25020|Frisco|Frisco CDP
37|25160|Fruitland|Fruitland CDP
37|25880|Germanton|Germanton CDP
37|25900|Gerton|Gerton CDP
37|26460|Glen Raven|Glen Raven CDP
37|26520|Glenville|Glenville CDP
37|26680|Gloucester|Gloucester CDP
37|27120|Gorman|Gorman CDP
