STATEFP|DISTRICT|NAME|NAMELSAD
37|001|1|State Senate District 1
37|002|2|State Senate District 2
37|003|3|State Senate District 3
37|004|4|State Senate District 4
37|005|5|State Senate District 5
37|006|6|State Senate District 6
37|007|7|State Senate District 7
37|008|8|State Senate District 8
37|009|9|State Senate District 9
37|010|10|State Senate District 10
37|011|11|State Senate District 11
37|012|12|State Senate District 12
37|013|13|State Senate District 13
37|014|14|State Senate District 14
37|015|15|State Senate District 15
37|016|16|State Senate District 16
37|017|17|State Senate District 17
37|018|18|State Senate District 18
37|019|19|State Senate District 19
37|020|20|State Senate District 20
37|021|21|State Senate District 21
37|022|22|State Senate District 22
37|023|23|State Senate District 23
37|024|24|State Senate District 24
37|025|25|State Senate District 25
37|026|26|State Senate District 26
37|027|27|State Senate District 27
37|028|28|State Senate District 28
37|029|29|State Senate District 29
37|030|30|State Senate District 30
37|031|31|State Senate District 31
37|032|32|State Senate District 32
37|033|33|State Senate District 33
37|034|34|State Senate District 34
37|035|35|State Senate District 35
37|036|36|State Senate District 36
37|037|37|State Senate District 37
37|038|38|State Senate District 38
37|039|39|State Senate District 39
37|040|40|State Senate District 40
37|041|41|State Senate District 41
37|042|42|State Senate District 42
37|043|43|State Senate District 43
37|044|44|State Senate District 44
37|045|45|State Senate District 45
37|046|46|State Senate District 46
37|047|47|State Senate District 47
37|048|48|State Senate District 48
37|049|49|State Senate District 49
37|050|50|State Senate District 50
