STATEFP|DISTRICT|NAME|NAMELSAD
38|001|1|State Senate District 1
38|002|2|State Senate District 2
38|003|3|State Senate District 3
38|004|4|State Senate District 4
38|005|5|State Senate District 5
38|006|6|State Senate District 6
38|007|7|State Senate District 7
38|008|8|State Senate District 8
38|009|9|State Senate District 9
38|010|10|State Senate District 10
38|011|11|State Senate District 11
38|012|12|State Senate District 12
38|013|13|State Senate District 13
38|014|14|State Senate District 14
38|015|15|State Senate District 15
38|016|16|State Senate District 16
38|017|17|State Senate District 17
38|018|18|State Senate District 18
38|019|19|State Senate District 19
38|020|20|State Senate District 20
38|021|21|State Senate District 21
38|022|22|State Senate District 22
38|023|23|State Senate District 23
38|024|24|State Senate District 24
38|025|25|State Senate District 25
38|026|26|State Senate District 26
38|027|27|State Senate District 27
38|028|28|State Senate District 28
38|029|29|State Senate District 29
38|030|30|State Senate District 30
38|031|31|State Senate District 31
38|032|32|State Senate District 32
38|033|33|State Senate District 33
38|034|34|State Senate District 34
38|035|35|State Senate District 35
38|036|36|State Senate District 36
38|037|37|State Senate District 37
38|038|38|State Senate District 38
38|039|39|State Senate District 39
38|040|40|State Senate District 40
38|041|41|State Senate District 41
38|042|42|State Senate District 42
38|043|43|State Senate District 43
38|044|44|State Senate District 44
38|045|45|State Senate District 45
38|046|46|State Senate District 46
38|047|47|State Senate District 47
