STATEFP|DISTRICT|NAME|NAMELSAD
39|001|1|State House District 1
39|002|2|State House District 2
39|003|3|State House District 3
39|004|4|State House District 4
39|005|5|State House District 5
39|006|6|State House District 6
39|007|7|State House District 7
39|008|8|State House District 8
39|009|9|State House District 9
39|010|10|State House District 10
39|011|11|State House District 11
39|012|12|State House District 12
39|013|13|State House District 13
39|014|14|State House District 14
39|015|15|State House District 15
39|016|16|State House District 16
39|017|17|State House District 17
39|018|18|State House District 18
39|019|19|State House District 19
39|020|20|State House District 20
39|021|21|State House District 21
39|022|22|State House District 22
39|023|23|State House District 23
39|024|24|State House District 24
39|025|25|State House District 25
39|026|26|State House District 26
39|027|27|State House District 27
39|028|28|State House District 28
39|029|29|State House District 29
39|030|30|State House District 30
39|031|31|State House District 31
39|032|32|State House District 32
39|033|33|State House District 33
39|034|34|State House District 34
39|035|35|State House District 35
39|036|36|State House District 36
39|037|37|State House District 37
39|038|38|State House District 38
39|039|39|State House District 39
39|040|40|State House District 40
39|041|41|State House District 41
39|042|42|State House District 42
39|043|43|State House District 43
39|044|44|State House District 44
39|045|45|State House District 45
39|046|46|State House District 46
39|047|47|State House District 47
39|048|48|State House District 48
39|049|49|State House District 49
39|050|50|State House District 50
39|051|51|State House District 51
39|052|52|State House District 52
39|053|53|State House District 53
39|054|54|State House District 54
39|055|55|State House District 55
39|056|56|State House District 56
39|057|57|State House District 57
39|058|58|State House District 58
39|059|59|State House District 59
39|060|60|State House District 60
39|061|61|State House District 61
39|062|62|State House District 62
39|063|63|State House District 63
39|064|64|State House District 64
39|065|65|State House District 65
39|066|66|State House District 66
39|067|67|State House District 67
39|068|68|State House District 68
39|069|69|State House District 69
39|070|70|State House District 70
39|071|71|State House District 71
39|072|72|State House District 72
39|073|73|State House District 73
39|074|74|State House District 74
39|075|75|State House District 75
39|076|76|State House District 76
39|077|77|State House District 77
39|078|78|State House District 78
39|079|79|State House District 79
39|080|80|State House District 80
39|081|81|State House District 81
39|082|82|State House District 82
39|083|83|State House District 83
39|084|84|State House District 84
39|085|85|State House District 85
39|086|86|State House District 86
39|087|87|State House District 87
39|088|88|State House District 88
39|089|89|State House District 89
39|090|90|State House District 90
39|091|91|State House District 91
39|092|92|State House District 92
39|093|93|State House District 93
39|094|94|State House District 94
39|095|95|State House District 95
39|096|96|State House District 96
39|097|97|State House District 97
39|098|98|State House District 98
39|099|99|State House District 99
39|ZZZ|State House Districts not defined|State House Districts not defined
