STATEFP|PLACEFP|NAME|NAMELSAD
40|00100|Achille|Achille town
40|00200|Ada|Ada city
40|00250|Adair|Adair town
40|00450|Addington|Addington town
40|00600|Afton|Afton town
40|00700|Agra|Agra town
40|01050|Albion|Albion town
40|01150|Alderson|Alderson town
40|01250|Alex|Alex town
40|01350|Aline|Aline town
40|01400|Allen|Allen town
40|01700|Altus|Altus city
40|01800|Alva|Alva city
40|01900|Amber|Amber town
40|01950|Ames|Ames town
40|02000|Amorita|Amorita town
40|02050|Anadarko|Anadarko city
40|02250|Antlers|Antlers city
40|02300|Apache|Apache town
40|02500|Arapaho|Arapaho town
40|02550|Arcadia|Arcadia town
40|02600|Ardmore|Ardmore city
40|02650|Arkoma|Arkoma town
40|02750|Armstrong|Armstrong town
40|02800|Arnett|Arnett town
40|03000|Asher|Asher town
40|03050|Ashland|Ashland town
40|03300|Atoka|Atoka city
40|03350|Atwood|Atwood town
40|03500|Avant|Avant town
40|04250|Barnsdall|Barnsdall city
40|04450|Bartlesville|Bartlesville city
40|04700|Bearden|Bearden town
40|04750|Beaver|Beaver town
40|05000|Beggs|Beggs city
40|05400|Bennington|Bennington town
40|05550|Bernice|Bernice town
40|05650|Bessie|Bessie town
40|05700|Bethany|Bethany city
40|05800|Bethel Acres|Bethel Acres town
40|05900|Big Cabin|Big Cabin town
40|06100|Billings|Billings town
40|06200|Binger|Binger town
40|06400|Bixby|Bixby city
40|06450|Blackburn|Blackburn town
40|06600|Blackwell|Blackwell city
40|06650|Blair|Blair town
40|06700|Blanchard|Blanchard city
40|06950|Bluejacket|Bluejacket town
40|07300|Boise City|Boise City city
40|07350|Bokchito|Bokchito town
40|07450|Bokoshe|Bokoshe town
40|07500|Boley|Boley town
40|07750|Boswell|Boswell town
40|07950|Bowlegs|Bowlegs town
40|08150|Boynton|Boynton town
40|08300|Bradley|Bradley town
40|08400|Braggs|Braggs town
40|08450|Braman|Braman town
40|08550|Bray|Bray town
40|08600|Breckenridge|Breckenridge town
40|08725|Bridge Creek|Bridge Creek town
40|08750|Bridgeport|Bridgeport city
40|08900|Bristow|Bristow city
40|09050|Broken Arrow|Broken Arrow city
40|09100|Broken Bow|Broken Bow city
40|09150|Bromide|Bromide town
40|09400|Brooksville|Brooksville town
40|09850|Buffalo|Buffalo town
40|09950|Burbank|Burbank town
40|10050|Burlington|Burlington town
40|10250|Burns Flat|Burns Flat town
40|10450|Butler|Butler town
40|10550|Byars|Byars town
40|10600|Byng|Byng town
40|10650|Byron|Byron town
40|10700|Cache|Cache city
40|10800|Caddo|Caddo town
40|10950|Calera|Calera town
40|11050|Calumet|Calumet town
40|11100|Calvin|Calvin town
40|11150|Camargo|Camargo town
40|11300|Cameron|Cameron town
40|11450|Canadian|Canadian town
40|11550|Caney|Caney town
40|11600|Canton|Canton town
40|11650|Canute|Canute town
40|11750|Capron|Capron town
40|11900|Cardin|Cardin town
40|12000|Carmen|Carmen town
40|12050|Carnegie|Carnegie town
40|12100|Carney|Carney town
40|12200|Carrier|Carrier town
40|12300|Carter|Carter town
40|12650|Cashion|Cashion town
40|12750|Castle|Castle town
40|12900|Catoosa|Catoosa city
40|12960|Cedar Valley|Cedar Valley city
40|13000|Cement|Cement town
40|13100|Centrahoma|Centrahoma city
40|13135|Central High|Central High town
40|13500|Chandler|Chandler city
40|13600|Chattanooga|Chattanooga town
40|13650|Checotah|Checotah city
40|13700|Chelsea|Chelsea town
40|13750|Cherokee|Cherokee city
40|13900|Cheyenne|Cheyenne town
40|13950|Chickasha|Chickasha city
40|14200|Choctaw|Choctaw city
40|14300|Chouteau|Chouteau town
40|14500|Cimarron City|Cimarron City town
40|14700|Claremore|Claremore city
40|14900|Clayton|Clayton town
40|15050|Clearview|Clearview town
40|15300|Cleo Springs|Cleo Springs town
40|15350|Cleveland|Cleveland city
40|15400|Clinton|Clinton city
40|15800|Coalgate|Coalgate city
40|16050|Colbert|Colbert town
40|16100|Colcord|Colcord town
40|16200|Cole|Cole town
40|16350|Collinsville|Collinsville city
40|16400|Colony|Colony town
40|16450|Comanche|Comanche city
40|16500|Commerce|Commerce city
40|17050|Cooperton|Cooperton town
40|17100|Copan|Copan town
40|17300|Corn|Corn town
40|17350|Cornish|Cornish town
40|17550|Council Hill|Council Hill town
40|17700|Covington|Covington town
40|17800|Coweta|Coweta city
40|17850|Cowlington|Cowlington town
40|17950|Coyle|Coyle town
40|18250|Crescent|Crescent city
40|18450|Cromwell|Cromwell town
40|18550|Crowder|Crowder town
40|18850|Cushing|Cushing city
40|18950|Custer City|Custer City town
40|19000|Cyril|Cyril town
40|19050|Dacoma|Dacoma town
40|19350|Davenport|Davenport town
40|19400|Davidson|Davidson town
40|19450|Davis|Davis city
40|19650|Deer Creek|Deer Creek town
40|19850|Delaware|Delaware town
40|19900|Del City|Del City city
40|20300|Depew|Depew town
40|20450|Devol|Devol town
40|20500|Dewar|Dewar town
40|20550|Dewey|Dewey city
40|20650|Dibble|Dibble town
40|20700|Dickson|Dickson town
40|20850|Dill City|Dill City town
40|20900|Disney|Disney town
40|21200|Dougherty|Dougherty town
40|21250|Douglas|Douglas town
40|21350|Dover|Dover town
40|21700|Drummond|Drummond town
40|21750|Drumright|Drumright city
40|21900|Duncan|Duncan city
40|22050|Durant|Durant city
40|22200|Dustin|Dustin town
40|22400|Eakly|Eakly town
40|22500|Earlsboro|Earlsboro town
40|22550|East Duke|East Duke town
40|23200|Edmond|Edmond city
40|23350|Eldorado|Eldorado town
40|23450|Elgin|Elgin city
40|23500|Elk City|Elk City city
40|23550|Elmer|Elmer town
40|23600|Elmore City|Elmore City town
40|23700|El Reno|El Reno city
40|23900|Empire City|Empire City town
40|23950|Enid|Enid city
40|24200|Erick|Erick city
40|24300|Erin Springs|Erin Springs town
40|24460|Etowah|Etowah town
40|24650|Eufaula|Eufaula city
40|24850|Fairfax|Fairfax town
40|24900|Fairland|Fairland town
40|24950|Fairmont|Fairmont town
40|25000|Fair Oaks|Fair Oaks town
40|25100|Fairview|Fairview city
40|25250|Fallis|Fallis town
40|25400|Fanshawe|Fanshawe town
40|25450|Fargo|Fargo town
40|25650|Faxon|Faxon town
40|26250|Fitzhugh|Fitzhugh town
40|26350|Fletcher|Fletcher town
40|26750|Foraker|Foraker town
40|26850|Forest Park|Forest Park town
40|26900|Forgan|Forgan town
40|27100|Fort Cobb|Fort Cobb town
40|27150|Fort Coffee|Fort Coffee town
40|27200|Fort Gibson|Fort Gibson town
40|27350|Fort Supply|Fort Supply town
40|27400|Fort Towson|Fort Towson town
40|27450|Foss|Foss town
40|27500|Foster|Foster town
40|27600|Foyil|Foyil town
40|27650|Francis|Francis town
40|27800|Frederick|Frederick city
40|27850|Freedom|Freedom town
40|27900|Friendship|Friendship town
40|28250|Gage|Gage town
40|28350|Gans|Gans town
40|28500|Garber|Garber city
40|28700|Garvin|Garvin town
40|28800|Gate|Gate town
40|28900|Geary|Geary city
40|28950|Gene Autry|Gene Autry town
40|29100|Geronimo|Geronimo town
40|29150|Gerty|Gerty town
40|29400|Glencoe|Glencoe town
40|29600|Glenpool|Glenpool city
40|29850|Goldsby|Goldsby town
40|29900|Goltry|Goltry town
40|30200|Goodwell|Goodwell town
40|30300|Gore|Gore town
40|30350|Gotebo|Gotebo town
40|30400|Gould|Gould town
40|30600|Gracemont|Gracemont town
40|30750|Grainola|Grainola town
40|30850|Grandfield|Grandfield city
40|30900|Grand Lake Towne|Grand Lake Towne town
40|30950|Granite|Granite town
40|31150|Grayson|Grayson town
40|31250|Greenfield|Greenfield town
40|31600|Grove|Grove city
40|31700|Guthrie|Guthrie city
40|31750|Guymon|Guymon city
40|31900|Haileyville|Haileyville city
40|32050|Hallett|Hallett town
40|32250|Hammon|Hammon town
40|32350|Hanna|Hanna town
40|32550|Hardesty|Hardesty town
40|32750|Harrah|Harrah city
40|32850|Hartshorne|Hartshorne city
40|32900|Haskell|Haskell town
40|33000|Hastings|Hastings town
40|33150|Haworth|Haworth town
40|33300|Headrick|Headrick town
40|33350|Healdton|Healdton city
40|33400|Heavener|Heavener city
40|33450|Helena|Helena town
40|33600|Hendrix|Hendrix town
40|33700|Hennessey|Hennessey town
40|33750|Henryetta|Henryetta city
40|34150|Hickory|Hickory town
40|34650|Hillsdale|Hillsdale town
40|34750|Hinton|Hinton town
40|34850|Hitchcock|Hitchcock town
40|34900|Hitchita|Hitchita town
40|35000|Hobart|Hobart city
40|35300|Hoffman|Hoffman town
40|35400|Holdenville|Holdenville city
40|35500|Hollis|Hollis city
40|35550|Hollister|Hollister town
40|35850|Hominy|Hominy city
40|36000|Hooker|Hooker city
40|36020|Hoot Owl|Hoot Owl town
40|36090|Horntown|Horntown town
40|36150|Howe|Howe town
40|36300|Hugo|Hugo city
40|36400|Hulbert|Hulbert town
40|36600|Hunter|Hunter town
