STATEFP|DISTRICT|NAME|NAMELSAD
40|00013|Timberlake Public Schools|Timberlake Public Schools
40|00014|Burns Flat-Dill City Schools|Burns Flat-Dill City Schools
40|00015|Thomas-Fay-Custer Unified Schools|Thomas-Fay-Custer Unified Schools
40|00020|Frontier Public Schools|Frontier Public Schools
40|00021|Oklahoma Union Public Schools|Oklahoma Union Public Schools
40|00032|Hydro-Eakly Public Schools|Hydro-Eakly Public Schools
40|02370|Achille Public Schools|Achille Public Schools
40|02430|Ada Public Schools|Ada Public Schools
40|02460|Adair Public Schools|Adair Public Schools
40|02520|Afton Public Schools|Afton Public Schools
40|02550|Agra Public Schools|Agra Public Schools
40|02670|Alex Public Schools|Alex Public Schools
40|02720|Aline-Cleo Public Schools|Aline-Cleo Public Schools
40|02760|Allen Public Schools|Allen Public Schools
40|02850|Altus Public Schools|Altus Public Schools
40|02880|Alva Public Schools|Alva Public Schools
40|02910|Amber-Pocasset Public Schools|Amber-Pocasset Public Schools
40|03000|Anadarko Public Schools|Anadarko Public Schools
40|03060|Antlers Public Schools|Antlers Public Schools
40|03120|Arapaho Public Schools|Arapaho Public Schools
40|03180|Ardmore Public Schools|Ardmore Public Schools
40|03210|Arkoma Public Schools|Arkoma Public Schools
40|03240|Arnett Public Schools|Arnett Public Schools
40|03300|Asher Public Schools|Asher Public Schools
40|03360|Atoka Public Schools|Atoka Public Schools
40|03510|Balko Public Schools|Balko Public Schools
40|03570|Barnsdall Public Schools|Barnsdall Public Schools
40|03630|Bartlesville Public Schools|Bartlesville Public Schools
40|03660|Battiest Public Schools|Battiest Public Schools
40|03750|Beaver Public Schools|Beaver Public Schools
40|03810|Beggs Public Schools|Beggs Public Schools
40|03930|Bennington Public Schools|Bennington Public Schools
40|04020|Berryhill Public Schools|Berryhill Public Schools
40|04110|Bethany Public Schools|Bethany Public Schools
40|04230|Bethel Public Schools|Bethel Public Schools
40|04350|Big Pasture Public Schools|Big Pasture Public Schools
40|04360|Billings Public Schools|Billings Public Schools
40|04500|Bixby Public Schools|Bixby Public Schools
40|04630|Blackwell Public Schools|Blackwell Public Schools
40|04650|Blair Public Schools|Blair Public Schools
40|04680|Blanchard Public Schools|Blanchard Public Schools
40|04830|Bluejacket Public Schools|Bluejacket Public Schools
40|04860|Boise City Public Schools|Boise City Public Schools
40|04950|Bokoshe Public Schools|Bokoshe Public Schools
40|05000|Boley Public School|Boley Public School
40|05010|Boone-Apache Public Schools|Boone-Apache Public Schools
40|05040|Boswell Public Schools|Boswell Public Schools
40|05130|Bowlegs Public Schools|Bowlegs Public Schools
40|05190|Boynton Public Schools|Boynton Public Schools
40|05280|Braggs Public Schools|Braggs Public Schools
40|05310|Braman Public Schools|Braman Public Schools
40|05340|Bray-Doyle Public Schools|Bray-Doyle Public Schools
40|05400|Bridge Creek Public Schools|Bridge Creek Public Schools
40|05460|Bristow Public Schools|Bristow Public Schools
40|05490|Broken Arrow Public Schools|Broken Arrow Public Schools
40|05520|Broken Bow Public Schools|Broken Bow Public Schools
40|05760|Buffalo Public Schools|Buffalo Public Schools
40|05820|Buffalo Valley Public Schools|Buffalo Valley Public Schools
40|05910|Burlington Public Schools|Burlington Public Schools
40|06000|Butner Public Schools|Butner Public Schools
40|06060|Byng Public Schools|Byng Public Schools
40|06120|Cache Public Schools|Cache Public Schools
40|06150|Caddo Public Schools|Caddo Public Schools
40|06180|Calera Public Schools|Calera Public Schools
40|06240|Calumet Public Schools|Calumet Public Schools
40|06270|Calvin Public Schools|Calvin Public Schools
40|06330|Cameron Public Schools|Cameron Public Schools
40|06390|Canadian Public Schools|Canadian Public Schools
40|06420|Caney Public Schools|Caney Public Schools
40|06480|Canton Public Schools|Canton Public Schools
40|06510|Canute Public Schools|Canute Public Schools
40|06630|Carnegie Public Schools|Carnegie Public Schools
40|06690|Carney Public Schools|Carney Public Schools
40|06810|Cashion Public Schools|Cashion Public Schools
40|06850|Okemah Public Schools|Okemah Public Schools
40|06870|Catoosa Public Schools|Catoosa Public Schools
40|06930|Cave Springs Public Schools|Cave Springs Public Schools
40|06960|Cement Public Schools|Cement Public Schools
40|07140|Central Public Schools|Central Public Schools
40|07170|Central High Public Schools|Central High Public Schools
40|07290|Chandler Public Schools|Chandler Public Schools
40|07320|Chattanooga Public Schools|Chattanooga Public Schools
40|07350|Checotah Public Schools|Checotah Public Schools
40|07380|Chelsea Public Schools|Chelsea Public Schools
40|07410|Cherokee Public Schools|Cherokee Public Schools
40|07500|Cheyenne Public Schools|Cheyenne Public Schools
40|07560|Chickasha Public Schools|Chickasha Public Schools
40|07620|Choctaw/Nicoma Park Schools|Choctaw/Nicoma Park Schools
40|07670|Chouteau-Mazie Public Schools|Chouteau-Mazie Public Schools
40|07710|Cimarron Public Schools|Cimarron Public Schools
40|07740|Claremore Public Schools|Claremore Public Schools
40|07800|Clayton Public Schools|Clayton Public Schools
40|08040|Cleveland Public Schools|Cleveland Public Schools
