STATEFP|DISTRICT|NAME|NAMELSAD
40|001|1|State House District 1
40|002|2|State House District 2
40|003|3|State House District 3
40|004|4|State House District 4
40|005|5|State House District 5
40|006|6|State House District 6
40|007|7|State House District 7
40|008|8|State House District 8
40|009|9|State House District 9
40|010|10|State House District 10
40|011|11|State House District 11
40|012|12|State House District 12
40|013|13|State House District 13
40|014|14|State House District 14
40|015|15|State House District 15
40|016|16|State House District 16
40|017|17|State House District 17
40|018|18|State House District 18
40|019|19|State House District 19
40|020|20|State House District 20
40|021|21|State House District 21
40|022|22|State House District 22
40|023|23|State House District 23
40|024|24|State House District 24
40|025|25|State House District 25
40|026|26|State House District 26
40|027|27|State House District 27
40|028|28|State House District 28
40|029|29|State House District 29
40|030|30|State House District 30
40|031|31|State House District 31
40|032|32|State House District 32
40|033|33|State House District 33
40|034|34|State House District 34
40|035|35|State House District 35
40|036|36|State House District 36
40|037|37|State House District 37
40|038|38|State House District 38
40|039|39|State House District 39
40|040|40|State House District 40
40|041|41|State House District 41
40|042|42|State House District 42
40|043|43|State House District 43
40|044|44|State House District 44
40|045|45|State House District 45
40|046|46|State House District 46
40|047|47|State House District 47
40|048|48|State House District 48
40|049|49|State House District 49
40|050|50|State House District 50
40|051|51|State House District 51
40|052|52|State House District 52
40|053|53|State House District 53
40|054|54|State House District 54
40|055|55|State House District 55
40|056|56|State House District 56
40|057|57|State House District 57
40|058|58|State House District 58
40|059|59|State House District 59
40|060|60|State House District 60
40|061|61|State House District 61
40|062|62|State House District 62
40|063|63|State House District 63
40|064|64|State House District 64
40|065|65|State House District 65
40|066|66|State House District 66
40|067|67|State House District 67
40|068|68|State House District 68
40|069|69|State House District 69
40|070|70|State House District 70
40|071|71|State House District 71
40|072|72|State House District 72
40|073|73|State House District 73
40|074|74|State House District 74
40|075|75|State House District 75
40|076|76|State House District 76
40|077|77|State House District 77
40|078|78|State House District 78
40|079|79|State House District 79
40|080|80|State House District 80
40|081|81|State House District 81
40|082|82|State House District 82
40|083|83|State House District 83
40|084|84|State House District 84
40|085|85|State House District 85
40|086|86|State House District 86
40|087|87|State House District 87
40|088|88|State House District 88
40|089|89|State House District 89
40|090|90|State House District 90
40|091|91|State House District 91
40|092|92|State House District 92
40|093|93|State House District 93
40|094|94|State House District 94
40|095|95|State House District 95
40|096|96|State House District 96
40|097|97|State House District 97
40|098|98|State House District 98
40|099|99|State House District 99
40|100|100|State House District 100
40|101|101|State House District 101
