STATEFP|DISTRICT|NAME|NAMELSAD
41|001|1|State Senate District 1
41|002|2|State Senate District 2
41|003|3|State Senate District 3
41|004|4|State Senate District 4
41|005|5|State Senate District 5
41|006|6|State Senate District 6
41|007|7|State Senate District 7
41|008|8|State Senate District 8
41|009|9|State Senate District 9
41|010|10|State Senate District 10
41|011|11|State Senate District 11
41|012|12|State Senate District 12
41|013|13|State Senate District 13
41|014|14|State Senate District 14
41|015|15|State Senate District 15
41|016|16|State Senate District 16
41|017|17|State Senate District 17
41|018|18|State Senate District 18
41|019|19|State Senate District 19
41|020|20|State Senate District 20
41|021|21|State Senate District 21
41|022|22|State Senate District 22
41|023|23|State Senate District 23
41|024|24|State Senate District 24
41|025|25|State Senate District 25
41|026|26|State Senate District 26
41|027|27|State Senate District 27
41|028|28|State Senate District 28
41|029|29|State Senate District 29
41|030|30|State Senate District 30
