STATEFP|PLACEFP|NAME|NAMELSAD
42|00100|Aaronsburg|Aaronsburg CDP
42|00104|Aaronsburg|Aaronsburg CDP
42|00244|Ackermanville|Ackermanville CDP
42|00372|Adamsville|Adamsville CDP
42|00652|Albrightsville|Albrightsville CDP
42|00764|Alfarata|Alfarata CDP
42|00924|Alleghenyville|Alleghenyville CDP
42|00980|Allenport|Allenport CDP
42|01004|Allensville|Allensville CDP
42|02016|Allenwood|Allenwood CDP
42|02040|Allison|Allison CDP
42|02056|Allison Park|Allison Park CDP
42|02072|Allport|Allport CDP
42|02088|Almedia|Almedia CDP
42|02128|Alsace Manor|Alsace Manor CDP
42|02144|Altamont|Altamont CDP
42|02349|Amity Gardens|Amity Gardens CDP
42|02416|Ancient Oaks|Ancient Oaks CDP
42|02608|Annville|Annville CDP
42|02826|Arcadia University|Arcadia University CDP
42|02896|Ardmore|Ardmore CDP
42|02968|Aristes|Aristes CDP
42|03008|Arlington Heights|Arlington Heights CDP
42|03096|Arnold City|Arnold City CDP
42|03104|Arnot|Arnot CDP
42|03312|Aspers|Aspers CDP
42|03424|Atkinson Mills|Atkinson Mills CDP
42|03440|Atlantic|Atlantic CDP
42|03464|Atlas|Atlas CDP
42|03472|Atlasburg|Atlasburg CDP
42|03544|Audubon|Audubon CDP
42|03616|Avella|Avella CDP
42|03648|Avon|Avon CDP
42|03676|Avonia|Avonia CDP
42|03768|Baidland|Baidland CDP
42|03792|Baileyville|Baileyville CDP
42|03800|Bainbridge|Bainbridge CDP
42|03816|Bairdford|Bairdford CDP
42|03864|Bakerstown|Bakerstown CDP
42|04344|Barrville|Barrville CDP
42|04488|Baumstown|Baumstown CDP
42|04616|Bear Rocks|Bear Rocks CDP
42|04768|Beaverdale|Beaverdale CDP
42|04824|Beaver Springs|Beaver Springs CDP
42|05028|Beech Mountain Lakes|Beech Mountain Lakes CDP
42|05152|Belfast|Belfast CDP
42|05304|Belleville|Belleville CDP
42|05400|Belmont|Belmont CDP
42|05904|Berwyn|Berwyn CDP
42|06000|Bethel|Bethel CDP
42|06171|Beurys Lake|Beurys Lake CDP
42|06236|Big Bass Lake|Big Bass Lake CDP
42|06280|Bigler|Bigler CDP
42|06490|Birchwood Lakes|Birchwood Lakes CDP
42|06496|Bird-in-Hand|Bird-in-Hand CDP
42|06744|Black Lick|Black Lick CDP
42|06960|Blanchard|Blanchard CDP
42|06976|Blandburg|Blandburg CDP
42|06984|Blandon|Blandon CDP
42|07208|Blue Ball|Blue Ball CDP
42|07224|Blue Bell|Blue Bell CDP
42|07312|Blue Ridge Summit|Blue Ridge Summit CDP
42|07368|Boalsburg|Boalsburg CDP
42|07384|Bobtown|Bobtown CDP
42|07472|Boiling Springs|Boiling Springs CDP
42|07616|Boothwyn|Boothwyn CDP
42|07688|Boston|Boston CDP
42|07800|Bowers|Bowers CDP
42|07896|Bowmansville|Bowmansville CDP
42|08024|Bradenville|Bradenville CDP
42|08208|Branchdale|Branchdale CDP
42|08240|Brandonville|Brandonville CDP
42|08312|Brave|Brave CDP
42|08392|Breinigsville|Breinigsville CDP
42|08432|Bressler|Bressler CDP
42|08504|Brickerville|Brickerville CDP
42|08819|Brittany Farms-The Highlands|Brittany Farms-The Highlands CDP
42|09000|Brodheadsville|Brodheadsville CDP
42|09248|Broomall|Broomall CDP
42|09416|Brownstown|Brownstown CDP
42|09496|Browntown|Browntown CDP
42|09728|Bryn Mawr|Bryn Mawr CDP
42|09792|Buckhorn|Buckhorn CDP
42|09896|Buck Run|Buck Run CDP
42|10096|Buffington|Buffington CDP
42|10128|Bulger|Bulger CDP
42|10600|Byrnedale|Byrnedale CDP
42|10720|Cairnbrook|Cairnbrook CDP
42|10816|Caln|Caln CDP
42|10832|Calumet|Calumet CDP
42|10960|Campbelltown|Campbelltown CDP
42|11072|Canadohta Lake|Canadohta Lake CDP
42|11348|Carnot-Moon|Carnot-Moon CDP
42|11576|Cashtown|Cashtown CDP
42|11648|Castanea|Castanea CDP
42|11804|Cecil-Bishop|Cecil-Bishop CDP
42|11836|Cedar Crest|Cedar Crest CDP
42|11976|Cementon|Cementon CDP
42|12396|Cetronia|Cetronia CDP
42|12512|Chalkhill|Chalkhill CDP
42|12864|Chase|Chase CDP
42|13168|Cherryville|Cherryville CDP
42|13216|Chesterbrook|Chesterbrook CDP
42|13400|Chevy Chase Heights|Chevy Chase Heights CDP
