STATEFP|DISTRICT|NAME|NAMELSAD
42|001|1|State House District 1
42|002|2|State House District 2
42|003|3|State House District 3
42|004|4|State House District 4
42|005|5|State House District 5
42|006|6|State House District 6
42|007|7|State House District 7
42|008|8|State House District 8
42|009|9|State House District 9
42|010|10|State House District 10
42|011|11|State House District 11
42|012|12|State House District 12
42|013|13|State House District 13
42|014|14|State House District 14
42|015|15|State House District 15
42|016|16|State House District 16
42|017|17|State House District 17
42|018|18|State House District 18
42|019|19|State House District 19
42|020|20|State House District 20
42|021|21|State House District 21
42|022|22|State House District 22
42|023|23|State House District 23
42|024|24|State House District 24
42|025|25|State House District 25
42|026|26|State House District 26
42|027|27|State House District 27
42|028|28|State House District 28
42|029|29|State House District 29
42|030|30|State House District 30
42|031|31|State House District 31
42|032|32|State House District 32
42|033|33|State House District 33
42|034|34|State House District 34
42|035|35|State House District 35
42|036|36|State House District 36
42|037|37|State House District 37
42|038|38|State House District 38
42|039|39|State House District 39
42|040|40|State House District 40
42|041|41|State House District 41
42|042|42|State House District 42
42|043|43|State House District 43
42|044|44|State House District 44
42|045|45|State House District 45
42|046|46|State House District 46
42|047|47|State House District 47
42|048|48|State House District 48
42|049|49|State House District 49
42|050|50|State House District 50
42|051|51|State House District 51
42|052|52|State House District 52
42|053|53|State House District 53
42|054|54|State House District 54
42|055|55|State House District 55
42|056|56|State House District 56
42|057|57|State House District 57
42|058|58|State House District 58
42|059|59|State House District 59
42|060|60|State House District 60
42|061|61|State House District 61
42|062|62|State House District 62
42|063|63|State House District 63
42|064|64|State House District 64
42|065|65|State House District 65
42|066|66|State House District 66
42|067|67|State House District 67
42|068|68|State House District 68
42|069|69|State House District 69
42|070|70|State House District 70
42|071|71|State House District 71
42|072|72|State House District 72
42|073|73|State House District 73
42|074|74|State House District 74
42|075|75|State House District 75
42|076|76|State House District 76
42|077|77|State House District 77
42|078|78|State House District 78
42|079|79|State House District 79
42|080|80|State House District 80
42|081|81|State House District 81
42|082|82|State House District 82
42|083|83|State House District 83
42|084|84|State House District 84
42|085|85|State House District 85
42|086|86|State House District 86
42|087|87|State House District 87
42|088|88|State House District 88
42|089|89|State House District 89
42|090|90|State House District 90
42|091|91|State House District 91
42|092|92|State House District 92
42|093|93|State House District 93
42|094|94|State House District 94
42|095|95|State House District 95
42|096|96|State House District 96
42|097|97|State House District 97
42|098|98|State House District 98
42|099|99|State House District 99
42|100|100|State House District 100
42|101|101|State House District 101
42|102|102|State House District 102
42|103|103|State House District 103
42|104|104|State House District 104
42|105|105|State House District 105
42|106|106|State House District 106
42|107|107|State House District 107
42|108|108|State House District 108
42|109|109|State House District 109
42|110|110|State House District 110
42|111|111|State House District 111
42|112|112|State House District 112
42|113|113|State House District 113
42|114|114|State House District 114
42|115|115|State House District 115
42|116|116|State House District 116
42|117|117|State House District 117
42|118|118|State House District 118
42|119|119|State House District 119
42|120|120|State House District 120
42|121|121|State House District 121
42|122|122|State House District 122
42|123|123|State House District 123
42|124|124|State House District 124
42|125|125|State House District 125
42|126|126|State House District 126
42|127|127|State House District 127
42|128|128|State House District 128
42|129|129|State House District 129
42|130|130|State House District 130
42|131|131|State House District 131
42|132|132|State House District 132
42|133|133|State House District 133
42|134|134|State House District 134
42|135|135|State House District 135
42|136|136|State House District 136
42|137|137|State House District 137
42|138|138|State House District 138
42|139|139|State House District 139
42|140|140|State House District 140
42|141|141|State House District 141
42|142|142|State House District 142
42|143|143|State House District 143
42|144|144|State House District 144
42|145|145|State House District 145
42|146|146|State House District 146
42|147|147|State House District 147
42|148|148|State House District 148
42|149|149|State House District 149
42|150|150|State House District 150
42|151|151|State House District 151
42|152|152|State House District 152
42|153|153|State House District 153
42|154|154|State House District 154
42|155|155|State House District 155
42|156|156|State House District 156
42|157|157|State House District 157
42|158|158|State House District 158
42|159|159|State House District 159
42|160|160|State House District 160
42|161|161|State House District 161
42|162|162|State House District 162
42|163|163|State House District 163
42|164|164|State House District 164
42|165|165|State House District 165
42|166|166|State House District 166
42|167|167|State House District 167
42|168|168|State House District 168
42|169|169|State House District 169
42|170|170|State House District 170
42|171|171|State House District 171
42|172|172|State House District 172
42|173|173|State House District 173
42|174|174|State House District 174
42|175|175|State House District 175
42|176|176|State House District 176
42|177|177|State House District 177
42|178|178|State House District 178
42|179|179|State House District 179
42|180|180|State House District 180
42|181|181|State House District 181
42|182|182|State House District 182
42|183|183|State House District 183
42|184|184|State House District 184
42|185|185|State House District 185
42|186|186|State House District 186
42|187|187|State House District 187
42|188|188|State House District 188
42|189|189|State House District 189
42|190|190|State House District 190
42|191|191|State House District 191
42|192|192|State House District 192
42|193|193|State House District 193
42|194|194|State House District 194
42|195|195|State House District 195
42|196|196|State House District 196
42|197|197|State House District 197
42|198|198|State House District 198
42|199|199|State House District 199
42|200|200|State House District 200
42|201|201|State House District 201
42|202|202|State House District 202
42|203|203|State House District 203
