STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
42|001|10|ABBOTTSTOWN|ABBOTTSTOWN Voting District
42|001|100|CONEWAGO TWP VTD 02|CONEWAGO TWP VTD 02
42|001|110|CUMBERLAND TWP VTD 01|CUMBERLAND TWP VTD 01
42|001|120|CUMBERLAND TWP VTD 02|CUMBERLAND TWP VTD 02
42|001|130|CUMBERLAND TWP VTD 03|CUMBERLAND TWP VTD 03
42|001|140|CUMBERLAND TWP VTD 04|CUMBERLAND TWP VTD 04
42|001|150|EAST BERLIN|EAST BERLIN Voting District
42|001|160|FAIRFIELD|FAIRFIELD Voting District
42|001|170|FRANKLIN TWP VTD 01|FRANKLIN TWP VTD 01
42|001|180|FRANKLIN TWP VTD 02|FRANKLIN TWP VTD 02
42|001|190|FREEDOM TWP|FREEDOM TWP Voting District
42|001|20|ARENDTSVILLE|ARENDTSVILLE Voting District
42|001|200|GERMANY TWP|GERMANY TWP Voting District
42|001|220|GETTYSBURG WD 01 PCT 02|GETTYSBURG WD 01 PCT 02
42|001|230|GETTYSBURG WD 02|GETTYSBURG WD 02
42|001|240|GETTYSBURG WD 03 PCT 01|GETTYSBURG WD 03 PCT 01
42|001|260|HAMILTON TWP|HAMILTON TWP Voting District
42|001|270|HAMILTONBAN TWP|HAMILTONBAN TWP Voting District
42|001|280|HIGHLAND TWP|HIGHLAND TWP Voting District
42|001|290|HUNTINGTON TWP VTD 01|HUNTINGTON TWP VTD 01
42|001|30|BENDERSVILLE|BENDERSVILLE Voting District
42|001|310|LATIMORE TWP|LATIMORE TWP Voting District
42|001|320|LIBERTY TWP|LIBERTY TWP Voting District
42|001|330|LITTLESTOWN WD 01|LITTLESTOWN WD 01
42|001|340|LITTLESTOWN WD 02|LITTLESTOWN WD 02
42|001|350|MC SHERRYSTOWN VTD 01|MC SHERRYSTOWN VTD 01
42|001|360|MC SHERRYSTOWN VTD 02|MC SHERRYSTOWN VTD 02
42|001|370|MENALLEN TWP|MENALLEN TWP Voting District
42|001|380|MT. JOY TWP VTD 01|MT. JOY TWP VTD 01
42|001|385|MT. JOY TWP VTD 02|MT. JOY TWP VTD 02
42|001|390|MT. PLEASANT TWP VTD 01|MT. PLEASANT TWP VTD 01
42|001|40|BERWICK TWP|BERWICK TWP Voting District
42|001|400|MT. PLEASANT TWP VTD 02|MT. PLEASANT TWP VTD 02
42|001|410|NEW OXFORD|NEW OXFORD Voting District
42|001|425|OXFORD TWP DIST 01|OXFORD TWP DIST 01
42|001|427|OXFORD TWP DIST 02|OXFORD TWP DIST 02
42|001|430|READING TWP VTD 01|READING TWP VTD 01
42|001|435|READING TWP VTD 02|READING TWP VTD 02
42|001|440|STRABAN TWP VTD 01|STRABAN TWP VTD 01
42|001|450|STRABAN TWP VTD 02|STRABAN TWP VTD 02
42|001|460|TYRONE TWP|TYRONE TWP Voting District
42|001|480|UNION TWP|UNION TWP Voting District
42|001|490|YORK SPRINGS|YORK SPRINGS Voting District
42|001|50|BIGLERVILLE|BIGLERVILLE Voting District
42|001|60|BONNEAUVILLE|BONNEAUVILLE Voting District
42|001|70|BUTLER TWP|BUTLER TWP Voting District
42|001|80|CARROLL VALLEY|CARROLL VALLEY Voting District
42|001|80A|Carroll Valley Borough|Carroll Valley Borough Voting District
42|001|90|CONEWAGO TWP VTD 01|CONEWAGO TWP VTD 01
42|003|10|ALEPPO TWP|ALEPPO TWP Voting District
42|003|1000|CARNEGIE WD 02 DIST 04|CARNEGIE WD 02 DIST 04
42|003|101|AVALON WD 03 DIST 01|AVALON WD 03 DIST 01
42|003|1011|CASTLE SHANNON DIST 01|CASTLE SHANNON DIST 01
42|003|1021|CASTLE SHANNON DIST 02|CASTLE SHANNON DIST 02
42|003|1031|CASTLE SHANNON DIST 03|CASTLE SHANNON DIST 03
42|003|1041|CASTLE SHANNON DIST 04|CASTLE SHANNON DIST 04
42|003|1051|CASTLE SHANNON DIST 05|CASTLE SHANNON DIST 05
42|003|1061|CASTLE SHANNON DIST 06|CASTLE SHANNON DIST 06
42|003|1068|CASTLE SHANNON DIST 07|CASTLE SHANNON DIST 07
42|003|1073|CASTLE SHANNON DIST 08|CASTLE SHANNON DIST 08
42|003|1080|CHALFANT|CHALFANT Voting District
42|003|1091|CHESWICK DIST 01|CHESWICK DIST 01
42|003|1101|CHESWICK DIST 02|CHESWICK DIST 02
42|003|111|AVALON WD 03 DIST 02|AVALON WD 03 DIST 02
42|003|1110|CHURCHILL DIST 01|CHURCHILL DIST 01
42|003|1120|CHURCHILL DIST 02|CHURCHILL DIST 02
42|003|1130|CHURCHILL DIST 03|CHURCHILL DIST 03
42|003|1140|CHURCHILL DIST 04|CHURCHILL DIST 04
42|003|1150|CLAIRTON WD 01 DIST 01|CLAIRTON WD 01 DIST 01
42|003|1160|CLAIRTON WD 01 DIST 02|CLAIRTON WD 01 DIST 02
42|003|1170|CLAIRTON WD 01 DIST 03|CLAIRTON WD 01 DIST 03
42|003|1180|CLAIRTON WD 02 DIST 01|CLAIRTON WD 02 DIST 01
42|003|1187|PINE TWP DIST 04|PINE TWP DIST 04
42|003|1188|PINE TWP DIST 07|PINE TWP DIST 07
42|003|1189|PINE TWP DIST 05|PINE TWP DIST 05
42|003|1190|CLAIRTON WD 02 DIST 02|CLAIRTON WD 02 DIST 02
42|003|1191|PINE TWP DIST 08|PINE TWP DIST 08
42|003|1200|CLAIRTON WD 02 DIST 03|CLAIRTON WD 02 DIST 03
42|003|121|AVALON WD 03 DIST 03|AVALON WD 03 DIST 03
42|003|1210|CLAIRTON WD 03 DIST 01|CLAIRTON WD 03 DIST 01
42|003|1220|CLAIRTON WD 03 DIST 02|CLAIRTON WD 03 DIST 02
42|003|1230|CLAIRTON WD 03 DIST 03|CLAIRTON WD 03 DIST 03
42|003|1240|CLAIRTON WD 04 DIST 01|CLAIRTON WD 04 DIST 01
42|003|1250|CLAIRTON WD 04 DIST 02|CLAIRTON WD 04 DIST 02
42|003|1260|CLAIRTON WD 04 DIST 03|CLAIRTON WD 04 DIST 03
42|003|1281|COLLIER TWP WD 01|COLLIER TWP WD 01
42|003|1290|COLLIER TWP WD 02|COLLIER TWP WD 02
42|003|130|BALDWIN TWP DIST 01|BALDWIN TWP DIST 01
42|003|1300|COLLIER TWP WD 03|COLLIER TWP WD 03
42|003|1320|COLLIER TWP WD 04|COLLIER TWP WD 04
42|003|1331|CORAOPOLIS WD 01 DIST 01|CORAOPOLIS WD 01 DIST 01
42|003|1341|CORAOPOLIS WD 01 DIST 02|CORAOPOLIS WD 01 DIST 02
42|003|1351|CORAOPOLIS WD 02 DIST 01|CORAOPOLIS WD 02 DIST 01
42|003|1371|CORAOPOLIS WD 03 DIST 01|CORAOPOLIS WD 03 DIST 01
42|003|1381|CORAOPOLIS WD 03 DIST 02|CORAOPOLIS WD 03 DIST 02
42|003|1390|CORAOPOLIS WD 04 DIST 01|CORAOPOLIS WD 04 DIST 01
42|003|140|BALDWIN TWP DIST 02|BALDWIN TWP DIST 02
42|003|1400|CORAOPOLIS WD 04 DIST 02|CORAOPOLIS WD 04 DIST 02
42|003|1411|CRAFTON WD 01 DIST 01|CRAFTON WD 01 DIST 01
42|003|1420|CRAFTON WD 01 DIST 02|CRAFTON WD 01 DIST 02
42|003|1440|CRAFTON WD 02 DIST 01|CRAFTON WD 02 DIST 01
42|003|1451|CRAFTON WD 02 DIST 02|CRAFTON WD 02 DIST 02
42|003|1471|CRAFTON WD 03 DIST 01|CRAFTON WD 03 DIST 01
42|003|1490|CRAFTON WD 03 DIST 02|CRAFTON WD 03 DIST 02
42|003|1500|CRESCENT TWP WD 01|CRESCENT TWP WD 01
42|003|151|BALDWIN DIST 01|BALDWIN DIST 01
42|003|1510|CRESCENT TWP WD 02|CRESCENT TWP WD 02
42|003|1520|DORMONT DIST 01|DORMONT DIST 01
42|003|1541|DORMONT DIST 03|DORMONT DIST 03
42|003|1550|DORMONT DIST 04|DORMONT DIST 04
42|003|1561|DORMONT DIST 05|DORMONT DIST 05
42|003|1570|DORMONT DIST 06|DORMONT DIST 06
42|003|1580|DORMONT DIST 07|DORMONT DIST 07
42|003|1590|DORMONT DIST 08|DORMONT DIST 08
42|003|1600|DORMONT DIST 09|DORMONT DIST 09
42|003|161|BALDWIN DIST 02|BALDWIN DIST 02
42|003|1610|DORMONT DIST 10|DORMONT DIST 10
42|003|1630|DORMONT DIST 02|DORMONT DIST 02
42|003|1641|DRAVOSBURG DIST 01|DRAVOSBURG DIST 01
42|003|1660|DRAVOSBURG DIST 03|DRAVOSBURG DIST 03
42|003|1670|DRAVOSBURG DIST 02|DRAVOSBURG DIST 02
42|003|1680|DUQUESNE WD 01 DIST 01|DUQUESNE WD 01 DIST 01
42|003|1690|DUQUESNE WD 01 DIST 02|DUQUESNE WD 01 DIST 02
42|003|1700|DUQUESNE WD 01 DIST 03|DUQUESNE WD 01 DIST 03
42|003|171|BALDWIN DIST 03|BALDWIN DIST 03
42|003|1710|DUQUESNE WD 01 DIST 04|DUQUESNE WD 01 DIST 04
42|003|1730|DUQUESNE WD 02 DIST 01|DUQUESNE WD 02 DIST 01
42|003|1740|DUQUESNE WD 02 DIST 02|DUQUESNE WD 02 DIST 02
42|003|1750|DUQUESNE WD 02 DIST 03|DUQUESNE WD 02 DIST 03
42|003|1770|DUQUESNE WD 03 DIST 01|DUQUESNE WD 03 DIST 01
42|003|1780|DUQUESNE WD 03 DIST 02|DUQUESNE WD 03 DIST 02
42|003|1790|DUQUESNE WD 03 DIST 03|DUQUESNE WD 03 DIST 03
42|003|181|BALDWIN DIST 04|BALDWIN DIST 04
42|003|1811|EAST DEER TWP WD 01|EAST DEER TWP WD 01
42|003|1831|EAST DEER TWP WD 02|EAST DEER TWP WD 02
42|003|1850|EAST MCKEESPORT DIST 01|EAST MCKEESPORT DIST 01
42|003|1860|EAST MCKEESPORT DIST 02|EAST MCKEESPORT DIST 02
42|003|1870|EAST MCKEESPORT DIST 03|EAST MCKEESPORT DIST 03
42|003|1880|EAST PITTSBURGH WD 01|EAST PITTSBURGH WD 01
42|003|1890|EAST PITTSBURGH WD 02|EAST PITTSBURGH WD 02
42|003|1901|EAST PITTSBURGH WD 03|EAST PITTSBURGH WD 03
42|003|191|BALDWIN DIST 05|BALDWIN DIST 05
42|003|1921|EDGEWOOD DIST 01|EDGEWOOD DIST 01
42|003|1931|EDGEWOOD DIST 02|EDGEWOOD DIST 02
42|003|1941|EDGEWOOD DIST 03|EDGEWOOD DIST 03
42|003|1960|EDGEWORTH DIST 01|EDGEWORTH DIST 01
42|003|1970|EDGEWORTH DIST 02|EDGEWORTH DIST 02
42|003|1980|ELIZABETH TWP WD 01 DIST 01|ELIZABETH TWP WD 01 DIST 01
42|003|1981|ELIZABETH TWP WD 01 DIST 02|ELIZABETH TWP WD 01 DIST 02
42|003|1990|ELIZABETH TWP WD 02|ELIZABETH TWP WD 02
42|003|2001|ELIZABETH TWP WD 03 DIST 02|ELIZABETH TWP WD 03 DIST 02
42|003|201|BALDWIN DIST 06|BALDWIN DIST 06
42|003|2010|ELIZABETH TWP WD 04 DIST 01|ELIZABETH TWP WD 04 DIST 01
42|003|2011|ELIZABETH TWP WD 04 DIST 02|ELIZABETH TWP WD 04 DIST 02
42|003|2020|ELIZABETH TWP WD 05|ELIZABETH TWP WD 05
42|003|2030|ELIZABETH TWP WD 06|ELIZABETH TWP WD 06
42|003|2040|ELIZABETH TWP WD 07|ELIZABETH TWP WD 07
42|003|2050|ELIZABETH TWP WD 08 DIST 01|ELIZABETH TWP WD 08 DIST 01
42|003|2051|ELIZABETH TWP WD 08 DIST 02|ELIZABETH TWP WD 08 DIST 02
42|003|2060|ELIZABETH TWP WD 09|ELIZABETH TWP WD 09
42|003|2071|ELIZABETH|ELIZABETH Voting District
42|003|2090|EMSWORTH DIST 01|EMSWORTH DIST 01
42|003|2091|MARSHALL TWP DIST 04|MARSHALL TWP DIST 04
42|003|21|ASPINWALL DIST 01|ASPINWALL DIST 01
42|003|2100|EMSWORTH DIST 02|EMSWORTH DIST 02
42|003|211|BALDWIN DIST 07|BALDWIN DIST 07
42|003|2111|ETNA WD 01|ETNA WD 01
42|003|2131|ETNA WD 02|ETNA WD 02
42|003|2150|ETNA WD 03|ETNA WD 03
42|003|2160|FAWN TWP VTD 01|FAWN TWP VTD 01
42|003|2170|FAWN TWP VTD 02|FAWN TWP VTD 02
42|003|2180|FINDLAY TWP DIST 01|FINDLAY TWP DIST 01
42|003|2190|FINDLAY TWP DIST 02|FINDLAY TWP DIST 02
42|003|2200|FINDLAY TWP DIST 03|FINDLAY TWP DIST 03
42|003|221|BALDWIN DIST 08|BALDWIN DIST 08
42|003|2211|FOREST HILLS DIST 01|FOREST HILLS DIST 01
42|003|2221|FOREST HILLS DIST 02|FOREST HILLS DIST 02
42|003|2231|FOREST HILLS DIST 03|FOREST HILLS DIST 03
42|003|2240|FOREST HILLS DIST 04|FOREST HILLS DIST 04
42|003|225|BALDWIN DIST 10|BALDWIN DIST 10
42|003|2251|FOREST HILLS DIST 05|FOREST HILLS DIST 05
42|003|2261|FOREST HILLS DIST 06|FOREST HILLS DIST 06
42|003|2268|FOREST HILLS DIST 07|FOREST HILLS DIST 07
42|003|2274|FOREST HILLS DIST 08|FOREST HILLS DIST 08
42|003|2280|FORWARD TWP DIST 01|FORWARD TWP DIST 01
42|003|2291|FORWARD TWP DIST 02|FORWARD TWP DIST 02
42|003|2300|FORWARD TWP DIST 03|FORWARD TWP DIST 03
42|003|2305|FORWARD TWP DIST 04|FORWARD TWP DIST 04
42|003|231|BALDWIN DIST 09|BALDWIN DIST 09
42|003|2310|FOX CHAPEL DIST 01|FOX CHAPEL DIST 01
42|003|2321|FOX CHAPEL DIST 02|FOX CHAPEL DIST 02
42|003|2331|FOX CHAPEL DIST 03|FOX CHAPEL DIST 03
42|003|2338|FOX CHAPEL DIST 04|FOX CHAPEL DIST 04
42|003|2344|FOX CHAPEL DIST 05|FOX CHAPEL DIST 05
42|003|235|BALDWIN DIST 11|BALDWIN DIST 11
42|003|2350|FRANKLIN PARK WD 01 DIST 01|FRANKLIN PARK WD 01 DIST 01
42|003|2351|FRANKLIN PARK WD 01 DIST 02|FRANKLIN PARK WD 01 DIST 02
42|003|2352|FRANKLIN PARK WD 01 DIST 03|FRANKLIN PARK WD 01 DIST 03
42|003|2360|FRANKLIN PARK WD 02 DIST 01|FRANKLIN PARK WD 02 DIST 01
42|003|2361|FRANKLIN PARK WD 02 DIST 02|FRANKLIN PARK WD 02 DIST 02
42|003|2370|FRANKLIN PARK WD 03 DIST 01|FRANKLIN PARK WD 03 DIST 01
42|003|2371|FRANKLIN PARK WD 03 DIST 02|FRANKLIN PARK WD 03 DIST 02
42|003|2372|FRANKLIN PARK WD 03 DIST 03|FRANKLIN PARK WD 03 DIST 03
42|003|2381|FRAZER TWP DIST 01|FRAZER TWP DIST 01
42|003|2400|GLASSPORT DIST 01|GLASSPORT DIST 01
42|003|2411|GLASSPORT DIST 02|GLASSPORT DIST 02
42|003|2421|GLASSPORT DIST 03|GLASSPORT DIST 03
42|003|2430|GLASSPORT DIST 04|GLASSPORT DIST 04
42|003|2440|GLASSPORT DIST 05|GLASSPORT DIST 05
42|003|2470|GLASSPORT DIST 06|GLASSPORT DIST 06
42|003|2480|GLENFIELD|GLENFIELD Voting District
42|003|2491|GREEN TREE DIST 01|GREEN TREE DIST 01
42|003|2501|GREEN TREE DIST 02|GREEN TREE DIST 02
42|003|2510|GREEN TREE DIST 03|GREEN TREE DIST 03
42|003|2521|GREEN TREE DIST 04|GREEN TREE DIST 04
42|003|2541|HAMPTON TWP DIST 01|HAMPTON TWP DIST 01
42|003|2550|HAMPTON TWP DIST 02|HAMPTON TWP DIST 02
42|003|2560|HAMPTON TWP DIST 03|HAMPTON TWP DIST 03
42|003|2571|HAMPTON TWP DIST 04|HAMPTON TWP DIST 04
42|003|2576|HAMPTON TWP DIST 05|HAMPTON TWP DIST 05
42|003|2581|HAMPTON TWP DIST 06|HAMPTON TWP DIST 06
42|003|2586|HAMPTON TWP DIST 07|HAMPTON TWP DIST 07
42|003|2591|HAMPTON TWP DIST 08|HAMPTON TWP DIST 08
42|003|261|BALDWIN DIST 12|BALDWIN DIST 12
42|003|2620|HAMPTON TWP DIST 09|HAMPTON TWP DIST 09
42|003|2625|HARRISON TWP WD 01 DIST 03|HARRISON TWP WD 01 DIST 03
42|003|2630|HAMPTON TWP DIST 10|HAMPTON TWP DIST 10
42|003|2631|HAMPTON TWP DIST 12|HAMPTON TWP DIST 12
42|003|2640|HAMPTON TWP DIST 11|HAMPTON TWP DIST 11
42|003|2641|HAMPTON TWP DIST 13|HAMPTON TWP DIST 13
42|003|2650|HARMAR TWP DIST 01|HARMAR TWP DIST 01
42|003|2660|HARMAR TWP DIST 02|HARMAR TWP DIST 02
42|003|2670|HARMAR TWP DIST 03|HARMAR TWP DIST 03
42|003|2680|HARRISON TWP WD 01 DIST 01|HARRISON TWP WD 01 DIST 01
42|003|2690|HARRISON TWP WD 01 DIST 02|HARRISON TWP WD 01 DIST 02
42|003|2700|HARRISON TWP WD 02 DIST 01|HARRISON TWP WD 02 DIST 01
42|003|271|BALDWIN DIST 13|BALDWIN DIST 13
42|003|2710|HARRISON TWP WD 02 DIST 02|HARRISON TWP WD 02 DIST 02
42|003|2730|HARRISON TWP WD 03 DIST 01|HARRISON TWP WD 03 DIST 01
42|003|2740|HARRISON TWP WD 03 DIST 02|HARRISON TWP WD 03 DIST 02
42|003|2750|HARRISON TWP WD 04 DIST 01|HARRISON TWP WD 04 DIST 01
42|003|2760|HARRISON TWP WD 04 DIST 02|HARRISON TWP WD 04 DIST 02
42|003|2770|HARRISON TWP WD 05 DIST 01|HARRISON TWP WD 05 DIST 01
42|003|2780|HARRISON TWP WD 05 DIST 02|HARRISON TWP WD 05 DIST 02
42|003|2790|HAYSVILLE|HAYSVILLE Voting District
42|003|2801|HEIDELBERG DIST 01|HEIDELBERG DIST 01
42|003|281|BALDWIN DIST 14|BALDWIN DIST 14
42|003|2821|HOMESTEAD WD 01 DIST 01|HOMESTEAD WD 01 DIST 01
42|003|2830|HOMESTEAD WD 01 DIST 02|HOMESTEAD WD 01 DIST 02
42|003|2851|HOMESTEAD WD 02 DIST 01|HOMESTEAD WD 02 DIST 01
42|003|2870|HOMESTEAD WD 02 DIST 02|HOMESTEAD WD 02 DIST 02
42|003|2881|HOMESTEAD WD 03 DIST 01|HOMESTEAD WD 03 DIST 01
42|003|2900|HOMESTEAD WD 03 DIST 02|HOMESTEAD WD 03 DIST 02
42|003|291|BALDWIN DIST 15|BALDWIN DIST 15
42|003|2910|INDIANA TWP DIST 01|INDIANA TWP DIST 01
42|003|2920|INDIANA TWP DIST 02|INDIANA TWP DIST 02
42|003|2930|INDIANA TWP DIST 03|INDIANA TWP DIST 03
42|003|2940|INDIANA TWP DIST 04|INDIANA TWP DIST 04
42|003|295|BALDWIN DIST 16|BALDWIN DIST 16
42|003|2950|INDIANA TWP DIST 05|INDIANA TWP DIST 05
42|003|2961|INGRAM DIST 01|INGRAM DIST 01
42|003|2971|INGRAM DIST 02|INGRAM DIST 02
42|003|2981|INGRAM DIST 03|INGRAM DIST 03
42|003|3000|JEFFERSON HILLS DIST 01|JEFFERSON HILLS DIST 01
42|003|301|BALDWIN DIST 17|BALDWIN DIST 17
