STATEFP|DISTRICT|NAME|NAMELSAD
44|001|1|State Senate District 1
44|002|2|State Senate District 2
44|003|3|State Senate District 3
44|004|4|State Senate District 4
44|005|5|State Senate District 5
44|006|6|State Senate District 6
44|007|7|State Senate District 7
44|008|8|State Senate District 8
44|009|9|State Senate District 9
44|010|10|State Senate District 10
44|011|11|State Senate District 11
44|012|12|State Senate District 12
44|013|13|State Senate District 13
44|014|14|State Senate District 14
44|015|15|State Senate District 15
44|016|16|State Senate District 16
44|017|17|State Senate District 17
44|018|18|State Senate District 18
44|019|19|State Senate District 19
44|020|20|State Senate District 20
44|021|21|State Senate District 21
44|022|22|State Senate District 22
44|023|23|State Senate District 23
44|024|24|State Senate District 24
44|025|25|State Senate District 25
44|026|26|State Senate District 26
44|027|27|State Senate District 27
44|028|28|State Senate District 28
44|029|29|State Senate District 29
44|030|30|State Senate District 30
44|031|31|State Senate District 31
44|032|32|State Senate District 32
44|033|33|State Senate District 33
44|034|34|State Senate District 34
44|035|35|State Senate District 35
44|036|36|State Senate District 36
44|037|37|State Senate District 37
44|038|38|State Senate District 38
