STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
45|001|001|Abbeville No. 1|Abbeville No. 1 Voting District
45|001|002|Abbeville No. 2|Abbeville No. 2 Voting District
45|001|003|Abbeville No. 3|Abbeville No. 3 Voting District
45|001|004|Abbeville No. 4|Abbeville No. 4 Voting District
45|001|005|Antreville|Antreville Voting District
45|001|006|Broadmouth|Broadmouth Voting District
45|001|007|Calhoun Falls|Calhoun Falls Voting District
45|001|008|Cold Springs|Cold Springs Voting District
45|001|009|Donalds|Donalds Voting District
45|001|010|Due West|Due West Voting District
45|001|011|Hall's Store|Hall's Store Voting District
45|001|012|Keowee|Keowee Voting District
45|001|013|Lowndesville|Lowndesville Voting District
45|001|014|Lebanon|Lebanon Voting District
45|003|001|Aiken #1|Aiken #1 Voting District
45|003|002|Aiken #2|Aiken #2 Voting District
45|003|003|Aiken #3|Aiken #3 Voting District
45|003|004|Aiken #4|Aiken #4 Voting District
45|003|005|Aiken #5|Aiken #5 Voting District
45|003|006|Aiken #6|Aiken #6 Voting District
45|003|007|Bath|Bath Voting District
45|003|008|Beech Island|Beech Island Voting District
45|003|009|Belvedere #9|Belvedere #9 Voting District
45|003|010|Carolina Heights|Carolina Heights Voting District
45|003|011|China Springs|China Springs Voting District
45|003|012|Clearwater|Clearwater Voting District
45|003|013|College Acres|College Acres Voting District
45|003|014|Eureka|Eureka Voting District
45|003|015|Gloverville|Gloverville Voting District
45|003|016|Graniteville|Graniteville Voting District
45|003|017|Jackson|Jackson Voting District
45|003|018|Langley|Langley Voting District
45|003|019|Lynwood|Lynwood Voting District
45|003|020|Millbrook|Millbrook Voting District
45|003|021|Monetta|Monetta Voting District
45|003|022|Montmorenci|Montmorenci Voting District
45|003|023|New Ellenton|New Ellenton Voting District
45|003|024|New Holland|New Holland Voting District
45|003|025|North Augusta #25|North Augusta #25 Voting District
45|003|026|North Augusta #26|North Augusta #26 Voting District
45|003|027|North Augusta #27|North Augusta #27 Voting District
45|003|028|North Augusta #28|North Augusta #28 Voting District
45|003|029|North Augusta #29|North Augusta #29 Voting District
45|003|030|Oak Grove|Oak Grove Voting District
45|003|031|Perry|Perry Voting District
45|003|032|Salley|Salley Voting District
45|003|033|Shaws Fork|Shaws Fork Voting District
45|003|034|Shiloh|Shiloh Voting District
45|003|035|Six Points #35|Six Points #35 Voting District
45|003|036|Tabernacle|Tabernacle Voting District
45|003|037|Talatha|Talatha Voting District
45|003|038|Vaucluse|Vaucluse Voting District
45|003|039|Wagner|Wagner Voting District
45|003|040|Ward|Ward Voting District
45|003|041|Warrenville|Warrenville Voting District
45|003|042|White Pond|White Pond Voting District
45|003|043|Windsor|Windsor Voting District
45|003|044|Belvedere #44|Belvedere #44 Voting District
45|003|045|Misty Lakes|Misty Lakes Voting District
45|003|046|Six Points #46|Six Points #46 Voting District
45|003|047|Aiken #47|Aiken #47 Voting District
