STATEFP|DISTRICT|NAME|NAMELSAD
46|001|1|State Senate District 1
46|002|2|State Senate District 2
46|003|3|State Senate District 3
46|004|4|State Senate District 4
46|005|5|State Senate District 5
46|006|6|State Senate District 6
46|007|7|State Senate District 7
46|008|8|State Senate District 8
46|009|9|State Senate District 9
46|010|10|State Senate District 10
46|011|11|State Senate District 11
46|012|12|State Senate District 12
46|013|13|State Senate District 13
46|014|14|State Senate District 14
46|015|15|State Senate District 15
46|016|16|State Senate District 16
46|017|17|State Senate District 17
46|018|18|State Senate District 18
46|019|19|State Senate District 19
46|020|20|State Senate District 20
46|021|21|State Senate District 21
46|022|22|State Senate District 22
46|023|23|State Senate District 23
46|024|24|State Senate District 24
46|025|25|State Senate District 25
46|026|26|State Senate District 26
46|027|27|State Senate District 27
46|028|28|State Senate District 28
46|029|29|State Senate District 29
46|030|30|State Senate District 30
46|031|31|State Senate District 31
46|032|32|State Senate District 32
46|033|33|State Senate District 33
46|034|34|State Senate District 34
46|035|35|State Senate District 35
