STATEFP|DISTRICT|NAME|NAMELSAD
47|001|1|State House District 1
47|002|2|State House District 2
47|003|3|State House District 3
47|004|4|State House District 4
47|005|5|State House District 5
47|006|6|State House District 6
47|007|7|State House District 7
47|008|8|State House District 8
47|009|9|State House District 9
47|010|10|State House District 10
47|011|11|State House District 11
47|012|12|State House District 12
47|013|13|State House District 13
47|014|14|State House District 14
47|015|15|State House District 15
47|016|16|State House District 16
47|017|17|State House District 17
47|018|18|State House District 18
47|019|19|State House District 19
47|020|20|State House District 20
47|021|21|State House District 21
47|022|22|State House District 22
47|023|23|State House District 23
47|024|24|State House District 24
47|025|25|State House District 25
47|026|26|State House District 26
47|027|27|State House District 27
47|028|28|State House District 28
47|029|29|State House District 29
47|030|30|State House District 30
47|031|31|State House District 31
47|032|32|State House District 32
47|033|33|State House District 33
47|034|34|State House District 34
47|035|35|State House District 35
47|036|36|State House District 36
47|037|37|State House District 37
47|038|38|State House District 38
47|039|39|State House District 39
47|040|40|State House District 40
47|041|41|State House District 41
47|042|42|State House District 42
47|043|43|State House District 43
47|044|44|State House District 44
47|045|45|State House District 45
47|046|46|State House District 46
47|047|47|State House District 47
47|048|48|State House District 48
47|049|49|State House District 49
47|050|50|State House District 50
47|051|51|State House District 51
47|052|52|State House District 52
47|053|53|State House District 53
47|054|54|State House District 54
47|055|55|State House District 55
47|056|56|State House District 56
47|057|57|State House District 57
47|058|58|State House District 58
47|059|59|State House District 59
47|060|60|State House District 60
47|061|61|State House District 61
47|062|62|State House District 62
47|063|63|State House District 63
47|064|64|State House District 64
47|065|65|State House District 65
47|066|66|State House District 66
47|067|67|State House District 67
47|068|68|State House District 68
47|069|69|State House District 69
47|070|70|State House District 70
47|071|71|State House District 71
47|072|72|State House District 72
47|073|73|State House District 73
47|074|74|State House District 74
47|075|75|State House District 75
47|076|76|State House District 76
47|077|77|State House District 77
47|078|78|State House District 78
47|079|79|State House District 79
47|080|80|State House District 80
47|081|81|State House District 81
47|082|82|State House District 82
47|083|83|State House District 83
47|084|84|State House District 84
47|085|85|State House District 85
47|086|86|State House District 86
47|087|87|State House District 87
47|088|88|State House District 88
47|089|89|State House District 89
47|090|90|State House District 90
47|091|91|State House District 91
47|092|92|State House District 92
47|093|93|State House District 93
47|094|94|State House District 94
47|095|95|State House District 95
47|096|96|State House District 96
47|097|97|State House District 97
47|098|98|State House District 98
47|099|99|State House District 99
