STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
47|001|0008|Andersonville|Andersonville Voting District
47|001|0010|Block House Valley|Block House Valley Voting District
47|001|0012|Briceville|Briceville Voting District
47|001|0016|Oak Ridge City Hall|Oak Ridge City Hall Voting District
47|001|0024|Claxton|Claxton Voting District
47|001|0028|Clinton|Clinton Voting District
47|001|0032|Clinton High|Clinton High Voting District
47|001|0036|Clinton Middle School|Clinton Middle School Voting District
47|001|0040|Dutch Valley|Dutch Valley Voting District
47|001|0044|Emory Valley|Emory Valley Voting District
47|001|0048|Fairview|Fairview Voting District
47|001|0052|Clinch Valley|Clinch Valley Voting District
47|001|0056|Glenwood|Glenwood Voting District
47|001|0060|Highland View|Highland View Voting District
47|001|0064|Lake City|Lake City Voting District
47|001|0068|Lake City Middle School|Lake City Middle School Voting District
47|001|0072|Marlow|Marlow Voting District
47|001|0076|Norris|Norris Voting District
47|001|0080|North Clinton|North Clinton Voting District
47|001|0084|Norwood|Norwood Voting District
47|001|0088|Tri-County|Tri-County Voting District
47|001|0092|Pine Valley|Pine Valley Voting District
47|001|0096|Robertsville|Robertsville Voting District
47|001|0100|Rosedale|Rosedale Voting District
47|001|0104|South Clinton|South Clinton Voting District
47|001|0108|West Hills|West Hills Voting District
47|001|0112|Glen Alpine|Glen Alpine Voting District
47|001|0114|Hendrix Creek|Hendrix Creek Voting District
47|001|0116|Woodland|Woodland Voting District
47|003|0124|203 Airport|203 Airport Voting District
47|003|0128|403 Bedford Fire Hall|403 Bedford Fire Hall Voting District
47|003|0132|102 Bell Buckle/Webb School|102 Bell Buckle/Webb School Voting District
47|003|0144|901 Courthouse|901 Courthouse Voting District
47|003|0156|701 Deery Eakin School|701 Deery Eakin School Voting District
47|003|0160|601 East Side School|601 East Side School Voting District
47|003|0164|502 Flat Creek Community Center|502 Flat Creek Community Center Voting District
47|003|0168|304 Hall's Mill Community Club|304 Hall's Mill Community Club Voting District
47|003|0176|202 Longview Community Club|202 Longview Community Club Voting District
47|003|0180|505 Normandy Fire Hall|505 Normandy Fire Hall Voting District
47|003|0188|503 Thompson Creek Baptist Church|503 Thompson Creek Baptist Church Voting District
47|003|0196|301 Rover Baptist Church|301 Rover Baptist Church Voting District
47|003|0204|902 Southside School|902 Southside School Voting District
47|003|0208|801 Thomas School|801 Thomas School Voting District
47|003|0212|303 Unionville New Fire Hall|303 Unionville New Fire Hall Voting District
47|003|0220|101 Wartrace Gym|101 Wartrace Gym Voting District
47|003|0224|404 Shiloh Methodist Church|404 Shiloh Methodist Church Voting District
47|003|0225|402 Liberty School|402 Liberty School Voting District
47|005|0232|1 Holladay School|1 Holladay School Voting District
47|005|0252|6 Big Sandy School|6 Big Sandy School Voting District
47|005|0296|2 Camden High School|2 Camden High School Voting District
47|005|0304|4 Camden Elementary School|4 Camden Elementary School Voting District
47|005|0308|3 Benton Co. Courthouse|3 Benton Co. Courthouse Voting District
47|005|0312|5 Benton Co. Courthouse|5 Benton Co. Courthouse Voting District
47|007|0316|1-1 Dill|1-1 Dill Voting District
47|007|0320|1-2 Griffith|1-2 Griffith Voting District
47|007|0324|1-3 Mt.Crest|1-3 Mt.Crest Voting District
47|007|0328|5-1 Bellview|5-1 Bellview Voting District
47|007|0332|5-2 Nine Mile|5-2 Nine Mile Voting District
47|007|0336|2-1 Cold Springs|2-1 Cold Springs Voting District
47|007|0340|2-2 Luminary|2-2 Luminary Voting District
47|007|0344|3-2 Rigsby|3-2 Rigsby Voting District
47|007|0348|3-1 Brayton|3-1 Brayton Voting District
47|007|0352|4-1 Pikeville Outside|4-1 Pikeville Outside Voting District
47|007|0354|4-2 Pikeville Inside|4-2 Pikeville Inside Voting District
47|007|0356|6-3 Sunnyside|6-3 Sunnyside Voting District
47|007|0358|6-2 Lusk|6-2 Lusk Voting District
47|007|0359|6-4 Brayton 6|6-4 Brayton 6 Voting District
47|007|0360|6-1 Lee Station|6-1 Lee Station Voting District
47|009|0376|Alcoa 1st Baptist|Alcoa 1st Baptist Voting District
47|009|0378|Alcoa - Rockford|Alcoa - Rockford Voting District
47|009|0380|Martin Luther King|Martin Luther King Voting District
47|009|0384|Big Springs|Big Springs Voting District
47|009|0388|William Blount Academy|William Blount Academy Voting District
47|009|0392|Pellissippi|Pellissippi Voting District
47|009|0394|Pellissippi-Alcoa|Pellissippi-Alcoa Voting District
47|009|0395|Pellissippi-Maryville|Pellissippi-Maryville Voting District
47|009|0396|Beech Grove|Beech Grove Voting District
47|009|0398|Beech Grove-Alcoa|Beech Grove-Alcoa Voting District
47|009|0400|Chilhowee View|Chilhowee View Voting District
47|009|0404|Eagleton 8th|Eagleton 8th Voting District
47|009|0406|Eagleton 20th|Eagleton 20th Voting District
47|009|0408|Eagleton Cafeteria|Eagleton Cafeteria Voting District
47|009|0410|Eagleton-Alcoa|Eagleton-Alcoa Voting District
47|009|0412|Everett|Everett Voting District
47|009|0416|Fairview-City|Fairview-City Voting District
47|009|0417|Fairview-County|Fairview-County Voting District
47|009|0424|Friendsville-County|Friendsville-County Voting District
47|009|0425|Friendsville-City|Friendsville-City Voting District
47|009|0428|Happy Valley|Happy Valley Voting District
47|009|0432|Carpenters|Carpenters Voting District
47|009|0436|Heritage|Heritage Voting District
47|009|0440|John Sevier|John Sevier Voting District
47|009|0444|Lanier|Lanier Voting District
47|009|0446|Louisville|Louisville Voting District
47|009|0447|Louisville 8th|Louisville 8th Voting District
47|009|0448|Maryville College|Maryville College Voting District
47|009|0452|Maryville High School|Maryville High School Voting District
47|009|0456|Maryville Middle School|Maryville Middle School Voting District
47|009|0460|Maryville Municipal-City|Maryville Municipal-City Voting District
47|009|0461|Maryville Municipal-County|Maryville Municipal-County Voting District
47|009|0464|Mentor|Mentor Voting District
47|009|0466|Mentor-Alcoa|Mentor-Alcoa Voting District
47|009|0468|Middlesettlements|Middlesettlements Voting District
47|009|0472|Montvale|Montvale Voting District
47|009|0476|Miser Station|Miser Station Voting District
47|009|0480|Oak View|Oak View Voting District
47|009|0488|Porter|Porter Voting District
47|009|0492|Rockford-County|Rockford-County Voting District
47|009|0494|Rockford 20th|Rockford 20th Voting District
47|009|0496|Rockford-City|Rockford-City Voting District
47|009|0498|Rockford-Alcoa|Rockford-Alcoa Voting District
47|009|0500|Shooks Gap|Shooks Gap Voting District
47|009|0504|Townsend-County|Townsend-County Voting District
47|009|0505|Townsend-City|Townsend-City Voting District
47|009|0508|Blount County Board of Education-County|Blount County Board of Education-County Voting District
47|009|0512|Blount County Board of Education-City|Blount County Board of Education-City Voting District
47|009|0516|Walland|Walland Voting District
47|009|0519|William Blount-City|William Blount-City Voting District
47|009|0520|William Blount-County|William Blount-County Voting District
47|011|0524|101-1 McDonald|101-1 McDonald Voting District
47|011|0528|102-1 Prospect|102-1 Prospect Voting District
47|011|0532|103-1 Hopewell|103-1 Hopewell Voting District
47|011|0536|201-1 E.L. Ross|201-1 E.L. Ross Voting District
47|011|0544|202-1 Charleston|202-1 Charleston Voting District
