STATEFP|DISTRICT|NAME|NAMELSAD
48|00001|Crosbyton Consolidated Independent School District|Crosbyton Consolidated Independent School District
48|00002|Spur Independent School District|Spur Independent School District
48|00003|Rocksprings Independent School District|Rocksprings Independent School District
48|00005|Blackwell Consolidated Independent School District|Blackwell Consolidated Independent School District
48|00006|Aspermont Independent School District|Aspermont Independent School District
48|00007|Panther Creek Consolidated Independent School District|Panther Creek Consolidated Independent School District
48|00008|Dripping Springs Independent School District|Dripping Springs Independent School District
48|00009|Wimberley Independent School District|Wimberley Independent School District
48|00010|Hays Consolidated Independent School District|Hays Consolidated Independent School District
48|00011|Alvarado Independent School District|Alvarado Independent School District
48|00012|Chisum Independent School District|Chisum Independent School District
48|07350|College Station Independent School District|College Station Independent School District
48|07380|Abbott Independent School District|Abbott Independent School District
48|07410|Abernathy Independent School District|Abernathy Independent School District
48|07440|Abilene Independent School District|Abilene Independent School District
48|07470|Academy Independent School District|Academy Independent School District
48|07500|Adrian Independent School District|Adrian Independent School District
48|07530|Agua Dulce Independent School District|Agua Dulce Independent School District
48|07590|Alamo Heights Independent School District|Alamo Heights Independent School District
48|07650|Alba-Golden Independent School District|Alba-Golden Independent School District
48|07680|Albany Independent School District|Albany Independent School District
48|07710|Aldine Independent School District|Aldine Independent School District
48|07780|Aledo Independent School District|Aledo Independent School District
48|07800|Alice Independent School District|Alice Independent School District
48|07830|Alief Independent School District|Alief Independent School District
48|07890|Allen Independent School District|Allen Independent School District
48|07950|Alpine Independent School District|Alpine Independent School District
48|07980|Alto Independent School District|Alto Independent School District
48|08090|Alvin Independent School District|Alvin Independent School District
48|08100|Alvord Independent School District|Alvord Independent School District
48|08130|Amarillo Independent School District|Amarillo Independent School District
48|08160|Amherst Independent School District|Amherst Independent School District
48|08190|Anahuac Independent School District|Anahuac Independent School District
48|08230|Anderson-Shiro Consolidated Independent School District|Anderson-Shiro Consolidated Independent School District
48|08280|Andrews Independent School District|Andrews Independent School District
48|08310|Angleton Independent School District|Angleton Independent School District
48|08340|Anna Independent School District|Anna Independent School District
48|08400|Anson Independent School District|Anson Independent School District
48|08430|Anthony Independent School District|Anthony Independent School District
48|08460|Anton Independent School District|Anton Independent School District
48|08490|Apple Springs Independent School District|Apple Springs Independent School District
48|08520|Aquilla Independent School District|Aquilla Independent School District
48|08550|Aransas County Independent School District|Aransas County Independent School District
48|08580|Aransas Pass Independent School District|Aransas Pass Independent School District
48|08610|Archer City Independent School District|Archer City Independent School District
48|08670|Argyle Independent School District|Argyle Independent School District
48|08700|Arlington Independent School District|Arlington Independent School District
48|08730|Arp Independent School District|Arp Independent School District
48|08870|Athens Independent School District|Athens Independent School District
48|08880|Atlanta Independent School District|Atlanta Independent School District
48|08910|Aubrey Independent School District|Aubrey Independent School District
48|08940|Austin Independent School District|Austin Independent School District
48|09000|Austwell-Tivoli Independent School District|Austwell-Tivoli Independent School District
48|09030|Avalon Independent School District|Avalon Independent School District
48|09060|Avery Independent School District|Avery Independent School District
48|09090|Avinger Independent School District|Avinger Independent School District
48|09150|Axtell Independent School District|Axtell Independent School District
48|09200|Azle Independent School District|Azle Independent School District
48|09280|Baird Independent School District|Baird Independent School District
48|09300|Ballinger Independent School District|Ballinger Independent School District
48|09330|Balmorhea Independent School District|Balmorhea Independent School District
48|09360|Bandera Independent School District|Bandera Independent School District
48|09390|Bangs Independent School District|Bangs Independent School District
48|09410|Banquete Independent School District|Banquete Independent School District
48|09450|Barbers Hill Independent School District|Barbers Hill Independent School District
