STATEFP|DISTRICT|NAME|NAMELSAD
48|001|1|State House District 1
48|002|2|State House District 2
48|003|3|State House District 3
48|004|4|State House District 4
48|005|5|State House District 5
48|006|6|State House District 6
48|007|7|State House District 7
48|008|8|State House District 8
48|009|9|State House District 9
48|010|10|State House District 10
48|011|11|State House District 11
48|012|12|State House District 12
48|013|13|State House District 13
48|014|14|State House District 14
48|015|15|State House District 15
48|016|16|State House District 16
48|017|17|State House District 17
48|018|18|State House District 18
48|019|19|State House District 19
48|020|20|State House District 20
48|021|21|State House District 21
48|022|22|State House District 22
48|023|23|State House District 23
48|024|24|State House District 24
48|025|25|State House District 25
48|026|26|State House District 26
48|027|27|State House District 27
48|028|28|State House District 28
48|029|29|State House District 29
48|030|30|State House District 30
48|031|31|State House District 31
48|032|32|State House District 32
48|033|33|State House District 33
48|034|34|State House District 34
48|035|35|State House District 35
48|036|36|State House District 36
48|037|37|State House District 37
48|038|38|State House District 38
48|039|39|State House District 39
48|040|40|State House District 40
48|041|41|State House District 41
48|042|42|State House District 42
48|043|43|State House District 43
48|044|44|State House District 44
48|045|45|State House District 45
48|046|46|State House District 46
48|047|47|State House District 47
48|048|48|State House District 48
48|049|49|State House District 49
48|050|50|State House District 50
48|051|51|State House District 51
48|052|52|State House District 52
48|053|53|State House District 53
48|054|54|State House District 54
48|055|55|State House District 55
48|056|56|State House District 56
48|057|57|State House District 57
48|058|58|State House District 58
48|059|59|State House District 59
48|060|60|State House District 60
48|061|61|State House District 61
48|062|62|State House District 62
48|063|63|State House District 63
48|064|64|State House District 64
48|065|65|State House District 65
48|066|66|State House District 66
48|067|67|State House District 67
48|068|68|State House District 68
48|069|69|State House District 69
48|070|70|State House District 70
48|071|71|State House District 71
48|072|72|State House District 72
48|073|73|State House District 73
48|074|74|State House District 74
48|075|75|State House District 75
48|076|76|State House District 76
48|077|77|State House District 77
48|078|78|State House District 78
48|079|79|State House District 79
48|080|80|State House District 80
48|081|81|State House District 81
48|082|82|State House District 82
48|083|83|State House District 83
48|084|84|State House District 84
48|085|85|State House District 85
48|086|86|State House District 86
48|087|87|State House District 87
48|088|88|State House District 88
48|089|89|State House District 89
48|090|90|State House District 90
48|091|91|State House District 91
48|092|92|State House District 92
48|093|93|State House District 93
48|094|94|State House District 94
48|095|95|State House District 95
48|096|96|State House District 96
48|097|97|State House District 97
48|098|98|State House District 98
48|099|99|State House District 99
48|100|100|State House District 100
48|101|101|State House District 101
48|102|102|State House District 102
48|103|103|State House District 103
48|104|104|State House District 104
48|105|105|State House District 105
48|106|106|State House District 106
48|107|107|State House District 107
48|108|108|State House District 108
48|109|109|State House District 109
48|110|110|State House District 110
48|111|111|State House District 111
48|112|112|State House District 112
48|113|113|State House District 113
48|114|114|State House District 114
48|115|115|State House District 115
48|116|116|State House District 116
48|117|117|State House District 117
48|118|118|State House District 118
48|119|119|State House District 119
48|120|120|State House District 120
48|121|121|State House District 121
48|122|122|State House District 122
48|123|123|State House District 123
48|124|124|State House District 124
48|125|125|State House District 125
48|126|126|State House District 126
48|127|127|State House District 127
48|128|128|State House District 128
48|129|129|State House District 129
48|130|130|State House District 130
48|131|131|State House District 131
48|132|132|State House District 132
48|133|133|State House District 133
48|134|134|State House District 134
48|135|135|State House District 135
48|136|136|State House District 136
48|137|137|State House District 137
48|138|138|State House District 138
48|139|139|State House District 139
48|140|140|State House District 140
48|141|141|State House District 141
48|142|142|State House District 142
48|143|143|State House District 143
48|144|144|State House District 144
48|145|145|State House District 145
48|146|146|State House District 146
48|147|147|State House District 147
48|148|148|State House District 148
48|149|149|State House District 149
48|150|150|State House District 150
