STATEFP|DISTRICT|NAME|NAMELSAD
50|310|Chittenden-3-10|Chittenden-3-10 State House District
50|A-1|Addison-1|Addison-1 State House District
50|A-2|Addison-2|Addison-2 State House District
50|A-3|Addison-3|Addison-3 State House District
50|A-4|Addison-4|Addison-4 State House District
50|A-5|Addison-5|Addison-5 State House District
50|AR1|Addison-Rutland-1|Addison-Rutland-1 State House District
50|B-1|Bennington-1|Bennington-1 State House District
50|B-3|Bennington-3|Bennington-3 State House District
50|B-4|Bennington-4|Bennington-4 State House District
50|B-5|Bennington-5|Bennington-5 State House District
50|B21|Bennington-2-1|Bennington-2-1 State House District
50|B22|Bennington-2-2|Bennington-2-2 State House District
50|BR1|Bennington-Rutland-1|Bennington-Rutland-1 State House District
50|C-2|Chittenden-2|Chittenden-2 State House District
50|C-4|Chittenden-4|Chittenden-4 State House District
50|C-8|Chittenden-8|Chittenden-8 State House District
50|C-9|Chittenden-9|Chittenden-9 State House District
50|C11|Chittenden-1-1|Chittenden-1-1 State House District
50|C12|Chittenden-1-2|Chittenden-1-2 State House District
50|C31|Chittenden-3-1|Chittenden-3-1 State House District
50|C32|Chittenden-3-2|Chittenden-3-2 State House District
50|C33|Chittenden-3-3|Chittenden-3-3 State House District
50|C34|Chittenden-3-4|Chittenden-3-4 State House District
50|C35|Chittenden-3-5|Chittenden-3-5 State House District
50|C36|Chittenden-3-6|Chittenden-3-6 State House District
50|C37|Chittenden-3-7|Chittenden-3-7 State House District
50|C38|Chittenden-3-8|Chittenden-3-8 State House District
50|C39|Chittenden-3-9|Chittenden-3-9 State House District
50|C51|Chittenden-5-1|Chittenden-5-1 State House District
50|C52|Chittenden-5-2|Chittenden-5-2 State House District
50|C61|Chittenden-6-1|Chittenden-6-1 State House District
50|C62|Chittenden-6-2|Chittenden-6-2 State House District
50|C63|Chittenden-6-3|Chittenden-6-3 State House District
50|C71|Chittenden-7-1|Chittenden-7-1 State House District
50|C72|Chittenden-7-2|Chittenden-7-2 State House District
50|CA1|Caledonia-1|Caledonia-1 State House District
50|CA2|Caledonia-2|Caledonia-2 State House District
