STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
51|001|101|Chincoteague|Chincoteague Voting District
51|001|201|Atlantic|Atlantic Voting District
51|001|202|Greenbackville|Greenbackville Voting District
51|001|203|Hallwood|Hallwood Voting District
51|001|204|Saxis|Saxis Voting District
51|001|205|Tangier|Tangier Voting District
51|001|301|New Church|New Church Voting District
51|001|302|Oak Hall|Oak Hall Voting District
51|001|401|Bloxom|Bloxom Voting District
51|001|402|Parksley|Parksley Voting District
51|001|501|Mappsville|Mappsville Voting District
51|001|502|Rue|Rue Voting District
51|001|601|Accomac|Accomac Voting District
51|001|701|Onancock|Onancock Voting District
51|001|702|Onley|Onley Voting District
51|001|801|Bobtown|Bobtown Voting District
51|001|802|Keller|Keller Voting District
51|001|803|Melfa|Melfa Voting District
51|001|804|Quinby|Quinby Voting District
51|001|805|Wachapreague|Wachapreague Voting District
51|001|901|Painter|Painter Voting District
51|003|101|Woodbrook|Woodbrook Voting District
51|003|103|Branchlands|Branchlands Voting District
51|003|104|Agnor-Hurt|Agnor-Hurt Voting District
51|003|105|Dunlora|Dunlora Voting District
51|003|106|Northside|Northside Voting District
51|003|201|Jack Jouett|Jack Jouett Voting District
51|003|202|University Hall|University Hall Voting District
51|003|203|Georgetown|Georgetown Voting District
51|003|204|Belfield|Belfield Voting District
51|003|301|Ivy|Ivy Voting District
51|003|302|Red Hill|Red Hill Voting District
51|003|304|East Ivy|East Ivy Voting District
51|003|305|Country Green|Country Green Voting District
51|003|401|Scottsville|Scottsville Voting District
51|003|402|Monticello|Monticello Voting District
51|003|403|Porter's|Porter's Voting District
51|003|405|Cale|Cale Voting District
51|003|406|Stone Robinson|Stone Robinson Voting District
51|003|501|Keswick|Keswick Voting District
51|003|502|Stony Point|Stony Point Voting District
51|003|503|Hollymead|Hollymead Voting District
51|003|504|Free Bridge|Free Bridge Voting District
51|003|505|Burnley|Burnley Voting District
51|003|601|Crozet|Crozet Voting District
51|003|602|Free Union|Free Union Voting District
51|003|603|Earlysville|Earlysville Voting District
51|003|604|Brownsville|Brownsville Voting District
51|003|605|Yellow Mountain|Yellow Mountain Voting District
51|005|101|Arritt|Arritt Voting District
51|005|103|Dameron|Dameron Voting District
51|005|201|Humpback Bridge|Humpback Bridge Voting District
51|005|202|Dolly Ann|Dolly Ann Voting District
51|005|301|Callaghan|Callaghan Voting District
