STATEFP|DISTRICT|NAME|NAMELSAD
53|001|1|State House District 1
53|002|2|State House District 2
53|003|3|State House District 3
53|004|4|State House District 4
53|005|5|State House District 5
53|006|6|State House District 6
53|007|7|State House District 7
53|008|8|State House District 8
53|009|9|State House District 9
53|010|10|State House District 10
53|011|11|State House District 11
53|012|12|State House District 12
53|013|13|State House District 13
53|014|14|State House District 14
53|015|15|State House District 15
53|016|16|State House District 16
53|017|17|State House District 17
53|018|18|State House District 18
53|019|19|State House District 19
53|020|20|State House District 20
53|021|21|State House District 21
53|022|22|State House District 22
53|023|23|State House District 23
53|024|24|State House District 24
53|025|25|State House District 25
53|026|26|State House District 26
53|027|27|State House District 27
53|028|28|State House District 28
53|029|29|State House District 29
53|030|30|State House District 30
53|031|31|State House District 31
53|032|32|State House District 32
53|033|33|State House District 33
53|034|34|State House District 34
53|035|35|State House District 35
53|036|36|State House District 36
53|037|37|State House District 37
53|038|38|State House District 38
53|039|39|State House District 39
53|040|40|State House District 40
53|041|41|State House District 41
53|042|42|State House District 42
53|043|43|State House District 43
53|044|44|State House District 44
53|045|45|State House District 45
53|046|46|State House District 46
53|047|47|State House District 47
53|048|48|State House District 48
53|049|49|State House District 49
