STATEFP|COUNTYFP|DISTRICT|NAME|NAMELSAD
53|001|01111|Ritzville Ward 1|Ritzville Ward 1
53|001|01112|Ritzville Ward 2|Ritzville Ward 2
53|001|01113|Ritzville Ward 3|Ritzville Ward 3
53|001|01114|Ritzville Ward 4|Ritzville Ward 4
53|001|01115|Ritzville Ward 5|Ritzville Ward 5
53|001|01121|Ritzville Rural Northwest|Ritzville Rural Northwest Voting District
53|001|01122|Ritzville Rural Southeast|Ritzville Rural Southeast Voting District
53|001|01123|Batum|Batum Voting District
53|001|01211|Benge|Benge Voting District
53|001|01212|Washtucna|Washtucna Voting District
53|001|01221|Washtucna Rural|Washtucna Rural Voting District
53|001|01222|Ralston|Ralston Voting District
53|001|01311|Lind|Lind Voting District
53|001|01313|Hatton|Hatton Voting District
53|001|01321|Lind Rural|Lind Rural Voting District
53|001|01322|Fairview|Fairview Voting District
53|001|01323|Schrag|Schrag Voting District
53|001|01324|Hatton Rural|Hatton Rural Voting District
53|001|01325|Cunningham|Cunningham Voting District
53|001|01411|Othello 1|Othello 1 Voting District
53|001|01412|Othello 2|Othello 2 Voting District
53|001|01413|Othello 3|Othello 3 Voting District
53|001|01414|Othello 4|Othello 4 Voting District
53|001|01415|Othello 5|Othello 5 Voting District
53|001|01416|Othello 6|Othello 6 Voting District
53|001|01417|Othello 7|Othello 7 Voting District
53|001|01511|Othello Rural 1|Othello Rural 1 Voting District
53|001|01512|Othello Rural 2|Othello Rural 2 Voting District
53|001|01513|Othello Rural 3|Othello Rural 3 Voting District
53|001|01514|Othello Rural 4|Othello Rural 4 Voting District
53|001|01515|Othello Rural 5|Othello Rural 5 Voting District
53|001|01516|Othello Rural 6|Othello Rural 6 Voting District
53|003|03001|Anatone|Anatone Voting District
53|003|03003|Rural Asotin|Rural Asotin Voting District
53|003|03004|West Asotin|West Asotin Voting District
53|003|03005|Swallows Nest|Swallows Nest Voting District
53|003|03101|Asotin 1|Asotin 1 Voting District
53|003|03102|Asotin 2|Asotin 2 Voting District
53|003|03201|Clarkston 1|Clarkston 1 Voting District
53|003|03202|Clarkston 2|Clarkston 2 Voting District
53|003|03203|Clarkston 3|Clarkston 3 Voting District
53|003|03204|Clarkston 4|Clarkston 4 Voting District
53|003|03205|Clarkston 5|Clarkston 5 Voting District
53|003|03206|Clarkston 6|Clarkston 6 Voting District
53|003|03207|Clarkston 7|Clarkston 7 Voting District
53|003|03208|Clarkston 8|Clarkston 8 Voting District
53|003|03301|Clarkston Heights 1|Clarkston Heights 1 Voting District
53|003|03302|Clarkston Heights 2|Clarkston Heights 2 Voting District
53|003|03303|Clarkston Heights 3|Clarkston Heights 3 Voting District
53|003|03304|Clarkston Heights 4|Clarkston Heights 4 Voting District
