STATEFP|PLACEFP|NAME|NAMELSAD
55|00100|Abbotsford|Abbotsford city
55|00275|Adams|Adams city
55|00450|Adell|Adell village
55|00750|Albany|Albany village
55|01000|Algoma|Algoma city
55|01150|Allouez|Allouez village
55|01225|Alma|Alma city
55|01300|Alma Center|Alma Center village
55|01325|Almena|Almena village
55|01400|Almond|Almond village
55|01550|Altoona|Altoona city
55|01725|Amery|Amery city
55|01750|Amherst|Amherst village
55|01800|Amherst Junction|Amherst Junction village
55|02075|Aniwa|Aniwa village
55|02250|Antigo|Antigo city
55|02375|Appleton|Appleton city
55|02500|Arcadia|Arcadia city
55|02550|Arena|Arena village
55|02650|Argyle|Argyle village
55|02800|Arlington|Arlington village
55|03025|Arpin|Arpin village
55|03225|Ashland|Ashland city
55|03425|Ashwaubenon|Ashwaubenon village
55|03550|Athens|Athens village
55|03775|Auburndale|Auburndale village
55|03825|Augusta|Augusta city
55|04025|Avoca|Avoca village
55|04250|Bagley|Bagley village
55|04400|Baldwin|Baldwin village
55|04475|Balsam Lake|Balsam Lake village
55|04550|Bangor|Bangor village
55|04625|Baraboo|Baraboo city
55|04775|Barneveld|Barneveld village
55|04875|Barron|Barron city
55|05325|Bay City|Bay City village
55|05350|Bayfield|Bayfield city
55|05450|Bayside|Bayside village
55|05575|Bear Creek|Bear Creek village
55|05900|Beaver Dam|Beaver Dam city
55|06150|Belgium|Belgium village
55|06225|Bell Center|Bell Center village
55|06300|Belleville|Belleville village
55|06350|Bellevue|Bellevue village
55|06425|Belmont|Belmont village
55|06500|Beloit|Beloit city
55|06825|Benton|Benton village
55|06925|Berlin|Berlin city
55|07200|Big Bend|Big Bend village
55|07250|Big Falls|Big Falls village
55|07550|Birchwood|Birchwood village
55|07600|Birnamwood|Birnamwood village
55|07650|Biron|Biron village
55|07725|Black Creek|Black Creek village
55|07800|Black Earth|Black Earth village
55|07900|Black River Falls|Black River Falls city
55|08075|Blair|Blair city
55|08125|Blanchardville|Blanchardville village
55|08225|Bloomer|Bloomer city
55|08375|Bloomington|Bloomington village
55|08475|Blue Mounds|Blue Mounds village
55|08525|Blue River|Blue River village
55|08600|Boaz|Boaz village
55|08725|Bonduel|Bonduel village
55|08850|Boscobel|Boscobel city
55|09025|Bowler|Bowler village
55|09050|Boyceville|Boyceville village
55|09075|Boyd|Boyd village
55|09300|Brandon|Brandon village
55|09725|Brillion|Brillion city
55|09800|Bristol|Bristol village
55|09925|Brodhead|Brodhead city
55|09975|Brokaw|Brokaw village
55|10025|Brookfield|Brookfield city
55|10075|Brooklyn|Brooklyn village
55|10375|Brown Deer|Brown Deer village
55|10450|Brownsville|Brownsville village
55|10475|Browntown|Browntown village
55|10500|Bruce|Bruce village
55|11062|Buffalo City|Buffalo City city
55|11200|Burlington|Burlington city
55|11475|Butler|Butler village
55|11525|Butternut|Butternut village
55|11750|Cadott|Cadott village
55|11950|Caledonia|Caledonia village
55|12200|Cambria|Cambria village
55|12225|Cambridge|Cambridge village
55|12250|Cameron|Cameron village
55|12325|Campbellsport|Campbellsport village
55|12350|Camp Douglas|Camp Douglas village
55|12825|Cascade|Cascade village
55|12850|Casco|Casco village
55|12950|Cashton|Cashton village
55|13050|Cassville|Cassville village
55|13175|Catawba|Catawba village
55|13300|Cazenovia|Cazenovia village
55|13325|Cecil|Cecil village
55|13375|Cedarburg|Cedarburg city
55|13475|Cedar Grove|Cedar Grove village
55|13850|Centuria|Centuria village
55|14150|Chaseburg|Chaseburg village
55|14225|Chenequa|Chenequa village
55|14325|Chetek|Chetek city
55|14475|Chilton|Chilton city
55|14575|Chippewa Falls|Chippewa Falls city
55|15100|Clayton|Clayton village
55|15250|Clear Lake|Clear Lake village
55|15400|Cleveland|Cleveland village
55|15625|Clinton|Clinton village
55|15725|Clintonville|Clintonville city
55|15900|Clyman|Clyman village
55|15975|Cobb|Cobb village
55|16025|Cochrane|Cochrane village
55|16150|Colby|Colby city
55|16250|Coleman|Coleman village
55|16275|Colfax|Colfax village
55|16375|Coloma|Coloma village
55|16450|Columbus|Columbus city
55|16500|Combined Locks|Combined Locks village
55|16775|Conrath|Conrath village
55|16900|Coon Valley|Coon Valley village
55|17100|Cornell|Cornell city
55|17175|Cottage Grove|Cottage Grove village
55|17225|Couderay|Couderay village
55|17425|Crandon|Crandon city
55|17725|Crivitz|Crivitz village
55|17775|Cross Plains|Cross Plains village
55|17950|Cuba City|Cuba City city
55|17975|Cudahy|Cudahy city
55|18025|Cumberland|Cumberland city
55|18125|Curtiss|Curtiss village
55|18575|Dallas|Dallas village
55|18700|Dane|Dane village
55|18825|Darien|Darien village
55|18875|Darlington|Darlington city
55|19250|Deerfield|Deerfield village
55|19325|Deer Park|Deer Park village
55|19350|DeForest|DeForest village
55|19400|Delafield|Delafield city
55|19450|Delavan|Delavan city
55|19700|Denmark|Denmark village
55|19775|De Pere|De Pere city
55|19850|De Soto|De Soto village
55|20175|Dickeyville|Dickeyville village
55|20350|Dodgeville|Dodgeville city
55|20450|Dorchester|Dorchester village
55|20550|Dousman|Dousman village
55|20675|Downing|Downing village
55|20775|Doylestown|Doylestown village
55|20850|Dresser|Dresser village
55|21225|Durand|Durand city
55|21425|Eagle|Eagle village
55|21625|Eagle River|Eagle River city
55|21900|Eastman|Eastman village
55|22100|East Troy|East Troy village
55|22300|Eau Claire|Eau Claire city
55|22475|Eden|Eden village
55|22550|Edgar|Edgar village
55|22575|Edgerton|Edgerton city
55|22850|Egg Harbor|Egg Harbor village
