STATEFP|DISTRICT|NAME|NAMELSAD
56|001|1|State Senate District 1
56|002|2|State Senate District 2
56|003|3|State Senate District 3
56|004|4|State Senate District 4
56|005|5|State Senate District 5
56|006|6|State Senate District 6
56|007|7|State Senate District 7
56|008|8|State Senate District 8
56|009|9|State Senate District 9
56|010|10|State Senate District 10
56|011|11|State Senate District 11
56|012|12|State Senate District 12
56|013|13|State Senate District 13
56|014|14|State Senate District 14
56|015|15|State Senate District 15
56|016|16|State Senate District 16
56|017|17|State Senate District 17
56|018|18|State Senate District 18
56|019|19|State Senate District 19
56|020|20|State Senate District 20
56|021|21|State Senate District 21
56|022|22|State Senate District 22
56|023|23|State Senate District 23
56|024|24|State Senate District 24
56|025|25|State Senate District 25
56|026|26|State Senate District 26
56|027|27|State Senate District 27
56|028|28|State Senate District 28
56|029|29|State Senate District 29
56|030|30|State Senate District 30
